Date,Close,High,Low,Open,Volume,"('Close', 'LEN')","('High', 'LEN')","('Low', 'LEN')","('Open', 'LEN')","('Volume', 'LEN')"
2024-06-03,152.0111846923828,152.56924929039494,150.45996161257813,151.80309760963175,1661167.0,,,,,
2024-06-04,149.17356872558594,151.10315633795753,148.57766469555358,150.96126590652773,1908881.0,,,,,
2024-06-05,150.7437286376953,150.77211567269953,147.43318013527062,149.97757687572224,1604456.0,,,,,
2024-06-06,147.66964721679688,150.67750986922562,147.45209280766736,150.55455405699348,1439692.0,,,,,
2024-06-07,145.68328857421875,147.88715965931527,143.77262090381245,144.49148065377196,2267952.0,,,,,
2024-06-10,147.0075225830078,147.45208377915785,143.97127308284163,144.60500164289107,1611170.0,,,,,
2024-06-11,143.99020385742188,145.98598828192252,143.57401475206836,145.98598828192252,2110936.0,,,,,
2024-06-12,146.6102752685547,152.6071112066954,146.0238384613179,149.70328438837285,3260561.0,,,,,
2024-06-13,146.64810180664062,147.98178547823554,145.1157834450748,146.38325555334606,2151223.0,,,,,
2024-06-14,146.704833984375,146.90346865800166,142.5335356565252,144.93605654873386,3218311.0,,,,,
2024-06-17,148.0385284423828,148.89927875811927,145.19144615333383,146.54404953258933,4844150.0,,,,,
2024-06-18,140.67018127441406,145.70221518636413,140.11211666250816,142.53354247931412,6190149.0,,,,,
2024-06-20,141.22824096679688,143.45104693219488,139.11893840078562,139.48783563065916,2930931.0,,,,,
2024-06-21,143.3470001220703,143.66859061152866,139.91348119020682,142.0795280645682,4009486.0,,,,,
2024-06-24,142.5051727294922,144.08478290693054,141.2377006437286,142.8362305402315,2312267.0,,,,,
2024-06-25,141.1052703857422,141.9565682456721,138.99598272691375,141.8335975325475,2798914.0,,,,,
2024-06-26,140.87826538085938,141.86197146176255,139.90401170455294,140.63233886063358,2431372.0,,,,,
2024-06-27,141.04852294921875,141.47416441497552,139.72429180317107,140.84042096389413,1857644.0,,,,,
2024-06-28,141.7579345703125,142.68488149090967,140.83097274055987,140.93502373631122,3406731.0,,,,,
2024-07-01,138.0312042236328,142.67543618985394,137.97444506608196,142.36329809621472,2100502.0,,,,,
2024-07-02,135.83676147460938,136.05431586742577,133.49099972141923,134.03961190566156,2466701.0,,,,,
2024-07-03,135.52462768554688,138.00281263365142,134.5030821566108,135.02332223493613,1153241.0,,,,,
2024-07-05,135.3822479248047,136.02768120101908,133.5028611277498,135.60054919817614,1902889.0,,,,,
2024-07-08,135.3822479248047,137.6507947809141,133.97745057964588,136.68262990522774,2541697.0,,,,,
2024-07-09,135.25885009765625,136.8344913080156,134.6703597604905,136.0181992249383,2105564.0,,,,,
2024-07-10,138.31524658203125,138.98916638248193,135.0785194772071,135.38226514341682,2196881.0,,,,,
2024-07-11,147.9114990234375,148.38610350326712,141.9221496769312,142.62454096734675,4142537.0,,,,,
2024-07-12,151.75570678710938,153.29339123277816,148.8606971784181,149.02205552460973,4370003.0,,,,,
2024-07-15,151.0912628173828,154.15713104471044,150.37938604595374,151.90756992580722,2227458.0,,,,,
2024-07-16,161.00076293945312,161.25703618925007,153.3408424285629,153.72051703070525,3006133.0,,,,,
2024-07-17,158.02032470703125,160.7065184140625,157.92540979643982,159.24477792230758,2235309.0,,,,,
2024-07-18,161.3899383544922,168.75561436553122,161.18112253998785,161.43741077545818,4585797.0,,,,,
2024-07-19,162.25367736816406,163.56355989918617,159.42511148599274,161.10516812790507,1883159.0,,,,,
2024-07-22,163.7344207763672,163.82933569043695,158.52339151161652,161.31400069938496,2422282.0,,,,,
2024-07-23,163.87680053710938,165.69922964078796,161.22856384280414,162.78523419163994,1924066.0,,,,,
2024-07-24,160.2129364013672,164.59817265942883,160.13699250689314,163.32626204064985,3102719.0,,,,,
2024-07-25,162.576416015625,166.45859172029944,159.47259050695789,161.26654826880733,1905368.0,,,,,
2024-07-26,167.73049926757812,169.6668293679178,165.34803615073412,166.3541731515357,2284273.0,,,,,
2024-07-29,169.12579345703125,170.11294446535365,166.54401504767782,168.30950126221356,2039452.0,,,,,
2024-07-30,171.28045654296875,171.94489092560764,168.97393714194368,169.49598417894927,1914252.0,,,,,
2024-07-31,167.93930053710938,173.25472982666892,167.7874277090954,171.47027272194484,3130300.0,,,,,
2024-08-01,167.28436279296875,170.10344318620255,164.64562670332705,169.03086287057965,2593966.0,,,,,
2024-08-02,165.5948028564453,167.82539284857384,161.3709400527848,163.72491642673026,2404101.0,,,,,
