Date,Close,High,Low,Open,Volume
2024-05-28 00:00:00,62549999616.0,67349999616.0,61199998976.0,65550000128.0,0.0
2024-05-29 00:00:00,57000001536.0,62400000000.0,55199997952.0,61499998208.0,0.0
2024-05-30 00:00:00,58500001792.0,60000002048.0,54150000640.0,57000001536.0,0.0
2024-05-31 00:00:00,67949998080.0,71699996672.0,57600000000.0,57749999616.0,0.0
2024-06-03 00:00:00,60000002048.0,66149998592.0,55500001280.0,65999998976.0,0.0
2024-06-04 00:00:00,57000001536.0,58349998080.0,53700001792.0,57450000384.0,0.0
2024-06-05 00:00:00,52800000000.0,55800000512.0,52500000768.0,54599999488.0,0.0
2024-06-06 00:00:00,47700000768.0,51899998208.0,45149999104.0,51599998976.0,0.0
2024-06-07 00:00:00,42900000768.0,46200000512.0,42299998208.0,46050000896.0,0.0
2024-06-10 00:00:00,42450001920.0,44550000640.0,39750000640.0,41999998976.0,0.0
2024-06-11 00:00:00,42450001920.0,43349999616.0,40199999488.0,43200000000.0,0.0
2024-06-12 00:00:00,41999998976.0,42750001152.0,41100001280.0,41999998976.0,0.0
2024-06-13 00:00:00,40049999872.0,44100001792.0,38999998464.0,43799998464.0,0.0
2024-06-14 00:00:00,39900000256.0,43949998080.0,38699999232.0,38999998464.0,0.0
2024-06-17 00:00:00,40049999872.0,41550000128.0,37650001920.0,39300001792.0,0.0
2024-06-18 00:00:00,38250000384.0,41400000512.0,37800001536.0,39149998080.0,0.0
2024-06-20 00:00:00,40199999488.0,42299998208.0,37499998208.0,37650001920.0,0.0
2024-06-21 00:00:00,40199999488.0,41250000896.0,38699999232.0,39300001792.0,0.0
2024-06-24 00:00:00,39900000256.0,41999998976.0,39300001792.0,40049999872.0,0.0
2024-06-25 00:00:00,38999998464.0,40349999104.0,38699999232.0,39600001024.0,0.0
2024-06-26 00:00:00,37199998976.0,37349998592.0,35399999488.0,36600000512.0,0.0
2024-06-27 00:00:00,38100000768.0,38549999616.0,35549999104.0,36300001280.0,0.0
2024-06-28 00:00:00,35999997952.0,38400000000.0,35699998720.0,38400000000.0,0.0
2024-07-01 00:00:00,36300001280.0,36450000896.0,34650001408.0,35999997952.0,0.0
2024-07-02 00:00:00,35100000256.0,36899999744.0,34500001792.0,36899999744.0,0.0
2024-07-03 00:00:00,35999997952.0,37499998208.0,34800001024.0,35100000256.0,0.0
2024-07-05 00:00:00,34500001792.0,36300001280.0,33749999616.0,36150001664.0,0.0
2024-07-08 00:00:00,34350000128.0,35849998336.0,33899999232.0,35249999872.0,0.0
2024-07-09 00:00:00,33300000768.0,35100000256.0,32249999360.0,35100000256.0,0.0
2024-07-10 00:00:00,32700000256.0,35399999488.0,32550000640.0,33450000384.0,0.0
2024-07-11 00:00:00,32249999360.0,33450000384.0,31800000512.0,32999999488.0,0.0
2024-07-12 00:00:00,31200000000.0,32099999744.0,30599999488.0,31950000128.0,0.0
2024-07-15 00:00:00,29849999360.0,32999999488.0,29849999360.0,32550000640.0,0.0
2024-07-16 00:00:00,27750000640.0,29699999744.0,27000000512.0,29699999744.0,0.0
2024-07-17 00:00:00,25799999488.0,27000000512.0,24899999744.0,26699999232.0,0.0
2024-07-18 00:00:00,24000000000.0,26699999232.0,24000000000.0,25799999488.0,0.0
2024-07-19 00:00:00,21899999232.0,23549999104.0,21600000000.0,23549999104.0,0.0
2024-07-22 00:00:00,21300000768.0,22499999744.0,20550000640.0,22350000128.0,0.0
2024-07-23 00:00:00,20550000640.0,21450000384.0,19950000128.0,20700000256.0,0.0
2024-07-24 00:00:00,18449999872.0,20249999360.0,18150000640.0,20249999360.0,0.0
2024-07-25 00:00:00,17999998976.0,18749999104.0,16650000384.0,17550000128.0,0.0
2024-07-26 00:00:00,17250000896.0,17999998976.0,16949999616.0,17550000128.0,0.0
2024-07-29 00:00:00,16800000000.0,17699999744.0,16350000128.0,16650000384.0,0.0
2024-07-30 00:00:00,20249999360.0,20849999872.0,16650000384.0,17100000256.0,0.0
2024-07-31 00:00:00,17400000512.0,19800000512.0,17400000512.0,19800000512.0,0.0
2024-08-01 00:00:00,15150000128.0,17699999744.0,15150000128.0,17550000128.0,0.0
2024-08-02 00:00:00,13200000000.0,15150000128.0,13200000000.0,15000000512.0,0.0
2024-08-05 00:00:00,11550000128.0,12449999872.0,11249999872.0,12000000000.0,0.0
2024-08-06 00:00:00,12149999616.0,14549999616.0,11699999744.0,13500000256.0,0.0
2024-08-07 00:00:00,10800000000.0,12899999744.0,10499999744.0,12750000128.0,0.0
2024-08-08 00:00:00,10800000000.0,13500000256.0,10499999744.0,10800000000.0,0.0
2024-08-09 00:00:00,8999999488.0,10800000000.0,8849999872.0,10650000384.0,0.0
2024-08-12 00:00:00,7950000128.0,9450000384.0,7800000000.0,9299999744.0,0.0
2024-08-13 00:00:00,6600000000.0,7800000000.0,6449999872.0,7800000000.0,0.0
2024-08-14 00:00:00,5550000128.0,6750000128.0,5550000128.0,6750000128.0,0.0
2024-08-15 00:00:00,5100000256.0,6600000000.0,5100000256.0,5699999744.0,0.0
2024-08-16 00:00:00,4049999872.0,4800000000.0,3900000000.0,4800000000.0,0.0
2024-08-19 00:00:00,3750000128.0,4049999872.0,3449999872.0,4049999872.0,0.0
2024-08-20 00:00:00,3600000000.0,4499999744.0,3600000000.0,3900000000.0,0.0
2024-08-21 00:00:00,3750000128.0,4649999872.0,3750000128.0,4049999872.0,0.0
2024-08-22 00:00:00,5400000000.0,5550000128.0,3600000000.0,3750000128.0,0.0
2024-08-23 00:00:00,5100000256.0,7350000128.0,4649999872.0,5699999744.0,0.0
2024-08-26 00:00:00,5400000000.0,8550000128.0,4800000000.0,5100000256.0,0.0
2024-08-27 00:00:00,4499999744.0,6150000128.0,4499999744.0,6000000000.0,0.0
2024-08-28 00:00:00,4049999872.0,4499999744.0,4049999872.0,4350000128.0,0.0
2024-08-29 00:00:00,3600000000.0,4649999872.0,3449999872.0,4200000000.0,0.0
2024-08-30 00:00:00,3300000000.0,3600000000.0,3000000000.0,3600000000.0,0.0
2024-09-03 00:00:00,3150000128.0,3449999872.0,3000000000.0,3150000128.0,0.0
2024-09-04 00:00:00,3300000000.0,3750000128.0,3150000128.0,3600000000.0,0.0
2024-09-05 00:00:00,3300000000.0,3449999872.0,3150000128.0,3300000000.0,0.0
2024-09-06 00:00:00,2849999872.0,3300000000.0,2849999872.0,3300000000.0,0.0
2024-09-09 00:00:00,2550000128.0,2700000000.0,2550000128.0,2550000128.0,0.0
2024-09-10 00:00:00,2100000000.0,2550000128.0,2100000000.0,2550000128.0,0.0
2024-09-11 00:00:00,2700000000.0,3000000000.0,2100000000.0,2100000000.0,0.0
2024-09-12 00:00:00,2550000128.0,3000000000.0,2400000000.0,2700000000.0,0.0
2024-09-13 00:00:00,1950000000.0,2700000000.0,1800000000.0,2550000128.0,0.0
2024-09-16 00:00:00,1800000000.0,1950000000.0,1650000000.0,1950000000.0,0.0
2024-09-17 00:00:00,1567500032.0,2072999936.0,1432499968.0,1779000064.0,0.0
2024-09-18 00:00:00,1204499968.0,1504499968.0,1200000000.0,1504499968.0,0.0
2024-09-19 00:00:00,1153500032.0,1328999936.0,1072499968.0,1177500032.0,0.0
2024-09-20 00:00:00,1002000000.0,1272000000.0,987000000.0,1215000064.0,0.0
2024-09-23 00:00:00,879000000.0,966000000.0,852000000.0,961500032.0,0.0
2024-09-24 00:00:00,760499968.0,912000000.0,735000000.0,886499968.0,0.0
2024-09-25 00:00:00,697500032.0,744000000.0,657000000.0,727500032.0,0.0
2024-09-26 00:00:00,633000000.0,706499968.0,615000000.0,694499968.0,0.0
2024-09-27 00:00:00,546000000.0,625500032.0,540000000.0,621000000.0,0.0
2024-09-30 00:00:00,472500000.0,525000000.0,465000000.0,516000000.0,0.0
2024-10-01 00:00:00,483000000.0,595500032.0,420000000.0,430500000.0,0.0
2024-10-02 00:00:00,412500000.0,547500032.0,396000000.0,535500000.0,0.0
2024-10-03 00:00:00,372000000.0,411000000.0,361500000.0,397500000.0,0.0
2024-10-04 00:00:00,376500000.0,417000000.0,336000000.0,369000000.0,0.0
2024-10-07 00:00:00,391500000.0,408000000.0,337500000.0,354000000.0,0.0
2024-10-08 00:00:00,346500000.0,394500000.0,345000000.0,391500000.0,0.0
2024-10-09 00:00:00,337500000.0,364500000.0,337500000.0,345000000.0,0.0
2024-10-10 00:00:00,336000000.0,366000000.0,330000000.0,336000000.0,0.0
2024-10-11 00:00:00,319500000.0,334500000.0,315000000.0,333000000.0,0.0
2024-10-14 00:00:00,379500000.0,384000000.0,318000000.0,321000000.0,0.0
2024-10-15 00:00:00,340500000.0,405000000.0,333000000.0,370500000.0,0.0
2024-10-16 00:00:00,342000000.0,366000000.0,337500000.0,345000000.0,0.0
2024-10-17 00:00:00,354000000.0,397500000.0,345000000.0,369000000.0,0.0
2024-10-18 00:00:00,408000000.0,421500000.0,345000000.0,352500000.0,0.0
2024-10-21 00:00:00,420000000.0,522000000.0,409500000.0,411000000.0,0.0
2024-10-22 00:00:00,442500000.0,457500000.0,400500000.0,411000000.0,0.0
2024-10-23 00:00:00,364500000.0,436500000.0,361500000.0,436500000.0,0.0
2024-10-24 00:00:00,396000000.0,412500000.0,369000000.0,369000000.0,0.0
2024-10-25 00:00:00,420000000.0,441000000.0,388500000.0,394500000.0,0.0
2024-10-28 00:00:00,379500000.0,408000000.0,361500000.0,385500000.0,0.0
2024-10-29 00:00:00,346500000.0,384000000.0,340500000.0,373500000.0,0.0
2024-10-30 00:00:00,349500000.0,375000000.0,345000000.0,348000000.0,0.0
2024-10-31 00:00:00,307500000.0,351000000.0,306000000.0,351000000.0,0.0
2024-11-01 00:00:00,289500000.0,319500000.0,274500000.0,310500000.0,0.0
2024-11-04 00:00:00,274500000.0,289500000.0,265500000.0,286500000.0,0.0
2024-11-05 00:00:00,280500000.0,301500000.0,270000000.0,274500000.0,0.0
