Date,Close,High,Low,Open,Volume,"('Close', 'NRXP')","('High', 'NRXP')","('Low', 'NRXP')","('Open', 'NRXP')","('Volume', 'NRXP')"
2024-06-03,3.869999885559082,4.210000038146973,3.799999952316284,3.950000047683716,298700.0,,,,,
2024-06-04,3.539999961853028,3.9700000286102295,3.4800000190734863,3.900000095367432,231400.0,,,,,
2024-06-05,3.559999942779541,3.7090001106262207,3.319999933242798,3.3499999046325684,199500.0,,,,,
2024-06-06,3.400000095367432,3.660000085830689,3.400000095367432,3.539999961853028,136000.0,,,,,
2024-06-07,3.2100000381469727,3.400000095367432,3.200000047683716,3.3499999046325684,95300.0,,,,,
2024-06-10,3.180000066757202,3.384999990463257,3.039999961853028,3.200000047683716,87600.0,,,,,
2024-06-11,3.319999933242798,3.3989999294281006,3.2100000381469727,3.2699999809265137,63200.0,,,,,
2024-06-12,3.380000114440918,3.430000066757202,3.325000047683716,3.369999885559082,40600.0,,,,,
2024-06-13,3.440000057220459,3.5199999809265137,3.289999961853028,3.359999895095825,31900.0,,,,,
2024-06-14,3.0299999713897705,3.4600000381469727,3.0,3.4600000381469727,182800.0,,,,,
2024-06-17,3.069999933242798,3.190000057220459,3.039999961853028,3.039999961853028,52600.0,,,,,
2024-06-18,3.049999952316284,3.1700000762939453,3.0199999809265137,3.069999933242798,41300.0,,,,,
2024-06-20,2.900000095367432,3.0999999046325684,2.7799999713897705,3.049999952316284,86500.0,,,,,
2024-06-21,2.650000095367432,2.9600000381469727,2.640000104904175,2.900000095367432,119200.0,,,,,
2024-06-24,2.6700000762939453,2.809999942779541,2.569999933242798,2.680000066757202,104600.0,,,,,
2024-06-25,2.690000057220459,2.736999988555908,2.5899999141693115,2.5999999046325684,28000.0,,,,,
2024-06-26,2.4100000858306885,2.5999999046325684,2.3499999046325684,2.5199999809265137,132700.0,,,,,
2024-06-27,2.619999885559082,2.7660000324249268,2.4200000762939453,2.5,68700.0,,,,,
2024-06-28,2.440000057220459,2.690000057220459,2.400000095367432,2.5799999237060547,110100.0,,,,,
2024-07-01,2.5799999237060547,2.700000047683716,2.440000057220459,2.440000057220459,67200.0,,,,,
2024-07-02,2.5999999046325684,2.690000057220459,2.5309998989105225,2.569999933242798,35000.0,,,,,
2024-07-03,2.5799999237060547,2.690000057220459,2.5799999237060547,2.609999895095825,20700.0,,,,,
2024-07-05,2.490000009536743,2.6600000858306885,2.424999952316284,2.6600000858306885,53300.0,,,,,
2024-07-08,2.319999933242798,2.430000066757202,2.2799999713897705,2.4200000762939453,72900.0,,,,,
2024-07-09,2.150000095367432,2.390000104904175,2.150000095367432,2.390000104904175,80200.0,,,,,
2024-07-10,2.359999895095825,2.4590001106262207,2.150000095367432,2.150000095367432,203800.0,,,,,
2024-07-11,2.4200000762939453,2.5,2.380000114440918,2.4200000762939453,39700.0,,,,,
2024-07-12,2.4800000190734863,2.549999952316284,2.380000114440918,2.390000104904175,50600.0,,,,,
