Date,Close,High,Low,Open,Volume,"('Close', 'GOOGL')","('High', 'GOOGL')","('Low', 'GOOGL')","('Open', 'GOOGL')","('Volume', 'GOOGL')"
2024-06-03,171.9838104248047,173.33449524100553,169.9875840699293,171.35812097814537,27459100.0,,,,,
2024-06-04,172.5995635986328,172.6591653391861,170.71258431304562,172.09306246094846,26879600.0,,,,,
2024-06-05,174.20848083496094,175.43997738858263,172.73860762269004,173.99991262434497,22068500.0,,,,,
2024-06-06,175.51943969726562,175.93656098436625,174.54615669403083,174.69512317004168,23251000.0,,,,,
2024-06-07,173.2649688720703,176.65159911291653,173.10606122293635,175.83722393107303,19661400.0,,,,,
2024-06-10,174.01068115234375,176.0489786130458,171.77352873315732,173.9709162293112,23726700.0,,,,,
2024-06-11,175.61151123046875,175.83025626448708,172.7777935706797,175.21380126225154,21540600.0,,,,,
2024-06-12,176.77481079101562,179.3798608836739,175.1044108888481,177.2321908623203,27864700.0,,,,,
2024-06-13,174.15985107421875,175.73083119433963,173.88145107031502,175.1044235997251,20913300.0,,,,,
2024-06-14,175.78053283691406,176.04899540088178,173.1556076882918,173.2252152748125,18063600.0,,,,,
2024-06-17,176.2279510498047,177.34155090633004,173.81181865264895,174.45811620425826,19618500.0,,,,,
2024-06-18,174.09022521972656,176.3770951589655,173.10588787052086,176.1285226693017,21869900.0,,,,,
2024-06-20,175.2933349609375,176.27767237873894,173.99081745179618,174.36863734568504,20160100.0,,,,,
2024-06-21,178.60430908203125,179.81734403821838,175.60154917641552,175.98932165115332,57759000.0,,,,,
2024-06-24,178.1966552734375,179.85711775525812,177.64979273830824,179.13129030226546,18298000.0,,,,,
2024-06-25,182.97918701171875,183.23769694925025,178.39550951673985,178.59436448189186,23130200.0,,,,,
2024-06-26,182.8300323486328,183.4564246712397,181.43801738044664,181.5871699689987,19839000.0,,,,,
2024-06-27,184.351318359375,184.98766337259175,182.9692558226232,183.128330697181,18848900.0,,,,,
2024-06-28,181.1099090576172,184.07290404421764,180.92100671054675,183.2675316089203,29156600.0,,,,,
2024-07-01,181.9451141357422,182.83003153925785,180.26476177845004,181.98487905618407,16006100.0,,,,,
2024-07-02,184.18228149414065,184.51039900838427,180.5232864757524,181.01049402811316,17372500.0,,,,,
2024-07-03,184.7589569091797,185.02740425917847,182.94934200477917,183.794494490313,10242100.0,,,,,
2024-07-05,189.5116729736328,189.77018290215648,184.7390781179793,184.79873308828007,20967500.0,,,,,
