Date,Close,High,Low,Open,Volume,"('Close', 'BTQ')","('High', 'BTQ')","('Low', 'BTQ')","('Open', 'BTQ')","('Volume', 'BTQ')"
2025-09-26,5.260000228881836,6.800000190734863,4.940000057220459,6.599999904632568,6077400.0,,,,,
2025-09-29,6.260000228881836,7.070000171661377,5.900000095367432,6.050000190734863,6972800.0,,,,,
2025-09-30,6.920000076293945,7.289999961853027,6.679999828338623,7.139999866485596,7389300.0,,,,,
2025-10-01,6.739999771118164,7.199999809265137,6.449999809265137,6.75,4235900.0,,,,,
2025-10-02,6.389999866485596,6.849999904632568,6.130000114440918,6.815000057220459,3725200.0,,,,,
2025-10-03,6.940000057220459,7.599999904632568,6.5,6.849999904632568,6664500.0,,,,,
2025-10-06,9.100000381469728,9.15999984741211,6.980000019073486,7.300000190734863,9787800.0,,,,,
2025-10-07,13.789999961853027,14.380999565124512,9.350000381469728,10.970000267028809,27783200.0,,,,,
2025-10-08,14.140000343322754,16.0,13.609999656677246,15.300000190734863,22877700.0,,,,,
2025-10-09,12.489999771118164,15.149999618530272,11.75,13.56999969482422,14652400.0,,,,,
2025-10-10,10.119999885559082,13.229999542236328,8.930000305175781,12.829999923706056,19922000.0,,,,,
2025-10-13,12.079999923706056,12.5,11.020000457763672,11.104999542236328,9403600.0,,,,,
2025-10-14,11.675000190734863,12.6899995803833,10.93000030517578,12.359999656677246,9532400.0,,,,,
2025-10-15,10.789999961853027,12.81999969482422,10.314000129699709,12.539999961853027,8266600.0,,,,,
2025-10-16,11.15999984741211,13.850000381469728,11.0,11.520000457763672,21975900.0,,,,,
2025-10-17,11.710000038146973,12.380000114440918,11.109999656677246,11.43000030517578,9231900.0,,,,,
2025-10-20,,,,,,10.484999656677246,12.899999618530273,10.40999984741211,12.494999885559082,8951200.0
2025-10-21,,,,,,9.239999771118164,10.390000343322754,9.039999961853027,10.135000228881836,8222400.0
2025-10-22,,,,,,8.229999542236328,8.729999542236328,7.349999904632568,8.180000305175781,9989200.0
2025-10-23,,,,,,8.8100004196167,9.850000381469727,8.649999618530273,9.100000381469727,7835800.0
2025-10-24,,,,,,9.109999656677246,9.5600004196167,8.819999694824219,9.020000457763672,4913800.0
2025-10-27,,,,,,8.729999542236328,10.199999809265137,8.449999809265137,9.949999809265137,7597500.0
2025-10-28,,,,,,8.5,9.430000305175781,8.449999809265137,8.899999618530273,5058600.0
2025-10-29,,,,,,7.949999809265137,8.600000381469727,7.909999847412109,8.390000343322754,5271500.0
2025-10-30,,,,,,7.349999904632568,7.800000190734863,7.150000095367432,7.699999809265137,5705400.0
2025-10-31,,,,,,7.639999866485596,7.920000076293945,7.144999980926514,7.420000076293945,4191100.0
2025-11-03,,,,,,7.019999980926514,7.951000213623047,6.849999904632568,7.889999866485596,4281000.0
2025-11-04,,,,,,6.230000019073486,6.942999839782715,6.199999809265137,6.650000095367432,3602100.0
2025-11-05,,,,,,7.289999961853027,7.380000114440918,6.25,6.545000076293945,3387900.0
2025-11-06,,,,,,6.309999942779541,7.139999866485596,6.230000019073486,6.945000171661377,3369700.0
2025-11-07,,,,,,6.639999866485596,6.659999847412109,5.809999942779541,6.019999980926514,3689900.0
2025-11-10,,,,,,6.949999809265137,7.215000152587891,6.639999866485596,7.150000095367432,3325400.0
2025-11-11,,,,,,7.119999885559082,7.46999979019165,6.699999809265137,6.989999771118164,3902800.0
2025-11-12,,,,,,6.75,7.526000022888184,6.625,7.300000190734863,3578400.0
2025-11-13,,,,,,6.010000228881836,6.5,5.760000228881836,6.329999923706055,4377800.0
2025-11-14,,,,,,5.460000038146973,6.110000133514404,5.420000076293945,5.5,4330500.0
2025-11-17,,,,,,5.889999866485596,6.059999942779541,5.480000019073486,5.599999904632568,3556300.0
2025-11-18,,,,,,7.349999904632568,7.920000076293945,5.650000095367432,5.710000038146973,9353200.0
2025-11-19,,,,,,6.909999847412109,7.5,6.47599983215332,7.445000171661377,4637100.0
2025-11-20,,,,,,5.960000038146973,7.28000020980835,5.920000076293945,7.269999980926514,4356300.0
2025-11-21,,,,,,5.985000133514404,6.25,5.460000038146973,6.110000133514404,3671700.0
2025-11-24,,,,,,6.789999961853027,6.820000171661377,5.800000190734863,6.110000133514404,3286900.0
2025-11-25,,,,,,6.860000133514404,7.065000057220459,6.53000020980835,6.889999866485596,2548400.0
