Date,Close,High,Low,Open,Volume,"('Close', 'HPP')","('High', 'HPP')","('Low', 'HPP')","('Open', 'HPP')","('Volume', 'HPP')"
2024-06-03,4.741616249084473,4.959394296945495,4.711919542934736,4.860404017724684,1641800.0,,,,,
2024-06-04,4.731717109680176,4.899999531872937,4.7020199339869855,4.7020199339869855,1480600.0,,,,,
2024-06-05,4.71191930770874,4.810909109967199,4.622828249665822,4.731717268160431,1792300.0,,,,,
2024-06-06,4.8010101318359375,4.820808093269504,4.632727223640304,4.662424401800971,1376500.0,,,,,
2024-06-07,4.771313190460205,4.810909111375176,4.642626211476242,4.662424171933727,1798600.0,,,,,
2024-06-10,4.682222366333008,4.721818289226344,4.543636636206331,4.66242440488634,1757700.0,,,,,
2024-06-11,4.622828483581543,4.731717507585951,4.583232560674601,4.603030522128072,1413200.0,,,,,
2024-06-12,4.761414051055908,5.454343622290912,4.711919385123805,4.919797737271627,4014200.0,,,,,
2024-06-13,4.781211853027344,4.860403693504886,4.63272691612165,4.761413892907958,1194800.0,,,,,
2024-06-14,4.899999618530273,4.899999618530273,4.67232284092463,4.692120801063355,1896300.0,,,,,
2024-06-17,4.860000133514404,4.880000114440918,4.730000019073486,4.849999904632568,1454100.0,,,,,
2024-06-18,4.849999904632568,4.949999809265137,4.829999923706055,4.869999885559082,1246600.0,,,,,
2024-06-20,4.880000114440918,5.0,4.789999961853027,4.840000152587891,1210000.0,,,,,
2024-06-21,4.889999866485596,4.940000057220459,4.809999942779541,4.860000133514404,3803200.0,,,,,
2024-06-24,4.920000076293945,5.0,4.869999885559082,4.929999828338623,976100.0,,,,,
2024-06-25,4.71999979019165,4.929999828338623,4.71999979019165,4.929999828338623,1227700.0,,,,,
2024-06-26,4.730000019073486,4.829999923706055,4.650000095367432,4.650000095367432,2727900.0,,,,,
2024-06-27,4.800000190734863,4.840000152587891,4.679999828338623,4.75,1909900.0,,,,,
2024-06-28,4.809999942779541,4.889999866485596,4.679999828338623,4.829999923706055,4044500.0,,,,,
2024-07-01,4.699999809265137,4.900000095367432,4.630000114440918,4.860000133514404,2272200.0,,,,,
2024-07-02,4.929999828338623,4.949999809265137,4.690000057220459,4.730000019073486,2068800.0,,,,,
2024-07-03,5.059999942779541,5.119999885559082,4.949999809265137,4.96999979019165,1320000.0,,,,,
2024-07-05,4.889999866485596,5.079999923706055,4.800000190734863,5.039999961853027,1724000.0,,,,,
2024-07-08,5.019999980926514,5.079999923706055,4.929999828338623,4.949999809265137,1876000.0,,,,,
2024-07-09,5.150000095367432,5.159999847412109,4.96999979019165,5.010000228881836,1677100.0,,,,,
2024-07-10,4.769999980926514,4.980000019073486,4.480000019073486,4.960000038146973,5538600.0,,,,,
2024-07-11,5.329999923706055,5.389999866485596,4.920000076293945,4.989999771118164,2754200.0,,,,,
2024-07-12,5.420000076293945,5.519999980926514,5.329999923706055,5.389999866485596,1581100.0,,,,,
2024-07-15,5.489999771118164,5.579999923706055,5.400000095367432,5.510000228881836,1918300.0,,,,,
2024-07-16,5.570000171661377,5.630000114440918,5.449999809265137,5.570000171661377,2254900.0,,,,,
2024-07-17,5.46999979019165,5.699999809265137,5.349999904632568,5.519999980926514,2478200.0,,,,,
