Date,Close,High,Low,Open,Volume,"('Close', 'ABBV')","('High', 'ABBV')","('Low', 'ABBV')","('Open', 'ABBV')","('Volume', 'ABBV')"
2024-06-03,152.15414428710938,155.00365066019464,150.86236748491052,151.9736732312131,4467800.0,,,,,
2024-06-04,154.00633239746094,154.64272046395104,151.75522682713958,152.1541560109092,4215500.0,,,,,
2024-06-05,157.14077758789062,157.6536823486676,154.0253185026637,154.72818745286403,5100500.0,,,,,
2024-06-06,160.11378479003906,160.40823149007775,156.10547763035677,157.18828957200827,5186700.0,,,,,
2024-06-07,160.92112731933594,161.79497423279636,159.37289082946984,160.522198151887,3781700.0,,,,,
2024-06-10,161.90896606445312,162.18441198299172,159.2779176655105,160.5221998543227,4247500.0,,,,,
2024-06-11,159.2873992919922,162.07991778528856,159.02144653009145,161.70948254597403,3790200.0,,,,,
2024-06-12,157.75819396972656,160.08528833006193,156.75137053578612,159.45840783849422,4725600.0,,,,,
2024-06-13,158.20458984375,158.527530417554,156.72284886433053,157.67268431199315,3690800.0,,,,,
2024-06-14,160.13278198242188,160.7501838248145,157.67271123137047,158.1191351274567,4377600.0,,,,,
2024-06-17,161.16807556152344,161.85195825925786,158.96446480808734,159.95228731962646,4076000.0,,,,,
2024-06-18,162.76382446289062,164.3310473619083,161.3485642407017,161.8899774744275,4250900.0,,,,,
2024-06-20,163.4951934814453,164.1410746813471,161.49103994487706,162.5928381384355,5847500.0,,,,,
2024-06-21,161.8424835205078,164.2550595110335,161.08261215960485,164.03660138627637,12228100.0,,,,,
2024-06-24,164.07460021972656,164.71098830715198,162.1369275567132,162.54536438496564,6249900.0,,,,,
2024-06-25,162.18441772460938,164.71098372803272,162.06093446709662,163.46670149517072,4844600.0,,,,,
2024-06-26,162.5643310546875,163.7041451864454,161.61449560711506,161.74747199004165,5576100.0,,,,,
2024-06-27,160.51271057128906,162.953780333758,159.33490930280456,162.69732068389848,5382000.0,,,,,
2024-06-28,162.91578674316406,163.20074028785285,160.56969193145798,161.4625396079245,24463400.0,,,,,
2024-07-01,161.82347106933594,165.15740298246425,161.0351058574758,162.6783317236451,5194500.0,,,,,
2024-07-02,157.6347198486328,160.17077911792236,157.15029442520552,160.17077911792236,5965500.0,,,,,
2024-07-03,155.6210479736328,158.71752104168982,155.31710814405227,157.75817789164475,3527600.0,,,,,
2024-07-05,158.8599853515625,158.91697316190232,155.42158552322687,156.4569027266383,5978300.0,,,,,
2024-07-08,158.16661071777344,159.30641041333786,157.3117500760955,158.18559699247288,3500200.0,,,,,
2024-07-09,159.619873046875,160.07579006979367,156.58989521010184,158.64154355324703,4224600.0,,,,,
2024-07-10,159.70533752441406,159.999784205196,157.7771726534814,159.04994872224043,3887800.0,,,,,
