Date,Close,High,Low,Open,Volume,"('Close', 'CABA')","('High', 'CABA')","('Low', 'CABA')","('Open', 'CABA')","('Volume', 'CABA')"
2024-06-03,10.010000228881836,11.3100004196167,9.829999923706056,10.380000114440918,1485300.0,,,,,
2024-06-04,9.9399995803833,10.526000022888184,9.850000381469728,10.0,1034300.0,,,,,
2024-06-05,11.170000076293944,11.270000457763672,9.520000457763672,9.890000343322754,1349100.0,,,,,
2024-06-06,11.020000457763672,11.350000381469728,10.880000114440918,11.170000076293944,883300.0,,,,,
2024-06-07,10.539999961853027,11.3100004196167,10.34000015258789,10.899999618530272,779300.0,,,,,
2024-06-10,10.989999771118164,11.399999618530272,10.0,10.34000015258789,796500.0,,,,,
2024-06-11,11.06999969482422,11.210000038146973,10.619999885559082,10.779999732971191,879500.0,,,,,
2024-06-12,12.15999984741211,13.09000015258789,11.300000190734863,11.56999969482422,1594500.0,,,,,
2024-06-13,12.5600004196167,13.199999809265137,11.800000190734863,12.18000030517578,1160700.0,,,,,
2024-06-14,10.65999984741211,13.5,10.0,13.350000381469728,4729600.0,,,,,
2024-06-17,9.359999656677246,10.539999961853027,9.25,10.539999961853027,2208700.0,,,,,
2024-06-18,8.350000381469727,9.40999984741211,7.635000228881836,9.40999984741211,3458100.0,,,,,
2024-06-20,8.329999923706055,8.40999984741211,7.78000020980835,8.270000457763672,1605100.0,,,,,
2024-06-21,8.479999542236328,9.25,8.170000076293945,8.5,4020900.0,,,,,
2024-06-24,8.350000381469727,9.050000190734863,8.319999694824219,8.59000015258789,695800.0,,,,,
2024-06-25,7.224999904632568,8.359999656677246,7.224999904632568,8.359999656677246,1769100.0,,,,,
2024-06-26,7.260000228881836,7.420000076293945,6.900000095367432,7.179999828338623,1102700.0,,,,,
2024-06-27,7.340000152587891,7.480000019073486,6.980000019073486,7.28000020980835,2103700.0,,,,,
2024-06-28,7.480000019073486,7.619999885559082,7.079999923706055,7.409999847412109,3404400.0,,,,,
2024-07-01,7.809999942779541,7.880000114440918,7.289999961853027,7.420000076293945,948300.0,,,,,
2024-07-02,7.389999866485596,7.900000095367432,7.389999866485596,7.769999980926514,850500.0,,,,,
2024-07-03,7.550000190734863,7.809999942779541,7.235000133514404,7.389999866485596,509400.0,,,,,
