Date,Close,High,Low,Open,Volume,"('Close', 'TDUP')","('High', 'TDUP')","('Low', 'TDUP')","('Open', 'TDUP')","('Volume', 'TDUP')"
2024-06-03,1.9800000190734863,2.069999933242798,1.9800000190734863,2.009999990463257,245100.0,,,,,
2024-06-04,1.8899999856948853,2.009999990463257,1.8799999952316284,1.9900000095367432,569300.0,,,,,
2024-06-05,1.9299999475479128,1.9800000190734863,1.8200000524520876,1.8899999856948853,623800.0,,,,,
2024-06-06,1.8799999952316284,1.950000047683716,1.8600000143051147,1.899999976158142,588900.0,,,,,
2024-06-07,1.8200000524520876,1.8849999904632568,1.815000057220459,1.840000033378601,273300.0,,,,,
2024-06-10,1.909999966621399,1.919999957084656,1.7899999618530271,1.7899999618530271,539100.0,,,,,
2024-06-11,1.8899999856948853,1.940000057220459,1.8799999952316284,1.909999966621399,441500.0,,,,,
2024-06-12,1.919999957084656,1.9700000286102293,1.9049999713897705,1.919999957084656,383800.0,,,,,
2024-06-13,1.8899999856948853,1.9299999475479128,1.8799999952316284,1.909999966621399,159900.0,,,,,
2024-06-14,1.7999999523162842,1.919999957084656,1.774999976158142,1.8600000143051147,403000.0,,,,,
2024-06-17,1.7599999904632568,1.8600000143051147,1.75,1.7899999618530271,454600.0,,,,,
2024-06-18,1.6699999570846558,1.7599999904632568,1.6699999570846558,1.7599999904632568,388500.0,,,,,
2024-06-20,1.649999976158142,1.690000057220459,1.6399999856948853,1.6699999570846558,478000.0,,,,,
2024-06-21,1.6200000047683716,1.684999942779541,1.600000023841858,1.649999976158142,1019300.0,,,,,
2024-06-24,1.600000023841858,1.6100000143051147,1.5800000429153442,1.6100000143051147,259000.0,,,,,
2024-06-25,1.6299999952316284,1.6699999570846558,1.5750000476837158,1.590000033378601,341700.0,,,,,
2024-06-26,1.649999976158142,1.6699999570846558,1.5950000286102295,1.6200000047683716,505300.0,,,,,
2024-06-27,1.6799999475479126,1.7300000190734863,1.6299999952316284,1.649999976158142,441000.0,,,,,
2024-06-28,1.7000000476837158,1.7300000190734863,1.6100000143051147,1.6799999475479126,1464300.0,,,,,
2024-07-01,1.6299999952316284,1.7200000286102295,1.6200000047683716,1.7000000476837158,350600.0,,,,,
2024-07-02,1.590000033378601,1.6399999856948853,1.5800000429153442,1.6399999856948853,247700.0,,,,,
2024-07-03,1.649999976158142,1.659999966621399,1.590000033378601,1.600000023841858,150200.0,,,,,
2024-07-05,1.7000000476837158,1.7100000381469729,1.6299999952316284,1.649999976158142,256100.0,,,,,
2024-07-08,1.7000000476837158,1.7100000381469729,1.6799999475479126,1.7000000476837158,149700.0,,,,,
2024-07-09,1.75,1.7599999904632568,1.649999976158142,1.690000057220459,175700.0,,,,,
2024-07-10,1.659999966621399,1.7699999809265137,1.649999976158142,1.7699999809265137,257100.0,,,,,
2024-07-11,1.7699999809265137,1.7899999618530271,1.6799999475479126,1.7100000381469729,380400.0,,,,,
