Date,Close,High,Low,Open,Volume,"('Close', 'ADI')","('High', 'ADI')","('Low', 'ADI')","('Open', 'ADI')","('Volume', 'ADI')"
2024-06-03,226.4877166748047,230.46716121250265,222.87888289413124,229.29673547301672,3087800.0,,,,,
2024-06-04,225.84141540527344,227.35922067611327,224.19628961156656,227.0458726318646,2616000.0,,,,,
2024-06-05,230.78656005859372,231.0705471451098,226.4191715750741,227.18297521016444,4016700.0,,,,,
2024-06-06,232.48065185546875,233.4305129085464,228.4461853920356,229.6506576193219,2757000.0,,,,,
2024-06-07,229.8954620361328,232.67649137718345,228.42660661687748,231.14888413187307,2208200.0,,,,,
2024-06-10,230.4829864501953,231.0803215622612,226.38978334342576,227.46693497795852,2765600.0,,,,,
2024-06-11,231.3936920166016,231.5993234065928,228.2895127084132,228.79870515922852,3098600.0,,,,,
2024-06-12,233.4892578125,235.58482426146867,231.53078393712852,234.0670040196618,2515000.0,,,,,
2024-06-13,229.1708068847656,231.34471396371876,227.66278865709813,227.72154047945324,2673800.0,,,,,
2024-06-14,226.3897857666016,227.74113749668325,224.6859081478885,225.32242111062348,2252400.0,,,,,
2024-06-17,227.56488037109372,227.67259703618757,223.20727881406404,225.75328598778108,2415000.0,,,,,
2024-06-18,230.4927978515625,231.5209846945012,226.4779203836217,226.92837595465687,2457400.0,,,,,
2024-06-20,224.7446746826172,227.8390671362561,224.05921178262645,227.60404488112897,4562300.0,,,,,
2024-06-21,226.252685546875,227.0654539554644,224.31380069593345,226.73250205825696,7167000.0,,,,,
2024-06-24,223.7164764404297,227.1242167858454,223.36395054663012,226.252696512559,2413600.0,,,,,
2024-06-25,225.5574188232422,226.28205949184868,221.1508528735942,226.28205949184868,2001300.0,,,,,
2024-06-26,223.10934448242188,225.21471290313093,221.8657243064454,224.55862593560775,2510600.0,,,,,
2024-06-27,221.97341918945312,223.69688574188675,221.28795632972145,222.2867821778846,2159000.0,,,,,
2024-06-28,223.52061462402344,227.2515198512261,222.14968890886183,223.41289796483437,3634000.0,,,,,
2024-07-01,220.5045623779297,222.23781590933032,219.2707292383733,221.9930066794364,2307800.0,,,,,
2024-07-02,223.50103759765625,223.6283282353488,219.89743800096457,219.89743800096457,2417900.0,,,,,
2024-07-03,225.24407958984372,226.1939405936697,222.32594282210408,223.9221037765277,1425700.0,,,,,
2024-07-05,226.0959930419922,226.703115100428,223.62831202523844,226.61498737103605,2251800.0,,,,,
2024-07-08,228.49514770507807,228.8966384430725,226.8598237817512,227.3592292501541,1729500.0,,,,,
2024-07-09,227.19276428222656,229.39604746716688,226.1156125792157,228.9064289816246,1315500.0,,,,,
2024-07-10,233.3815460205078,234.1257607295657,228.2601409133197,229.59190377403448,4037600.0,,,,,
2024-07-11,228.8868408203125,234.2334659836942,228.81828706443787,233.802599352395,3103700.0,,,,,
2024-07-12,233.6067657470703,237.132024764167,231.246801097902,233.4011343538889,3105700.0,,,,,
2024-07-15,232.78419494628903,234.79163356142615,231.1978359641465,232.2162357564181,2057200.0,,,,,
2024-07-16,238.27772521972656,238.76734368729464,232.71565165832865,234.04741448779268,1964600.0,,,,,
2024-07-17,230.71800231933597,239.0708917257599,230.5221579313691,235.4868811522876,4448200.0,,,,,
2024-07-18,234.02783203125,236.0940224872325,231.3838804485655,231.56993785021788,3688500.0,,,,,
2024-07-19,226.41915893554688,235.3106318482135,225.94912940372316,235.3106318482135,2894900.0,,,,,
2024-07-22,235.05601501464844,235.2714483244436,228.4755569020746,232.19664510696728,2827300.0,,,,,
2024-07-23,225.537841796875,232.0007961371957,224.2746178742062,229.2393559492141,3876200.0,,,,,
2024-07-24,219.95620727539065,226.1645811299093,219.09448888722616,225.84143113110864,4589600.0,,,,,
