Date,Close,High,Low,Open,Volume,"('Close', 'CIFR')","('High', 'CIFR')","('Low', 'CIFR')","('Open', 'CIFR')","('Volume', 'CIFR')"
2024-06-03,3.640000104904175,3.880000114440918,3.630000114440918,3.7799999713897705,4554000.0,,,,,
2024-06-04,3.849999904632568,3.954999923706055,3.5799999237060547,3.5999999046325684,6584700.0,,,,,
2024-06-05,4.039999961853027,4.050000190734863,3.744999885559082,3.910000085830689,6539800.0,,,,,
2024-06-06,4.110000133514404,4.360000133514404,4.039999961853027,4.110000133514404,11937200.0,,,,,
2024-06-07,4.03000020980835,4.570000171661377,3.9800000190734863,4.110000133514404,12001100.0,,,,,
2024-06-10,4.179999828338623,4.420000076293945,3.9700000286102295,3.990000009536743,9624400.0,,,,,
2024-06-11,4.195000171661377,4.21999979019165,3.759999990463257,3.9800000190734863,9339900.0,,,,,
2024-06-12,4.570000171661377,4.739999771118164,4.320000171661377,4.320000171661377,15644900.0,,,,,
2024-06-13,4.989999771118164,5.114999771118164,4.630000114440918,4.630000114440918,18311100.0,,,,,
2024-06-14,4.949999809265137,5.230000019073486,4.840000152587891,5.099999904632568,10617100.0,,,,,
2024-06-17,5.0,5.179999828338623,4.619999885559082,4.840000152587891,11722500.0,,,,,
2024-06-18,5.010000228881836,5.065000057220459,4.650000095367432,4.800000190734863,8984800.0,,,,,
2024-06-20,5.239999771118164,5.889999866485596,5.105000019073486,5.3379998207092285,24276100.0,,,,,
2024-06-21,4.559999942779541,5.0,4.369999885559082,4.98199987411499,20464200.0,,,,,
2024-06-24,4.269999980926514,4.474999904632568,4.170000076293945,4.269999980926514,10518800.0,,,,,
2024-06-25,4.239999771118164,4.454999923706055,4.179999828338623,4.389999866485596,12971000.0,,,,,
2024-06-26,4.210000038146973,4.550000190734863,4.179999828338623,4.329999923706055,9914800.0,,,,,
2024-06-27,4.190000057220459,4.389999866485596,4.045000076293945,4.25,11227000.0,,,,,
2024-06-28,4.150000095367432,4.309999942779541,4.059999942779541,4.21999979019165,25480500.0,,,,,
2024-07-01,4.71999979019165,4.744999885559082,4.230000019073486,4.230000019073486,14007900.0,,,,,
2024-07-02,4.579999923706055,4.829999923706055,4.511000156402588,4.690000057220459,8348200.0,,,,,
2024-07-03,4.650000095367432,4.820000171661377,4.400000095367432,4.46999979019165,5828200.0,,,,,
2024-07-05,4.699999809265137,4.715000152587891,4.170000076293945,4.199999809265137,7850900.0,,,,,
2024-07-08,4.619999885559082,4.864999771118164,4.585000038146973,4.75,5797500.0,,,,,
2024-07-09,4.369999885559082,4.78000020980835,4.309999942779541,4.699999809265137,6723000.0,,,,,
