Date,Close,High,Low,Open,Volume,"('Close', 'CXAI')","('High', 'CXAI')","('Low', 'CXAI')","('Open', 'CXAI')","('Volume', 'CXAI')"
2024-06-03,2.6700000762939453,2.690000057220459,2.299999952316284,2.3399999141693115,1169500.0,,,,,
2024-06-04,2.650000095367432,2.7799999713897705,2.509999990463257,2.720000028610229,628200.0,,,,,
2024-06-05,2.7100000381469727,2.759999990463257,2.559999942779541,2.6600000858306885,387100.0,,,,,
2024-06-06,2.559999942779541,2.720000028610229,2.5299999713897705,2.720000028610229,288800.0,,,,,
2024-06-07,2.619999885559082,2.680000066757202,2.4800000190734863,2.539999961853028,359700.0,,,,,
2024-06-10,2.509999990463257,2.630000114440918,2.509999990463257,2.619999885559082,251000.0,,,,,
2024-06-11,2.494999885559082,2.509999990463257,2.400000095367432,2.490000009536743,215500.0,,,,,
2024-06-12,2.509999990463257,2.625,2.4600000381469727,2.559999942779541,352700.0,,,,,
2024-06-13,2.4100000858306885,2.5,2.369999885559082,2.470000028610229,276800.0,,,,,
2024-06-14,2.380000114440918,2.4189999103546143,2.299999952316284,2.359999895095825,206900.0,,,,,
2024-06-17,2.3399999141693115,2.400000095367432,2.3299999237060547,2.400000095367432,220500.0,,,,,
2024-06-18,2.259999990463257,2.3299999237060547,2.25,2.319999933242798,258700.0,,,,,
2024-06-20,2.2100000381469727,2.2799999713897705,2.1600000858306885,2.25,386000.0,,,,,
2024-06-21,2.2799999713897705,2.299999952316284,2.150000095367432,2.190000057220459,201400.0,,,,,
2024-06-24,2.109999895095825,2.299999952316284,2.049999952316284,2.299999952316284,279400.0,,,,,
2024-06-25,2.065000057220459,2.150000095367432,2.059999942779541,2.130000114440918,197100.0,,,,,
2024-06-26,2.220000028610229,2.2799999713897705,2.039999961853028,2.039999961853028,281800.0,,,,,
2024-06-27,2.150000095367432,2.220000028610229,2.109999895095825,2.220000028610229,222700.0,,,,,
2024-06-28,2.0199999809265137,2.180000066757202,2.009999990463257,2.1700000762939453,655700.0,,,,,
2024-07-01,2.009999990463257,2.0799999237060547,2.0,2.0299999713897705,262800.0,,,,,
2024-07-02,2.0799999237060547,2.0999999046325684,2.0,2.0,181000.0,,,,,
2024-07-03,2.069999933242798,2.1700000762939453,2.059999942779541,2.0799999237060547,157900.0,,,,,
2024-07-05,2.1600000858306885,2.1700000762939453,2.069999933242798,2.109999895095825,199500.0,,,,,
2024-07-08,2.2300000190734863,2.309999942779541,2.130000114440918,2.2100000381469727,334900.0,,,,,
2024-07-09,2.3499999046325684,2.3949999809265137,2.1700000762939453,2.259999990463257,325200.0,,,,,
2024-07-10,2.4800000190734863,2.549999952316284,2.309999942779541,2.309999942779541,457100.0,,,,,
2024-07-11,2.369999885559082,2.6600000858306885,2.319999933242798,2.549999952316284,561100.0,,,,,
2024-07-12,2.470000028610229,2.509000062942505,2.400000095367432,2.4200000762939453,194100.0,,,,,
