Date,Close,High,Low,Open,Volume,"('Close', 'UOKA')","('High', 'UOKA')","('Low', 'UOKA')","('Open', 'UOKA')","('Volume', 'UOKA')"
2024-06-03,30.625,32.400001525878906,29.100000381469727,30.5,184.0,,,,,
2024-06-04,29.200000762939453,31.5,29.100000381469727,31.5,40.0,,,,,
2024-06-05,33.75,36.79999923706055,32.125,33.0,5804.0,,,,,
2024-06-06,33.75,35.75,32.5,35.75,988.0,,,,,
2024-06-07,33.5,34.79999923706055,31.0,32.25,544.0,,,,,
2024-06-10,32.5,32.875,31.0,32.875,24.0,,,,,
2024-06-11,32.099998474121094,34.75,31.25,34.724998474121094,172.0,,,,,
2024-06-12,31.0,34.5,29.75,29.75,232.0,,,,,
2024-06-13,32.5,32.625,29.75,32.625,416.0,,,,,
2024-06-14,30.25,32.75,30.0,30.024999618530277,112.0,,,,,
2024-06-17,30.25,30.899999618530277,30.25,30.25,248.0,,,,,
2024-06-18,31.0,32.5,30.0,30.25,448.0,,,,,
2024-06-20,31.25,31.875,31.25,31.25,120.0,,,,,
2024-06-21,32.75,33.57500076293945,31.25,32.625,120.0,,,,,
2024-06-24,33.75,33.75,31.25,32.75,108.0,,,,,
2024-06-25,32.125,34.75,32.125,33.75,236.0,,,,,
2024-06-26,30.75,33.5,30.75,30.75,80.0,,,,,
2024-06-27,32.0,32.0,32.0,32.0,16.0,,,,,
2024-06-28,30.75,32.25,30.75,31.25,344.0,,,,,
2024-07-01,30.75,32.0,28.25,30.75,348.0,,,,,
2024-07-02,28.75,29.875,28.75,29.0,40.0,,,,,
2024-07-03,29.0,30.0,29.0,30.0,32.0,,,,,
2024-07-05,29.0,30.75,28.75,29.049999237060547,132.0,,,,,
2024-07-08,29.25,29.5,29.25,29.274999618530277,152.0,,,,,
2024-07-09,29.25,30.25,29.0,29.424999237060547,316.0,,,,,
2024-07-10,29.25,29.25,29.25,29.25,12.0,,,,,
2024-07-11,28.75,31.0,28.75,31.0,332.0,,,,,
2024-07-12,29.600000381469727,29.600000381469727,28.75,29.0,96.0,,,,,
2024-07-15,29.5,29.950000762939453,29.25,29.950000762939453,272.0,,,,,
2024-07-16,29.5,29.5,29.5,29.5,0.0,,,,,
2024-07-17,37.5,37.5,31.225000381469727,31.25,2832.0,,,,,
2024-07-18,33.0,36.5,32.75,35.75,1204.0,,,,,
2024-07-19,34.25,35.5,30.5,31.25,3740.0,,,,,
2024-07-22,33.75,36.0,31.475000381469727,33.25,1424.0,,,,,
2024-07-23,33.125,33.75,30.25,30.25,816.0,,,,,
2024-07-24,33.5,33.5,31.0,33.25,784.0,,,,,
2024-07-25,32.25,33.25,30.75,32.75,468.0,,,,,
2024-07-26,32.75,34.599998474121094,32.0,32.0,992.0,,,,,
2024-07-29,35.625,36.0,32.75,33.625,896.0,,,,,
2024-07-30,34.75,34.75,34.25,34.75,36.0,,,,,
2024-07-31,40.25,42.5,33.5,33.5,71360.0,,,,,
2024-08-01,29.75,40.25,25.5,40.0,224516.0,,,,,
2024-08-02,30.5,36.25,29.100000381469727,29.5,24608.0,,,,,
2024-08-05,31.25,33.75,27.0,28.25,6852.0,,,,,
2024-08-06,28.950000762939453,32.5,28.274999618530277,30.0,2896.0,,,,,
2024-08-07,28.25,29.5,27.25,28.25,3484.0,,,,,
2024-08-08,26.75,28.25,26.5,27.75,1208.0,,,,,
2024-08-09,25.774999618530277,27.299999237060547,25.75,26.299999237060547,892.0,,,,,
2024-08-12,26.75,27.5,26.0,26.75,380.0,,,,,
2024-08-13,26.125,27.25,25.75,26.75,416.0,,,,,
2024-08-14,31.274999618530277,33.5,25.75,26.399999618530277,9344.0,,,,,
2024-08-15,29.350000381469727,32.25,26.25,30.700000762939453,8524.0,,,,,
2024-08-16,29.125,30.075000762939453,27.0,29.0,1628.0,,,,,
2024-08-19,28.5,32.75,28.0,28.75,5384.0,,,,,
2024-08-20,27.75,29.0,27.5,28.75,1740.0,,,,,
2024-08-21,28.25,29.0,27.5,27.75,4272.0,,,,,
2024-08-22,27.75,29.75,27.75,27.75,952.0,,,,,
2024-08-23,28.0,29.649999618530277,28.0,28.024999618530277,604.0,,,,,
2024-08-26,28.024999618530277,28.25,28.0,28.25,76.0,,,,,
2024-08-27,28.5,29.125,26.0,28.0,11944.0,,,,,
2024-08-28,25.5,27.0,25.25,27.0,8688.0,,,,,
2024-08-29,25.25,26.75,25.25,26.75,1168.0,,,,,
2024-08-30,26.0,26.674999237060547,25.5,25.5,780.0,,,,,
2024-09-03,26.0,26.5,25.5,26.25,1036.0,,,,,
2024-09-04,26.0,26.5,25.75,26.0,264.0,,,,,
2024-09-05,26.25,27.0,25.75,25.75,584.0,,,,,
2024-09-06,27.25,28.5,26.75,26.75,2472.0,,,,,
2024-09-09,27.25,28.225000381469727,27.0,27.25,600.0,,,,,
2024-09-10,27.25,28.5,27.0,27.25,3668.0,,,,,
2024-09-11,17.125,25.875,14.725000381469728,25.25,20484.0,,,,,
2024-09-12,17.75,18.375,16.825000762939453,17.5,3252.0,,,,,
2024-09-13,17.825000762939453,17.924999237060547,17.25,17.575000762939453,1068.0,,,,,
2024-09-16,18.174999237060547,18.350000381469727,17.5,17.975000381469727,1064.0,,,,,
2024-09-17,18.125,18.375,17.700000762939453,18.25,1168.0,,,,,
2024-09-18,17.75,18.125,17.75,17.75,396.0,,,,,
2024-09-19,17.625,18.0,17.0,17.475000381469727,572.0,,,,,
2024-09-20,17.700000762939453,18.25,17.700000762939453,17.950000762939453,592.0,,,,,
2024-09-23,17.700000762939453,18.0,17.700000762939453,17.75,1928.0,,,,,
2024-09-24,17.0,17.75,16.850000381469727,17.75,512.0,,,,,
2024-09-25,18.25,19.25,16.25,16.5,3304.0,,,,,
2024-09-26,17.75,20.700000762939453,17.5,18.325000762939453,4680.0,,,,,
2024-09-27,17.325000762939453,18.475000381469727,16.774999618530273,18.475000381469727,288.0,,,,,
2024-09-30,17.5,18.125,17.0,17.549999237060547,10924.0,,,,,
2024-10-01,15.024999618530272,17.875,15.024999618530272,17.450000762939453,4180.0,,,,,
2024-10-02,16.174999237060547,16.625,15.5,16.0,2100.0,,,,,
