Date,Close,High,Low,Open,Volume,"('Close', 'VCIG')","('High', 'VCIG')","('Low', 'VCIG')","('Open', 'VCIG')","('Volume', 'VCIG')"
2024-06-03,21021.0,21021.0,20021.400390625,20874.0,5.0,,,,,
2024-06-04,20609.400390625,21462.0,20580.0,21021.0,2.0,,,,,
2024-06-05,20874.0,21462.0,20021.400390625,20727.0,4.0,,,,,
2024-06-06,20609.400390625,21403.19921875,20021.400390625,20286.0,5.0,,,,,
2024-06-07,18757.19921875,21844.19921875,17669.400390625,21609.0,145.0,,,,,
2024-06-10,18404.400390625,18522.0,16170.0,17640.0,14.0,,,,,
2024-06-11,20315.400390625,20580.0,17140.19921875,17787.0,57.0,,,,,
2024-06-12,19404.0,20286.0,17346.0,20286.0,10.0,,,,,
2024-06-13,18933.599609375,20286.0,18257.400390625,20080.19921875,10.0,,,,,
2024-06-14,18816.0,18816.0,17816.400390625,18522.0,24.0,,,,,
2024-06-17,18992.400390625,19374.599609375,18522.0,18522.0,3.0,,,,,
2024-06-18,18698.400390625,19110.0,17963.400390625,19110.0,6.0,,,,,
2024-06-20,18375.0,18816.0,17316.599609375,18816.0,6.0,,,,,
2024-06-21,19404.0,19404.0,17934.0,18228.0,4.0,,,,,
2024-06-24,17904.599609375,20168.400390625,17022.599609375,19992.0,230.0,,,,,
2024-06-25,16758.0,17787.0,16464.0,17493.0,13.0,,,,,
2024-06-26,18228.0,18522.0,16611.0,17346.0,11.0,,,,,
2024-06-27,17346.0,18228.0,17081.400390625,18228.0,4.0,,,,,
2024-06-28,17610.599609375,18081.0,16934.400390625,17640.0,4.0,,,,,
2024-07-01,17346.0,17992.80078125,17081.400390625,17640.0,5.0,,,,,
2024-07-02,18081.0,18228.0,17228.400390625,17963.400390625,38.0,,,,,
2024-07-03,17169.599609375,17640.0,17081.400390625,17581.19921875,5.0,,,,,
2024-07-05,16611.0,17169.599609375,16199.400390625,17140.19921875,8.0,,,,,
2024-07-08,16023.0,16611.0,15435.0,16522.80078125,9.0,,,,,
2024-07-09,15552.599609375,16170.0,14700.0,16023.0,14.0,,,,,
2024-07-10,15170.400390625,15552.599609375,14729.400390625,15376.2001953125,5.0,,,,,
2024-07-11,15582.0,15846.599609375,15052.7998046875,15199.7998046875,4.0,,,,,
2024-07-12,16758.0,16758.0,15111.599609375,15435.0,10.0,,,,,
2024-07-15,15405.599609375,16758.0,15023.400390625,16728.599609375,10.0,,,,,
2024-07-16,15082.2001953125,15435.0,14729.400390625,15288.0,7.0,,,,,
2024-07-17,15111.599609375,15582.0,14729.400390625,15111.599609375,6.0,,,,,
2024-07-18,14670.599609375,15229.2001953125,14141.400390625,15229.2001953125,13.0,,,,,
2024-07-19,14670.599609375,14994.0,14170.7998046875,14758.7998046875,5.0,,,,,
2024-07-22,13965.0,14670.599609375,13524.0,14494.2001953125,7.0,,,,,
2024-07-23,12818.400390625,14112.0,12289.2001953125,14112.0,32.0,,,,,
2024-07-24,12318.599609375,13053.599609375,12054.0,13053.599609375,17.0,,,,,
2024-07-25,13641.599609375,15582.0,12289.2001953125,12436.2001953125,53.0,,,,,
2024-07-26,10084.2001953125,14406.0,8849.400390625,14406.0,208.0,,,,,
2024-07-29,9672.599609375,10290.0,9261.0,10260.599609375,35.0,,,,,
2024-07-30,9378.599609375,10143.0,8967.0,9996.0,50.0,,,,,
2024-07-31,8996.400390625,9437.400390625,8614.2001953125,9114.0,29.0,,,,,
2024-08-01,8526.0,9408.0,8232.0,9231.599609375,22.0,,,,,
2024-08-02,8349.599609375,8731.7998046875,7732.2001953125,8673.0,13.0,,,,,
2024-08-05,8232.0,8526.0,7379.39990234375,7644.0,16.0,,,,,
2024-08-06,8496.599609375,8820.0,8085.0,8555.400390625,4.0,,,,,
2024-08-07,8143.7998046875,8849.400390625,7967.39990234375,8408.400390625,15.0,,,,,
2024-08-08,6997.2001953125,8379.0,6644.39990234375,8290.7998046875,29.0,,,,,
2024-08-09,6379.7998046875,7144.2001953125,5909.39990234375,6762.0,57.0,,,,,
2024-08-12,6027.0,6850.2001953125,5968.2001953125,6468.0,60.0,,,,,
2024-08-13,5527.2001953125,6291.60009765625,5350.7998046875,6174.0,71.0,,,,,
2024-08-14,5292.0,5880.0,5056.7998046875,5880.0,56.0,,,,,
2024-08-15,6673.7998046875,7585.2001953125,5350.7998046875,5350.7998046875,204.0,,,,,
2024-08-16,6497.39990234375,6997.2001953125,5850.60009765625,6644.39990234375,72.0,,,,,
2024-08-19,6144.60009765625,7938.0,6056.39990234375,7350.0,262.0,,,,,
2024-08-20,5762.39990234375,6615.0,5439.0,6615.0,103.0,,,,,
2024-08-21,6085.7998046875,6291.60009765625,5791.7998046875,5968.2001953125,49.0,,,,,
2024-08-22,6056.39990234375,6321.0,5733.0,6203.39990234375,106.0,,,,,
2024-08-23,6526.7998046875,6732.60009765625,5821.2001953125,6321.0,125.0,,,,,
2024-08-26,6879.60009765625,7056.0,6232.7998046875,6468.0,50.0,,,,,
2024-08-27,5497.7998046875,7467.60009765625,5262.60009765625,7350.0,669.0,,,,,
2024-08-28,5174.39990234375,5703.60009765625,5056.7998046875,5644.7998046875,195.0,,,,,
2024-08-29,4792.2001953125,5380.2001953125,4645.2001953125,5203.7998046875,141.0,,,,,
2024-08-30,4851.0,5233.2001953125,4792.2001953125,4939.2001953125,95.0,,,,,
2024-09-03,4174.7998046875,5262.60009765625,4027.800048828125,5174.39990234375,1090.0,,,,,
2024-09-04,4292.39990234375,4380.60009765625,3851.39990234375,4057.199951171875,190.0,,,,,
2024-09-05,4204.2001953125,4498.2001953125,3998.39990234375,3998.39990234375,109.0,,,,,
2024-09-06,4027.800048828125,4174.7998046875,3910.199951171875,4174.7998046875,88.0,,,,,
2024-09-09,4116.0,4204.2001953125,3939.60009765625,4116.0,102.0,,,,,
2024-09-10,3616.199951171875,4174.7998046875,3351.60009765625,4057.199951171875,384.0,,,,,
2024-09-11,3969.0,4174.7998046875,3616.199951171875,3645.60009765625,174.0,,,,,
2024-09-12,3792.60009765625,4145.39990234375,3763.199951171875,3851.39990234375,96.0,,,,,
2024-09-13,3910.199951171875,4116.0,3763.199951171875,4116.0,192.0,,,,,
2024-09-16,3645.60009765625,3910.199951171875,3616.199951171875,3880.800048828125,144.0,,,,,
2024-09-17,3645.60009765625,3822.0,3586.800048828125,3822.0,127.0,,,,,
2024-09-18,3675.0,3939.60009765625,3498.60009765625,3616.199951171875,207.0,,,,,
2024-09-19,4380.60009765625,4439.39990234375,3704.39990234375,3792.60009765625,503.0,,,,,
2024-09-20,4204.2001953125,4998.0,3998.39990234375,4410.0,339.0,,,,,
2024-09-23,4292.39990234375,4351.2001953125,3998.39990234375,4204.2001953125,131.0,,,,,
2024-09-24,4145.39990234375,4351.2001953125,3969.0,4116.0,217.0,,,,,
2024-09-25,4086.60009765625,4116.0,3822.0,3851.39990234375,87.0,,,,,
2024-09-26,4674.60009765625,4851.0,4116.0,4204.2001953125,218.0,,,,,
2024-09-27,4645.2001953125,5292.0,4439.39990234375,4762.7998046875,394.0,,,,,
2024-09-30,4527.60009765625,4762.7998046875,4439.39990234375,4674.60009765625,97.0,,,,,
2024-10-01,4792.2001953125,4909.7998046875,4468.7998046875,4586.39990234375,370.0,,,,,
2024-10-02,3880.800048828125,4380.60009765625,3822.0,4321.7998046875,299.0,,,,,
2024-10-03,4027.800048828125,4321.7998046875,3851.39990234375,3880.800048828125,134.0,,,,,
2024-10-04,3939.60009765625,4116.0,3880.800048828125,4057.199951171875,69.0,,,,,
2024-10-07,3998.39990234375,4027.800048828125,3822.0,3822.0,74.0,,,,,
2024-10-08,3763.199951171875,3998.39990234375,3528.0,3998.39990234375,64.0,,,,,
2024-10-09,3998.39990234375,4263.0,3763.199951171875,3939.60009765625,238.0,,,,,
2024-10-10,4116.0,4204.2001953125,3822.0,4145.39990234375,66.0,,,,,
2024-10-11,3998.39990234375,4086.60009765625,3880.800048828125,4027.800048828125,62.0,,,,,
2024-10-14,3028.199951171875,4116.0,2969.39990234375,3998.39990234375,492.0,,,,,
2024-10-15,2528.39990234375,3087.0,2410.800048828125,3028.199951171875,572.0,,,,,
2024-10-16,2557.800048828125,2646.0,2410.800048828125,2646.0,266.0,,,,,
2024-10-17,2499.0,2646.0,2440.199951171875,2646.0,271.0,,,,,
2024-10-18,2646.0,3087.0,2410.800048828125,2410.800048828125,638.0,,,,,
2024-10-21,2822.39990234375,2881.199951171875,2499.0,2499.0,555.0,,,,,
2024-10-22,3028.199951171875,3087.0,2499.0,2499.0,993.0,,,,,
2024-10-23,2881.199951171875,3057.60009765625,2704.800048828125,3028.199951171875,317.0,,,,,
2024-10-24,2499.0,3028.199951171875,2469.60009765625,3028.199951171875,540.0,,,,,
2024-10-25,2440.199951171875,2616.60009765625,2205.0,2410.800048828125,706.0,,,,,
2024-10-28,2263.800048828125,2440.199951171875,2146.199951171875,2352.0,401.0,,,,,
2024-10-29,2763.60009765625,4027.800048828125,2469.60009765625,3322.199951171875,10794.0,,,,,
2024-10-30,2557.800048828125,2646.0,2440.199951171875,2528.39990234375,723.0,,,,,
2024-10-31,2381.39990234375,2557.800048828125,2322.60009765625,2557.800048828125,640.0,,,,,
2024-11-01,1793.4000244140625,2058.0,1617.0,2058.0,904.0,,,,,
2024-11-04,1734.5999755859375,1852.199951171875,1587.5999755859375,1705.199951171875,474.0,,,,,
2024-11-05,1710.0,1932.0,1620.0,1620.0,867.0,,,,,
2024-11-06,1326.0,1704.0,1224.0,1650.0,1054.0,,,,,
2024-11-07,1422.0,1482.0,1206.0,1308.0,523.0,,,,,
2024-11-08,1236.0,1386.0,1230.0,1356.0,512.0,,,,,
