Date,Close,High,Low,Open,Volume,"('Close', 'GSAT')","('High', 'GSAT')","('Low', 'GSAT')","('Open', 'GSAT')","('Volume', 'GSAT')"
2024-06-03,16.649999618530273,16.950000762939453,16.350000381469727,16.649999618530273,162387.0,,,,,
2024-06-04,16.649999618530273,16.950000762939453,16.5,16.5,88253.0,,,,,
2024-06-05,16.649999618530273,16.799999237060547,16.350000381469727,16.649999618530273,118613.0,,,,,
2024-06-06,16.200000762939453,16.649999618530273,16.200000762939453,16.5,101387.0,,,,,
2024-06-07,16.350000381469727,16.649999618530273,15.75,16.200000762939453,270207.0,,,,,
2024-06-10,15.899999618530272,17.850000381469727,15.75,16.200000762939453,533240.0,,,,,
2024-06-11,16.799999237060547,16.950000762939453,15.899999618530272,15.899999618530272,283087.0,,,,,
2024-06-12,16.950000762939453,17.399999618530273,16.649999618530273,17.100000381469727,243020.0,,,,,
2024-06-13,16.5,16.950000762939453,16.350000381469727,16.799999237060547,121533.0,,,,,
2024-06-14,16.200000762939453,16.5,16.200000762939453,16.200000762939453,134587.0,,,,,
2024-06-17,15.449999809265137,16.350000381469727,15.449999809265137,16.200000762939453,250500.0,,,,,
2024-06-18,15.600000381469728,15.75,15.149999618530272,15.300000190734863,281007.0,,,,,
2024-06-20,16.200000762939453,16.5,15.449999809265137,15.449999809265137,202200.0,,,,,
2024-06-21,15.600000381469728,16.5,15.449999809265137,16.200000762939453,336240.0,,,,,
2024-06-24,15.899999618530272,16.200000762939453,15.75,15.75,138307.0,,,,,
2024-06-25,15.75,16.200000762939453,15.75,15.75,152700.0,,,,,
2024-06-26,15.899999618530272,16.200000762939453,15.75,15.75,154307.0,,,,,
2024-06-27,16.649999618530273,16.649999618530273,16.049999237060547,16.049999237060547,147147.0,,,,,
2024-06-28,16.799999237060547,16.950000762939453,16.350000381469727,16.950000762939453,561547.0,,,,,
2024-07-01,16.049999237060547,17.100000381469727,16.049999237060547,16.649999618530273,221487.0,,,,,
2024-07-02,16.350000381469727,16.649999618530273,16.049999237060547,16.200000762939453,138453.0,,,,,
2024-07-03,16.5,16.799999237060547,16.350000381469727,16.5,136027.0,,,,,
2024-07-05,18.299999237060547,18.450000762939453,17.100000381469727,17.700000762939453,588020.0,,,,,
2024-07-08,19.649999618530277,19.799999237060547,18.299999237060547,19.200000762939453,675007.0,,,,,
2024-07-09,19.350000381469727,19.799999237060547,18.75,19.799999237060547,251827.0,,,,,
2024-07-10,19.049999237060547,19.5,18.75,19.200000762939453,224967.0,,,,,
2024-07-11,19.950000762939453,20.100000381469727,19.049999237060547,19.5,395173.0,,,,,
2024-07-12,19.350000381469727,19.649999618530277,18.75,19.5,394093.0,,,,,
2024-07-15,19.950000762939453,20.100000381469727,18.75,19.049999237060547,280113.0,,,,,
2024-07-16,19.5,20.25,19.200000762939453,20.100000381469727,369100.0,,,,,
2024-07-17,18.899999618530277,19.649999618530277,18.600000381469727,19.200000762939453,324887.0,,,,,
2024-07-18,18.0,18.899999618530277,17.850000381469727,18.899999618530277,293453.0,,,,,
