Date,Close,High,Low,Open,Volume,"('Close', 'NUE')","('High', 'NUE')","('Low', 'NUE')","('Open', 'NUE')","('Volume', 'NUE')"
2024-06-03,162.75474548339844,164.66710324690212,160.89117516717818,163.79874028147654,1442000.0,,,,,
2024-06-04,157.26162719726562,161.2131726682627,157.07625869718694,160.97901671538844,1643700.0,,,,,
2024-06-05,157.7592315673828,159.14470881753675,157.21284785045896,157.26162041331025,1251400.0,,,,,
2024-06-06,159.369140625,159.59355995919415,157.09578200007562,157.31043490974864,1081100.0,,,,,
2024-06-07,157.08599853515625,159.8959888631235,156.11030910326087,158.17876593477052,1674700.0,,,,,
2024-06-10,153.48570251464844,157.4665171927952,153.26129811337347,156.36398336802122,1707000.0,,,,,
2024-06-11,151.65142822265625,152.8125012351484,149.62200694470505,152.45150084525625,1784700.0,,,,,
2024-06-12,150.68548583984375,153.32959599637655,150.0707967026554,152.1197505680566,1282600.0,,,,,
2024-06-13,150.37326049804688,150.77329676485735,147.91453368510503,150.18787711158154,1226900.0,,,,,
2024-06-14,150.92941284179688,152.31489016090495,145.49481511924995,146.35342665305683,2206500.0,,,,,
2024-06-17,153.55401611328125,154.3345557920252,148.45114938084433,150.18787547537772,2168600.0,,,,,
2024-06-18,151.8465576171875,155.61271958269973,150.80256273374496,154.07112842709213,1726200.0,,,,,
2024-06-20,152.9978790283203,154.86144967935527,151.6124016260166,152.18805489900396,1262200.0,,,,,
2024-06-21,153.74916076660156,154.11992755896568,152.1099945842179,152.61735731779393,4060000.0,,,,,
2024-06-24,151.7782440185547,155.037043113113,151.73922299234593,154.1296590973282,1634100.0,,,,,
2024-06-25,147.7974395751953,151.446523622445,146.5583246438288,151.1733317566445,2105900.0,,,,,
2024-06-26,150.8025665283203,150.95868042118497,147.0754403851782,147.2315393902026,1616400.0,,,,,
2024-06-27,150.9489288330078,152.12950478876314,149.76833798941226,150.4122966313735,1208900.0,,,,,
2024-06-28,154.7772216796875,157.08791457822986,152.07489199426774,153.6022963790696,3517800.0,,,,,
2024-07-01,153.71978759765625,156.1479685943467,151.8692761025196,155.29615034832722,1475100.0,,,,,
2024-07-02,153.1910858154297,154.5716153132126,152.41758292902514,153.43586256226888,1143000.0,,,,,
2024-07-03,153.1519012451172,155.7759155357204,152.75046382596005,153.98414809556638,737500.0,,,,,
2024-07-05,150.62582397460938,152.7406987740003,150.0873121127291,152.30010359245748,1348100.0,,,,,
2024-07-08,149.28443908691406,151.23286731180042,148.70676956726973,150.53769479800093,1084000.0,,,,,
2024-07-09,147.11082458496094,150.02855921882406,147.10103889350034,148.5403273575172,1500000.0,,,,,
2024-07-10,150.15585327148438,150.56707642732326,147.786416074515,147.95286247521258,1422900.0,,,,,
2024-07-11,155.63885498046875,156.80397975853543,151.38951925462763,151.60492398939323,1927800.0,,,,,
2024-07-12,157.734130859375,159.03632991637664,155.41363729873444,157.06833038468102,1414600.0,,,,,
2024-07-15,161.4253692626953,163.51087199164826,159.59444391999202,159.60422961177568,1653500.0,,,,,
2024-07-16,162.66883850097656,163.32483840672174,159.7511037861728,160.42669001536947,1457700.0,,,,,
2024-07-17,160.57354736328125,163.3835796613428,160.2993985995673,162.61009170800423,1323200.0,,,,,
2024-07-18,162.20864868164062,164.0004162157816,159.7119229393135,159.8392116252319,1490300.0,,,,,
2024-07-19,159.10487365722656,162.5807061928124,158.8992546315219,162.43383119159878,1564500.0,,,,,
2024-07-22,159.92733764648438,160.0839983558547,157.32290937815603,158.90907291555234,1434700.0,,,,,
2024-07-23,158.1747283935547,161.4547276629806,155.5996723727924,157.14666312344147,2212900.0,,,,,
2024-07-24,151.5559539794922,158.0082799539787,151.4678379420526,157.62642885175447,2553600.0,,,,,
2024-07-25,153.7393798828125,155.64863547725213,151.6734635883197,153.05400799506322,1390700.0,,,,,
2024-07-26,157.52850341796875,159.0265357310291,153.06377848963314,153.61207594539573,1252600.0,,,,,
2024-07-29,156.07945251464844,157.518741018835,154.76745270293702,156.9116845116352,1134300.0,,,,,
2024-07-30,156.0989990234375,157.40121293590488,155.4625855424503,155.883609259707,835400.0,,,,,
2024-07-31,159.5356903076172,162.29676416351154,156.3242206769386,156.6571134574389,2438600.0,,,,,
2024-08-01,152.5252685546875,160.32875158264144,151.49720334280173,159.17341263555952,2517600.0,,,,,
2024-08-02,147.89410400390625,152.31967148794251,146.23941091031824,150.46914505737274,2175900.0,,,,,
2024-08-05,147.37518310546875,148.87321555198574,142.35235964362565,143.43916896168565,2011200.0,,,,,
2024-08-06,146.82688903808594,150.14606109689234,146.45482360553964,147.15978182510798,1180500.0,,,,,
2024-08-07,142.15655517578125,149.31382533074546,141.7844897154724,148.72635512394078,1725000.0,,,,,
2024-08-08,142.60691833496094,143.95809067874393,142.14673688280257,143.29230513774056,1204900.0,,,,,
2024-08-09,142.10757446289062,143.14542538353138,140.5312117607894,142.38172319890947,954300.0,,,,,
2024-08-12,138.39675903320312,142.3033857977413,137.43722356473333,142.28381441755735,1651700.0,,,,,
2024-08-13,139.89480590820312,140.28644271252043,137.93659200664368,138.71007992416563,1141100.0,,,,,
2024-08-14,138.3086395263672,139.88500228095847,136.49730067021295,139.82625825556772,1218100.0,,,,,
