Date,Close,High,Low,Open,Volume,"('Close', 'ZTS')","('High', 'ZTS')","('Low', 'ZTS')","('Open', 'ZTS')","('Volume', 'ZTS')"
2024-06-03,169.89405822753906,171.76677549390217,167.53838898712016,167.59752473581185,2142700.0,,,,,
2024-06-04,169.41111755371094,169.7856490002775,167.22300446850164,168.4747513382657,1304400.0,,,,,
2024-06-05,173.2945098876953,174.1914271200219,170.41643984591906,170.41643984591906,1870800.0,,,,,
2024-06-06,174.24072265625,174.35899415799423,171.49080496341878,172.01319081560396,2722200.0,,,,,
2024-06-07,174.37869262695312,174.57581678886132,172.73268256362493,173.37333984972895,1819400.0,,,,,
2024-06-10,176.2612762451172,177.17791044661251,173.49164167120875,174.0337444439478,2506900.0,,,,,
2024-06-11,175.9754180908203,176.4288171993754,174.9109446073788,175.93599927423747,1844100.0,,,,,
2024-06-12,173.32406616210938,176.55695047090967,172.28914553602672,176.42881300074816,2068300.0,,,,,
2024-06-13,168.85914611816406,173.96473275566308,168.3564621941996,173.34377733881755,2298800.0,,,,,
2024-06-14,168.1002197265625,169.12527453034355,166.46406038704728,168.0016501125246,2225300.0,,,,,
2024-06-17,168.44517517089844,169.15483424682597,164.9166117606504,165.88253076525865,1798700.0,,,,,
2024-06-18,167.22299194335938,169.12526202886326,166.34577658586605,167.95235289072502,2273700.0,,,,,
2024-06-20,165.76422119140625,168.64229095473394,164.69974776504623,167.3806783372026,3233700.0,,,,,
2024-06-21,168.6324462890625,169.32238842655508,166.91744941009682,166.94701728458858,4891600.0,,,,,
2024-06-24,169.37164306640625,171.7864476373719,167.85377063424747,169.24352064629664,1885900.0,,,,,
2024-06-25,165.56710815429688,169.94333379496186,165.31084824402367,169.32237838822675,2284400.0,,,,,
2024-06-26,168.44517517089844,169.04641369245897,164.05909827079833,164.8081912062834,2053800.0,,,,,
2024-06-27,173.92532348632812,179.05062733388752,171.75691240039728,171.98361949367873,4164700.0,,,,,
2024-06-28,170.86984252929688,174.52655838502622,170.54458087315837,173.92531987633575,4189600.0,,,,,
2024-07-01,170.10105895996094,172.93969539047762,169.5293882877257,170.771284206271,1589800.0,,,,,
2024-07-02,172.2989959716797,173.46205406449232,170.01232868080112,170.01232868080112,2454200.0,,,,,
2024-07-03,173.0776824951172,175.11794113415536,172.7425548349274,172.9199771302763,1251800.0,,,,,
2024-07-05,172.44686889648438,173.4325048262915,171.74706076889257,172.6834118942872,1812100.0,,,,,
2024-07-08,172.91009521484375,174.59553918712533,172.21030216220325,172.89039332576232,1704700.0,,,,,
2024-07-09,171.73721313476562,173.20580107314018,170.83042986661454,173.16638225261667,1777500.0,,,,,
2024-07-10,170.99798583984375,172.1610290381582,169.04641583648578,172.1610290381582,1971000.0,,,,,
2024-07-11,175.1869354248047,175.98529812091178,171.51050258132304,172.29901433240056,1989900.0,,,,,
2024-07-12,176.46824645996094,177.12863575358628,175.25591850346254,176.42882764104516,1672800.0,,,,,
2024-07-15,175.4234619140625,178.25224699086306,175.26577161037514,176.01484943162043,2216500.0,,,,,
2024-07-16,180.2826690673828,180.58821379511076,175.22635200387967,175.54176271612175,1939900.0,,,,,
2024-07-17,179.43499755859375,182.184914779652,177.96639482557333,179.38571276145186,2190800.0,,,,,
2024-07-18,177.07571411132812,182.0255053187184,177.01643770232192,178.38972978737266,2171100.0,,,,,
2024-07-19,176.4335479736328,178.3403429778873,174.0525115060799,177.87599096718992,2131400.0,,,,,
2024-07-22,178.58731079101562,179.98036661018958,176.63111404890117,178.62683844460818,1532900.0,,,,,
2024-07-23,177.22393798828125,179.9902711886467,177.09549570562666,178.95290377620228,1329400.0,,,,,
2024-07-24,177.5005645751953,178.66637422607167,176.24582522987785,177.17452922993718,1309300.0,,,,,
2024-07-25,178.58731079101562,184.208921021628,177.59933050656025,178.82443148642272,2473700.0,,,,,
2024-07-26,177.6783905029297,181.64020153254413,177.10536006515693,180.0693012482256,2437300.0,,,,,
2024-07-29,179.6444854736328,180.879461025416,176.99669005140942,178.458911958998,1302900.0,,,,,
2024-07-30,179.6444854736328,182.56889913803963,177.87599204126363,179.78280213241712,2271300.0,,,,,
2024-07-31,177.8759765625,181.05727451308775,177.66850913006994,180.30641487008205,1740100.0,,,,,
2024-08-01,180.22738647460935,181.71923148222757,178.4292699487385,178.8738581228274,1987800.0,,,,,
2024-08-02,178.4193878173828,181.32405278451563,176.38415047997287,179.41725773114717,2699600.0,,,,,
2024-08-05,172.71873474121094,176.14701274030776,170.16974358905213,174.062373565987,3197400.0,,,,,
2024-08-06,183.06288146972656,187.5384465458703,181.78839338837935,182.7763737872293,3832500.0,,,,,
2024-08-07,182.54913330078125,187.93362318760535,182.2823743854512,183.76434490891012,2097100.0,,,,,
