Date,Close,High,Low,Open,Volume,"('Close', 'NIXX')","('High', 'NIXX')","('Low', 'NIXX')","('Open', 'NIXX')","('Volume', 'NIXX')"
2024-06-03,1.690000057220459,1.850000023841858,1.5,1.7100000381469729,83000.0,,,,,
2024-06-04,1.899999976158142,1.909999966621399,1.649999976158142,1.649999976158142,30700.0,,,,,
2024-06-05,1.9800000190734863,2.039999961853028,1.850000023841858,1.9299999475479128,21300.0,,,,,
2024-06-06,2.259999990463257,2.339900016784668,1.950000047683716,2.039999961853028,95400.0,,,,,
2024-06-07,2.130000114440918,2.169300079345703,2.0,2.069999933242798,43900.0,,,,,
2024-06-10,2.259999990463257,2.2799999713897705,2.0999999046325684,2.0999999046325684,45700.0,,,,,
2024-06-11,2.15339994430542,2.299999952316284,2.109999895095825,2.2300000190734863,28300.0,,,,,
2024-06-12,2.2799999713897705,2.299999952316284,2.1600000858306885,2.200000047683716,15800.0,,,,,
2024-06-13,2.2100000381469727,2.400000095367432,2.059999942779541,2.059999942779541,9400.0,,,,,
2024-06-14,2.2100000381469727,2.2100000381469727,2.1600000858306885,2.1600000858306885,6300.0,,,,,
2024-06-17,2.039999961853028,2.1600000858306885,1.9900000095367432,2.150000095367432,19300.0,,,,,
2024-06-18,2.025000095367432,2.1333000659942627,1.950000047683716,2.0,17900.0,,,,,
2024-06-20,1.870000004768372,2.0,1.850000023841858,1.9700000286102293,14500.0,,,,,
2024-06-21,1.7999999523162842,1.8799999952316284,1.7999999523162842,1.850000023841858,26500.0,,,,,
2024-06-24,1.8519999980926516,1.899999976158142,1.75,1.7949999570846558,15700.0,,,,,
2024-06-25,2.009999990463257,2.009999990463257,1.8200000524520876,1.8200000524520876,4000.0,,,,,
2024-06-26,1.8799999952316284,2.059999942779541,1.8600000143051147,1.8600000143051147,21900.0,,,,,
2024-06-27,2.0,2.039999961853028,1.899999976158142,2.0,17300.0,,,,,
2024-06-28,2.119999885559082,2.119999885559082,1.9000999927520752,2.0,11100.0,,,,,
2024-07-01,1.9299999475479128,2.0899999141693115,1.8799999952316284,2.049999952316284,7000.0,,,,,
2024-07-02,1.830000042915344,1.8839999437332156,1.7999999523162842,1.840000033378601,14200.0,,,,,
2024-07-03,1.9900000095367432,1.9900000095367432,1.899999976158142,1.9900000095367432,600.0,,,,,
2024-07-05,1.9140000343322756,1.9534000158309937,1.809999942779541,1.9420000314712524,11800.0,,,,,
2024-07-08,1.809999942779541,1.8849999904632568,1.809999942779541,1.8350000381469729,11100.0,,,,,
2024-07-09,1.850000023841858,1.871000051498413,1.809999942779541,1.870000004768372,2800.0,,,,,
2024-07-10,1.840000033378601,1.899999976158142,1.75,1.811100006103516,9100.0,,,,,
