Date,Close,High,Low,Open,Volume,"('Close', 'WRD')","('High', 'WRD')","('Low', 'WRD')","('Open', 'WRD')","('Volume', 'WRD')"
2024-10-25,16.549999237060547,19.799999237060547,15.5,15.5,1950600.0,,,,,
2024-10-28,17.0,18.979999542236328,16.895999908447266,17.790000915527344,673800.0,,,,,
2024-10-29,15.40999984741211,17.350000381469727,15.050000190734863,16.799999237060547,544100.0,,,,,
2024-10-30,15.25,15.899999618530272,15.220000267028809,15.520000457763672,174300.0,,,,,
2024-10-31,14.770000457763672,14.979999542236328,14.512999534606934,14.9399995803833,92100.0,,,,,
2024-11-01,14.520000457763672,15.810999870300291,14.097999572753906,14.770000457763672,330600.0,,,,,
2024-11-04,15.460000038146973,15.600000381469728,14.1899995803833,14.279999732971191,178800.0,,,,,
2024-11-05,15.56999969482422,16.0,15.135000228881836,15.6899995803833,173500.0,,,,,
2024-11-06,15.510000228881836,15.699000358581545,14.600000381469728,15.0,114100.0,,,,,
2024-11-07,15.65999984741211,15.920000076293944,15.109999656677246,15.920000076293944,58100.0,,,,,
2024-11-08,15.5,15.760000228881836,15.020000457763672,15.760000228881836,111600.0,,,,,
2024-11-11,22.46999931335449,22.690000534057617,15.75,15.9399995803833,997300.0,,,,,
2024-11-12,17.18000030517578,21.780000686645508,16.59000015258789,21.780000686645508,445400.0,,,,,
2024-11-13,19.040000915527344,20.700000762939453,17.559999465942383,17.760000228881836,317700.0,,,,,
2024-11-14,15.789999961853027,19.989999771118164,15.760000228881836,19.26000022888184,276700.0,,,,,
2024-11-15,17.3700008392334,18.0,16.06999969482422,16.06999969482422,150500.0,,,,,
2024-11-18,18.32999992370605,21.8700008392334,18.010000228881836,19.0,402000.0,,,,,
2024-11-19,19.290000915527344,19.649999618530277,18.530000686645508,19.0,133000.0,,,,,
2024-11-20,17.700000762939453,19.989999771118164,17.299999237060547,19.989999771118164,163600.0,,,,,
2024-11-21,18.200000762939453,18.59000015258789,17.700000762939453,18.200000762939453,88900.0,,,,,
