Date,Close,High,Low,Open,Volume,"('Close', 'CADL')","('High', 'CADL')","('Low', 'CADL')","('Open', 'CADL')","('Volume', 'CADL')"
2024-06-03,8.369999885559082,9.050000190734863,8.140000343322754,8.989999771118164,683300.0,,,,,
2024-06-04,8.039999961853027,8.550000190734863,7.940000057220459,8.270000457763672,371200.0,,,,,
2024-06-05,8.029999732971191,8.550000190734863,7.849999904632568,7.849999904632568,588000.0,,,,,
2024-06-06,7.119999885559082,8.460000038146973,7.119999885559082,8.460000038146973,827900.0,,,,,
2024-06-07,7.150000095367432,7.539999961853027,6.760000228881836,7.0,811800.0,,,,,
2024-06-10,7.03000020980835,7.349999904632568,6.800000190734863,7.050000190734863,485200.0,,,,,
2024-06-11,7.550000190734863,7.877999782562256,6.949999809265137,6.949999809265137,559800.0,,,,,
2024-06-12,7.579999923706055,7.96999979019165,7.349999904632568,7.670000076293945,344800.0,,,,,
2024-06-13,7.539999961853027,7.920000076293945,7.5,7.639999866485596,207100.0,,,,,
2024-06-14,7.289999961853027,7.699999809265137,7.199999809265137,7.550000190734863,321500.0,,,,,
2024-06-17,7.21999979019165,7.400000095367432,7.0329999923706055,7.349999904632568,301800.0,,,,,
2024-06-18,6.71999979019165,7.25,6.710000038146973,7.159999847412109,359100.0,,,,,
2024-06-20,5.980000019073486,6.73799991607666,5.980000019073486,6.699999809265137,648800.0,,,,,
2024-06-21,6.039999961853027,6.099999904632568,5.78000020980835,5.960000038146973,563500.0,,,,,
2024-06-24,6.150000095367432,6.215000152587891,5.880000114440918,5.960000038146973,452500.0,,,,,
2024-06-25,5.650000095367432,6.210000038146973,5.565000057220459,6.170000076293945,322400.0,,,,,
2024-06-26,5.710000038146973,5.880000114440918,5.519999980926514,5.599999904632568,594800.0,,,,,
2024-06-27,5.889999866485596,6.119999885559082,5.610000133514404,5.690000057220459,552300.0,,,,,
2024-06-28,6.199999809265137,6.269999980926514,5.769999980926514,5.869999885559082,3588500.0,,,,,
2024-07-01,6.300000190734863,6.619999885559082,5.849999904632568,6.199999809265137,595700.0,,,,,
2024-07-02,6.25,6.539999961853027,6.079999923706055,6.139999866485596,519500.0,,,,,
2024-07-03,6.309999942779541,6.335000038146973,6.013999938964844,6.269999980926514,189400.0,,,,,
2024-07-05,5.820000171661377,6.429999828338623,5.739999771118164,6.260000228881836,449500.0,,,,,
2024-07-08,5.78000020980835,6.019999980926514,5.619999885559082,5.820000171661377,236600.0,,,,,
2024-07-09,5.920000076293945,5.958000183105469,5.71999979019165,5.78000020980835,268600.0,,,,,
2024-07-10,5.989999771118164,6.230000019073486,5.840000152587891,5.920000076293945,437900.0,,,,,
2024-07-11,5.909999847412109,6.340000152587891,5.75,5.989999771118164,430000.0,,,,,
2024-07-12,6.099999904632568,6.269999980926514,5.829999923706055,6.0,544200.0,,,,,
2024-07-15,6.619999885559082,6.639999866485596,6.099999904632568,6.199999809265137,314400.0,,,,,
2024-07-16,7.289999961853027,7.340000152587891,6.550000190734863,6.610000133514404,734300.0,,,,,
2024-07-17,6.570000171661377,7.139999866485596,6.340000152587891,7.139999866485596,697000.0,,,,,
2024-07-18,6.224999904632568,6.670000076293945,6.21999979019165,6.510000228881836,322800.0,,,,,
2024-07-19,6.010000228881836,6.53000020980835,6.0,6.21999979019165,261600.0,,,,,
2024-07-22,6.03000020980835,6.099999904632568,5.579999923706055,6.010000228881836,531400.0,,,,,
2024-07-23,6.550000190734863,6.710000038146973,5.809999942779541,5.940000057220459,310300.0,,,,,
2024-07-24,6.360000133514404,6.96999979019165,6.21999979019165,6.440000057220459,225000.0,,,,,
2024-07-25,6.510000228881836,6.78000020980835,6.3429999351501465,6.559999942779541,299100.0,,,,,
2024-07-26,6.699999809265137,6.920000076293945,6.519999980926514,6.619999885559082,170300.0,,,,,
2024-07-29,6.170000076293945,6.829999923706055,6.110000133514404,6.829999923706055,274000.0,,,,,
2024-07-30,5.920000076293945,6.300000190734863,5.849999904632568,6.179999828338623,241900.0,,,,,
2024-07-31,5.929999828338623,6.230000019073486,5.880000114440918,6.010000228881836,240400.0,,,,,
2024-08-01,5.539999961853027,6.039999961853027,5.53000020980835,5.909999847412109,285400.0,,,,,
2024-08-02,5.409999847412109,5.800000190734863,5.329999923706055,5.519999980926514,234400.0,,,,,
