Date,Close,High,Low,Open,Volume,"('Close', 'FOX')","('High', 'FOX')","('Low', 'FOX')","('Open', 'FOX')","('Volume', 'FOX')"
2024-06-03,31.725812911987305,31.838840231490863,31.34250906627244,31.588217044213373,1061600.0,,,,,
2024-06-04,31.617700576782227,31.93712169567321,31.46044762198752,31.509592216590885,1342200.0,,,,,
2024-06-05,31.70615577697754,31.76021183198113,31.33268047588477,31.617700755081312,960200.0,,,,,
2024-06-06,31.430965423583984,31.94203848931783,31.38673791069157,31.56856129720341,674600.0,,,,,
2024-06-07,31.22456932067871,31.67667108629437,31.214740776912755,31.352336640430035,543900.0,,,,,
2024-06-10,30.860923767089844,31.126288851336746,30.62995952674449,31.126288851336746,1037800.0,,,,,
2024-06-11,30.566072463989254,30.900235459947325,30.54641537608512,30.713496874064152,617400.0,,,,,
2024-06-12,30.60538673400879,30.851094724807457,30.369507287794452,30.821610965657666,817900.0,,,,,
2024-06-13,30.438304901123047,30.531675136378222,30.29088048313451,30.40882114228725,839900.0,,,,,
2024-06-14,30.4088191986084,30.516929431768077,30.133625594577364,30.349847935499778,1061100.0,,,,,
2024-06-17,30.49727439880371,30.507102942713203,29.98620136312868,30.379333746492907,1861900.0,,,,,
2024-06-18,30.674182891845703,31.037831521955027,30.497274723401187,30.497274723401187,866400.0,,,,,
2024-06-20,31.36216735839844,31.37199590284576,30.634871940724956,30.634871940724956,1175700.0,,,,,
2024-06-21,31.50959205627441,31.57838998932168,31.20491281763213,31.45062079257412,1914200.0,,,,,
2024-06-24,31.519418716430664,31.612788946627365,31.263882197613142,31.401479938270622,1352000.0,,,,,
2024-06-25,31.657012939453125,31.86340672782268,31.4014783085012,31.64718627061904,754600.0,,,,,
2024-06-26,31.54890251159668,31.657014620542583,31.15577200085522,31.607873775350672,853300.0,,,,,
2024-06-27,31.22456932067871,31.54890189194,31.008345107033797,31.54890189194,776400.0,,,,,
2024-06-28,31.47027969360352,31.67667350463648,31.401481756592524,31.42113697102196,1217900.0,,,,,
2024-07-01,31.254053115844727,31.932209514309054,31.23439790289167,31.588216105886342,608000.0,,,,,
2024-07-02,31.745471954345703,31.78478613304588,31.008347975146314,31.322855780938088,1469700.0,,,,,
2024-07-03,31.8830680847168,31.971523112894022,31.647190509048517,31.82410056540296,341200.0,,,,,
2024-07-05,31.607873916625977,31.932210244913357,31.514503685899697,31.53907598320857,1147000.0,,,,,
