Date,Close,High,Low,Open,Volume,"('Close', 'MSTR')","('High', 'MSTR')","('Low', 'MSTR')","('Open', 'MSTR')","('Volume', 'MSTR')"
2024-06-03,162.74099731445312,165.60000610351562,156.04200744628906,160.10000610351562,11222000.0,,,,,
2024-06-04,163.8769989013672,169.6999969482422,161.5,161.74200439453125,13230000.0,,,,,
2024-06-05,169.468994140625,171.78399658203125,163.62399291992188,167.5,10956000.0,,,,,
2024-06-06,165.66299438476562,173.47000122070312,164.7050018310547,169.85899353027344,11623000.0,,,,,
2024-06-07,159.6199951171875,171.77000427246094,158.5,167.1020050048828,12627000.0,,,,,
2024-06-10,159.99200439453125,164.7760009765625,156.0290069580078,157.50100708007812,7239000.0,,,,,
2024-06-11,155.5489959716797,156.4149932861328,148.66000366210938,154.1999969482422,11412000.0,,,,,
2024-06-12,160.36700439453125,169.27099609375,159.177001953125,162.0,13681000.0,,,,,
2024-06-13,148.38800048828125,157.37600708007812,144.1009979248047,156.3300018310547,21108000.0,,,,,
2024-06-14,149.5540008544922,153.8000030517578,146.1510009765625,150.5,13790000.0,,,,,
2024-06-17,150.7259979248047,156.9010009765625,142.11700439453125,149.97999572753906,12076000.0,,,,,
2024-06-18,146.9429931640625,151.09500122070312,144.60000610351562,145.79299926757812,8934000.0,,,,,
2024-06-20,146.5399932861328,150.5590057373047,142.20599365234375,148.21099853515625,9098000.0,,,,,
2024-06-21,148.37600708007812,149.10499572753906,140.90199279785156,142.0,11353000.0,,,,,
2024-06-24,137.21499633789062,144.88999938964844,132.5540008544922,139.8000030517578,16081000.0,,,,,
2024-06-25,149.57400512695312,149.89999389648438,139.33900451660156,141.3769989013672,13537000.0,,,,,
2024-06-26,145.7729949951172,150.5019989013672,144.5,147.22900390625,7502000.0,,,,,
2024-06-27,152.5399932861328,153.89999389648438,146.35000610351562,148.5,9308000.0,,,,,
2024-06-28,137.7480010986328,151.89999389648438,136.70199584960938,151.64199829101562,34113000.0,,,,,
2024-07-01,136.5970001220703,143.59500122070312,136.30799865722656,141.0,14129000.0,,,,,
2024-07-02,132.0189971923828,138.4409942626953,130.65699768066406,136.55099487304688,9229000.0,,,,,
2024-07-03,130.20899963378906,132.8000030517578,127.34700012207033,129.8000030517578,6659000.0,,,,,
2024-07-05,128.1719970703125,129.91700744628906,120.23200225830078,121.5500030517578,15029000.0,,,,,
2024-07-08,129.05799865722656,132.5,125.87799835205078,131.4530029296875,8736000.0,,,,,
2024-07-09,130.177001953125,132.0,127.80899810791016,131.38800048828125,8903000.0,,,,,
2024-07-10,130.57200622558594,134.5,129.60000610351562,131.97000122070312,6387000.0,,,,,
2024-07-11,135.8560028076172,143.1999969482422,132.9239959716797,139.60000610351562,13513000.0,,,,,
2024-07-12,139.67599487304688,143.5399932861328,132.41900634765625,133.9199981689453,10641000.0,,,,,
2024-07-15,161.1280059814453,163.89999389648438,149.2429962158203,152.39999389648438,24671000.0,,,,,
2024-07-16,166.42999267578125,167.5780029296875,157.63999938964844,161.5,15810000.0,,,,,
2024-07-17,159.0,167.4080047607422,153.0,161.10000610351562,17212000.0,,,,,
2024-07-18,155.51600646972656,163.6999969482422,151.625,163.38999938964844,10236000.0,,,,,
2024-07-19,177.85000610351562,178.5,156.5,157.33999633789062,20458000.0,,,,,
2024-07-22,180.00900268554688,181.0659942626953,173.61300659179688,178.40199279785156,15391000.0,,,,,
2024-07-23,172.177001953125,179.8000030517578,171.5019989013672,176.3990020751953,10747000.0,,,,,
2024-07-24,167.2689971923828,176.95199584960938,166.70199584960938,175.0,13774000.0,,,,,
2024-07-25,160.64700317382812,167.78599548339844,150.76600646972656,161.64999389648438,14772000.0,,,,,
2024-07-26,175.27099609375,177.69700622558594,168.6009979248047,170.0,14138000.0,,,,,
2024-07-29,168.48500061035156,183.6999969482422,167.1269989013672,181.99899291992188,12802000.0,,,,,
2024-07-30,160.40699768066406,169.5,159.24899291992188,168.7989959716797,9155000.0,,,,,
2024-07-31,161.44400024414062,168.5,160.85499572753906,164.60299682617188,7534000.0,,,,,
2024-08-01,151.18099975585938,163.43600463867188,148.20199584960938,161.5,11930000.0,,,,,
2024-08-02,144.7989959716797,159.13999938964844,141.7100067138672,148.58099365234375,14126000.0,,,,,
2024-08-05,130.89999389648438,135.427001953125,102.4020004272461,105.16500091552734,22678000.0,,,,,
2024-08-06,136.92100524902344,139.49400329589844,126.21800231933594,132.60000610351562,12260000.0,,,,,
