Date,Close,High,Low,Open,Volume,"('Close', 'MSCI')","('High', 'MSCI')","('Low', 'MSCI')","('Open', 'MSCI')","('Volume', 'MSCI')"
2024-06-03,483.2174072265625,488.5076725014792,476.7942223410738,486.8821765328781,789900.0,,,,,
2024-06-04,485.8674621582031,487.9658422179645,481.6510098079059,483.8084966244655,438000.0,,,,,
2024-06-05,490.9114685058594,494.0541082094986,479.6413185475275,486.94130409311583,481400.0,,,,,
2024-06-06,485.7689514160156,495.4037438213628,484.4587115259244,490.68485387141135,722100.0,,,,,
2024-06-07,484.38970947265625,488.7933430260898,482.724799086974,484.5965831113554,394200.0,,,,,
2024-06-10,476.8237609863281,482.16327170626914,475.7400870192541,480.8431707152787,473000.0,,,,,
2024-06-11,477.2867736816406,479.46395265195736,473.4249620087441,475.6218632736122,574200.0,,,,,
2024-06-12,480.6954345703125,485.8477942688441,479.63145276568855,483.0302417742428,494600.0,,,,,
2024-06-13,477.0897521972656,480.8333204616373,475.2573825914503,479.0009508558219,483000.0,,,,,
2024-06-14,473.39544677734375,475.7696684976474,469.4646969501998,471.878303133833,534000.0,,,,,
2024-06-17,477.5823669433594,480.3703361025735,470.2232744209029,472.04581308999286,492000.0,,,,,
2024-06-18,469.4449462890625,479.8383251468825,468.262781106613,477.24736877691487,732700.0,,,,,
2024-06-20,475.6218872070313,477.78920513913226,471.0212108043121,471.7699364875792,669900.0,,,,,
2024-06-21,479.0994873046875,479.3753288690623,473.2279553331052,474.2328303682728,702200.0,,,,,
2024-06-24,481.8973083496094,485.434003008336,476.4789683870607,478.9319890403826,383100.0,,,,,
2024-06-25,481.5328063964844,482.9021530436709,477.5921955167329,482.6854182427056,387700.0,,,,,
2024-06-26,479.68072509765625,481.0993474509474,474.9027282872295,477.5429304196697,294900.0,,,,,
2024-06-27,479.5821533203125,484.6556833933369,478.4295415699074,479.6018455498632,362200.0,,,,,
2024-06-28,474.5973510742188,483.83808894748506,472.2526826509151,480.4590221324778,829900.0,,,,,
2024-07-01,472.1935119628906,477.4640846275743,471.22805154739007,474.62684019909926,477500.0,,,,,
2024-07-02,484.1237487792969,484.1335798623672,471.7206499392903,472.4693756052981,428700.0,,,,,
