Date,Close,High,Low,Open,Volume,"('Close', 'RDDT')","('High', 'RDDT')","('Low', 'RDDT')","('Open', 'RDDT')","('Volume', 'RDDT')"
2024-06-03,55.79999923706055,58.63999938964844,54.81999969482422,57.54999923706055,2573100.0,,,,,
2024-06-04,54.5,55.400001525878906,53.95500183105469,55.20000076293945,1291000.0,,,,,
2024-06-05,60.06999969482422,60.2400016784668,54.57099914550781,54.790000915527344,3030000.0,,,,,
2024-06-06,63.459999084472656,63.56999969482422,58.380001068115234,58.9900016784668,3375200.0,,,,,
2024-06-07,59.79999923706055,63.79999923706055,59.209999084472656,61.630001068115234,3414000.0,,,,,
2024-06-10,59.630001068115234,61.380001068115234,58.2599983215332,60.0099983215332,1456800.0,,,,,
2024-06-11,61.54999923706055,62.04899978637695,58.494998931884766,60.119998931884766,2024100.0,,,,,
2024-06-12,65.93000030517578,69.58999633789062,61.84999847412109,62.875,6825700.0,,,,,
2024-06-13,63.959999084472656,69.04199981689453,63.63999938964844,66.83000183105469,2874500.0,,,,,
2024-06-14,60.93999862670898,64.94000244140625,60.11000061035156,63.540000915527344,2454900.0,,,,,
2024-06-17,60.34999847412109,61.130001068115234,58.09999847412109,61.0,2097100.0,,,,,
2024-06-18,60.209999084472656,61.63899993896485,57.5,61.11000061035156,2213100.0,,,,,
2024-06-20,57.41999816894531,60.09999847412109,55.470001220703125,60.0,3372100.0,,,,,
2024-06-21,57.29999923706055,57.650001525878906,54.45000076293945,56.400001525878906,4440000.0,,,,,
2024-06-24,56.47999954223633,58.88999938964844,55.95000076293945,57.31999969482422,1789200.0,,,,,
2024-06-25,61.380001068115234,61.56999969482422,56.41999816894531,56.560001373291016,2819000.0,,,,,
2024-06-26,63.61000061035156,63.880001068115234,60.33000183105469,60.5,3828400.0,,,,,
2024-06-27,63.58000183105469,64.69999694824219,62.02999877929688,62.83399963378906,1704800.0,,,,,
2024-06-28,63.88999938964844,65.81999969482422,62.66999816894531,64.06999969482422,1921900.0,,,,,
2024-07-01,66.58999633789062,66.69000244140625,62.20000076293945,64.19999694824219,3609100.0,,,,,
2024-07-02,73.51000213623047,73.5199966430664,65.6500015258789,65.98999786376953,6089600.0,,,,,
2024-07-03,73.62000274658203,73.97200012207031,70.18000030517578,71.93000030517578,2718100.0,,,,,
2024-07-05,72.97000122070312,76.19999694824219,71.58000183105469,73.77999877929688,2587200.0,,,,,
2024-07-08,72.80999755859375,74.11599731445312,70.9000015258789,72.76000213623047,2191100.0,,,,,
2024-07-09,70.58999633789062,76.73999786376953,69.19999694824219,73.4800033569336,2879900.0,,,,,
2024-07-10,69.4000015258789,72.27999877929688,67.62000274658203,71.2300033569336,2156100.0,,,,,
2024-07-11,70.29000091552734,71.89099884033203,68.3280029296875,70.5,2170300.0,,,,,
2024-07-12,73.8499984741211,76.7300033569336,69.4000015258789,70.75,3512600.0,,,,,
2024-07-15,72.9800033569336,78.08000183105469,72.53099822998047,74.69000244140625,2782800.0,,,,,
2024-07-16,70.44000244140625,70.69000244140625,66.7699966430664,70.66999816894531,4589300.0,,,,,
2024-07-17,65.20999908447266,69.79000091552734,63.790000915527344,68.4800033569336,3319000.0,,,,,
2024-07-18,65.91999816894531,66.73999786376953,63.9379997253418,66.73999786376953,2064100.0,,,,,
