Date,Close,High,Low,Open,Volume,"('Close', 'ADGM')","('High', 'ADGM')","('Low', 'ADGM')","('Open', 'ADGM')","('Volume', 'ADGM')"
2024-08-01,9.050000190734863,9.050000190734863,6.440000057220459,8.0,127600.0,,,,,
2024-08-02,8.170000076293945,9.34000015258789,6.559999942779541,8.65999984741211,272100.0,,,,,
2024-08-05,5.900000095367432,6.699999809265137,5.150000095367432,6.150000095367432,80100.0,,,,,
2024-08-06,4.940000057220459,5.599999904632568,4.800000190734863,5.599999904632568,37600.0,,,,,
2024-08-07,4.90399980545044,5.400000095367432,4.0,4.460000038146973,26800.0,,,,,
2024-08-08,5.425000190734863,6.78000020980835,4.75,4.75,136700.0,,,,,
2024-08-09,5.800000190734863,6.230000019073486,4.909999847412109,5.260000228881836,23800.0,,,,,
2024-08-12,5.599999904632568,5.800000190734863,5.239999771118164,5.599999904632568,24800.0,,,,,
2024-08-13,5.860000133514404,6.539999961853027,5.5,6.400000095367432,47600.0,,,,,
2024-08-14,5.119999885559082,5.730000019073486,4.989999771118164,5.650000095367432,31700.0,,,,,
2024-08-15,5.300000190734863,6.380000114440918,4.900000095367432,5.389999866485596,78000.0,,,,,
2024-08-16,5.420000076293945,5.699999809265137,5.099999904632568,5.699999809265137,84500.0,,,,,
2024-08-19,5.579999923706055,6.144000053405762,4.900000095367432,4.900000095367432,40300.0,,,,,
2024-08-20,5.800000190734863,5.800000190734863,5.214000225067139,5.590000152587891,50400.0,,,,,
2024-08-21,5.369999885559082,5.797999858856201,5.349999904632568,5.420000076293945,41200.0,,,,,
2024-08-22,5.199999809265137,5.53000020980835,5.110000133514404,5.53000020980835,60500.0,,,,,
2024-08-23,5.199999809265137,5.559999942779541,4.460000038146973,5.559999942779541,23100.0,,,,,
2024-08-26,5.099999904632568,5.800000190734863,5.0,5.400000095367432,17000.0,,,,,
2024-08-27,4.315000057220459,5.25,4.170000076293945,5.079999923706055,85000.0,,,,,
2024-08-28,4.340000152587891,4.889999866485596,4.340000152587891,4.369999885559082,6800.0,,,,,
2024-08-29,4.690000057220459,4.739999771118164,4.159999847412109,4.329999923706055,5300.0,,,,,
2024-08-30,5.150000095367432,5.150000095367432,4.179999828338623,4.5,36000.0,,,,,
2024-09-03,4.849999904632568,4.849999904632568,4.545000076293945,4.630000114440918,3500.0,,,,,
2024-09-04,4.590000152587891,4.769999980926514,4.590000152587891,4.769999980926514,900.0,,,,,
2024-09-05,4.380000114440918,4.670000076293945,4.380000114440918,4.550000190734863,4600.0,,,,,
2024-09-06,4.349999904632568,4.789999961853027,4.130000114440918,4.400000095367432,11500.0,,,,,
2024-09-09,4.210000038146973,4.380000114440918,3.849999904632568,4.28000020980835,22000.0,,,,,
2024-09-10,3.900000095367432,4.199999809265137,3.900000095367432,4.199999809265137,4800.0,,,,,
2024-09-11,3.7200000286102295,4.0,3.700000047683716,3.940000057220459,9700.0,,,,,
2024-09-12,3.849999904632568,3.880000114440918,3.634999990463257,3.799999952316284,5000.0,,,,,
2024-09-13,4.081999778747559,4.139999866485596,3.7300000190734863,3.9700000286102295,30600.0,,,,,
2024-09-16,4.199999809265137,4.940000057220459,3.7200000286102295,4.099999904632568,31600.0,,,,,
2024-09-17,4.440000057220459,4.670000076293945,4.184999942779541,4.659999847412109,152000.0,,,,,
2024-09-18,4.260000228881836,4.349999904632568,3.809999942779541,4.264999866485596,27400.0,,,,,
