Date,Close,High,Low,Open,Volume,"('Close', 'RCL')","('High', 'RCL')","('Low', 'RCL')","('Open', 'RCL')","('Volume', 'RCL')"
2024-06-03,148.86907958984375,149.05643792821073,144.6289160383254,146.18693032220634,1850800.0,,,,,
2024-06-04,153.0007781982422,153.66145259125952,148.25771715011845,148.3661869786106,2602000.0,,,,,
2024-06-05,154.15447998046875,154.74612122385477,152.46827008696297,153.6121308891982,1698200.0,,,,,
2024-06-06,152.39926147460938,154.6869681741688,151.03846095167734,153.6910289059977,1412500.0,,,,,
2024-06-07,152.41897583007812,153.72059858470874,151.49205467715103,152.00480740504938,996700.0,,,,,
2024-06-10,153.23741149902344,154.1939139575142,151.39343966808175,151.39343966808175,1187100.0,,,,,
2024-06-11,151.0581817626953,152.7739579680653,150.16084188147028,152.44856355055677,1113900.0,,,,,
2024-06-12,155.28848266601562,155.38709707097885,152.7246736478743,152.84299889667363,1489900.0,,,,,
2024-06-13,153.1190948486328,155.0025185619176,151.39344815819226,154.4700248714296,1197300.0,,,,,
2024-06-14,146.43344116210938,151.59065511259203,143.99781302458635,151.42302267575755,3807000.0,,,,,
2024-06-17,147.04481506347656,147.3012064875172,142.53841981061615,145.26987621690805,2348400.0,,,,,
2024-06-18,149.37197875976562,149.42128596200854,146.48276027496803,148.1097926238645,1326700.0,,,,,
2024-06-20,148.11964416503906,149.0761315433898,146.79828052742664,148.77044799356875,1341200.0,,,,,
2024-06-21,149.0170135498047,149.09590207764668,145.94043619620751,147.53788750727554,2066700.0,,,,,
2024-06-24,152.3696746826172,153.47408373603056,148.6718603915154,150.66373885621525,2174600.0,,,,,
2024-06-25,158.49325561523438,159.43003227891748,151.86677083007302,153.9375529678531,3751900.0,,,,,
2024-06-26,159.1539306640625,159.32157816290288,156.64928425368137,157.7734192640801,2391300.0,,,,,
2024-06-27,157.98048400878906,159.43988374394507,156.28441875721157,159.370850659239,1417100.0,,,,,
2024-06-28,157.21133422851562,160.23861874024013,156.6887110141861,158.26645112497565,2830300.0,,,,,
2024-07-01,154.29254150390625,157.77341629724867,152.36968100207264,157.5268953342842,1915800.0,,,,,
2024-07-02,154.4305877685547,155.5251414114382,152.78382959348585,153.8981091257888,1384000.0,,,,,
2024-07-03,153.2176971435547,154.55877163888022,152.72465527095625,154.32210612331318,1442400.0,,,,,
2024-07-05,154.5982208251953,154.86446767085593,152.32036959768084,153.8290766456825,1235500.0,,,,,
2024-07-08,158.59185791015625,160.66262484336409,155.40681147826984,155.68291373603088,2247400.0,,,,,
2024-07-09,160.85986328125,161.39234193986658,157.73397928201473,157.7734160155826,1930100.0,,,,,
2024-07-10,160.4160919189453,162.388259353679,158.2368553295729,161.7177296481624,1930200.0,,,,,
2024-07-11,160.90914916992188,160.95845636979556,155.5941580267494,158.75949368272265,2993100.0,,,,,
2024-07-12,164.0843505859375,164.3407420228574,161.6684481043549,161.71775530733532,2062500.0,,,,,
2024-07-15,165.38597106933594,165.58318481400084,161.92482245416744,164.67598955138686,1744900.0,,,,,
2024-07-16,169.685302734375,170.23750725697715,165.75082294116768,165.76069340892863,1893700.0,,,,,
2024-07-17,162.1713409423828,167.96950318929444,162.1713409423828,167.73285271785562,2627300.0,,,,,
2024-07-18,161.9051055908203,164.52809217576467,160.79082605400632,163.3940867494513,1651600.0,,,,,
2024-07-19,165.94802856445312,166.64815465117448,163.62087030001092,163.66032207623286,1505600.0,,,,,
2024-07-22,166.1846923828125,167.16092070732714,163.19685983842868,164.91265097187878,2016100.0,,,,,
2024-07-23,168.35409545898438,170.9573562823831,165.79028641652343,165.89875624443363,2160100.0,,,,,
2024-07-24,162.22064208984375,168.6203314304445,161.58954905359928,167.22994964785372,2383500.0,,,,,
2024-07-25,149.9044647216797,161.47122357778946,149.81570574365185,161.2247026257623,6499200.0,,,,,
2024-07-26,151.42303466796875,154.47003017484073,149.93405346067345,152.49786246091264,3435900.0,,,,,
