Date,Close,High,Low,Open,Volume,"('Close', 'INDO')","('High', 'INDO')","('Low', 'INDO')","('Open', 'INDO')","('Volume', 'INDO')"
2024-06-03,2.9200000762939453,3.130000114440918,2.9200000762939453,3.0899999141693115,146500.0,,,,,
2024-06-04,2.890000104904175,2.950000047683716,2.859999895095825,2.940000057220459,77800.0,,,,,
2024-06-05,2.970000028610229,3.0299999713897705,2.900000095367432,2.970000028610229,66700.0,,,,,
2024-06-06,2.940000057220459,3.059999942779541,2.900000095367432,2.990000009536743,48300.0,,,,,
2024-06-07,2.8399999141693115,2.950000047683716,2.759999990463257,2.950000047683716,84500.0,,,,,
2024-06-10,2.880000114440918,2.884999990463257,2.7799999713897705,2.819999933242798,107600.0,,,,,
2024-06-11,2.75,2.900000095367432,2.740000009536743,2.8399999141693115,80900.0,,,,,
2024-06-12,2.690000057220459,2.8329999446868896,2.6410000324249268,2.7799999713897705,60000.0,,,,,
2024-06-13,2.619999885559082,2.680000066757202,2.5799999237060547,2.680000066757202,41800.0,,,,,
2024-06-14,2.697000026702881,2.700000047683716,2.5899999141693115,2.5899999141693115,29400.0,,,,,
2024-06-17,2.680000066757202,2.720000028610229,2.630000114440918,2.7100000381469727,48900.0,,,,,
2024-06-18,2.6700000762939453,2.740000009536743,2.609999895095825,2.700000047683716,100700.0,,,,,
2024-06-20,2.680000066757202,2.744999885559082,2.640000104904175,2.690000057220459,94200.0,,,,,
2024-06-21,2.549999952316284,2.720000028610229,2.5299999713897705,2.609999895095825,125600.0,,,,,
2024-06-24,2.7799999713897705,2.7799999713897705,2.619999885559082,2.680000066757202,130500.0,,,,,
2024-06-25,2.7300000190734863,2.8299999237060547,2.619999885559082,2.809999942779541,137600.0,,,,,
2024-06-26,2.7699999809265137,2.819999933242798,2.678999900817871,2.690000057220459,80400.0,,,,,
2024-06-27,2.740000009536743,2.809999942779541,2.680000066757202,2.7679998874664307,56900.0,,,,,
2024-06-28,2.75,2.8499999046325684,2.7300000190734863,2.809999942779541,68000.0,,,,,
2024-07-01,2.759999990463257,2.8010001182556152,2.700000047683716,2.799999952316284,463900.0,,,,,
2024-07-02,2.650000095367432,2.7799999713897705,2.609999895095825,2.75,180800.0,,,,,
2024-07-03,2.684999942779541,2.819999933242798,2.6600000858306885,2.6619999408721924,137200.0,,,,,
2024-07-05,2.7300000190734863,2.7699999809265137,2.686000108718872,2.75,107800.0,,,,,
2024-07-08,2.720000028610229,2.744999885559082,2.650000095367432,2.700000047683716,146200.0,,,,,
2024-07-09,2.650000095367432,2.7170000076293945,2.650000095367432,2.690000057220459,107300.0,,,,,
