Date,Close,High,Low,Open,Volume,"('Close', 'JBI')","('High', 'JBI')","('Low', 'JBI')","('Open', 'JBI')","('Volume', 'JBI')"
2024-06-03,13.579999923706056,14.029999732971191,13.279999732971191,14.029999732971191,2552500.0,,,,,
2024-06-04,13.100000381469728,13.600000381469728,13.005000114440918,13.579999923706056,2405400.0,,,,,
2024-06-05,13.460000038146973,13.510000228881836,13.09000015258789,13.1899995803833,1599800.0,,,,,
2024-06-06,12.970000267028809,13.460000038146973,12.720000267028809,13.380000114440918,2199600.0,,,,,
2024-06-07,12.949999809265137,13.05500030517578,12.760000228881836,12.869999885559082,1400200.0,,,,,
2024-06-10,13.279999732971191,13.380000114440918,12.81999969482422,12.81999969482422,1913000.0,,,,,
2024-06-11,13.25,13.31999969482422,13.100000381469728,13.199999809265137,1381000.0,,,,,
2024-06-12,13.489999771118164,13.760000228881836,13.380000114440918,13.550000190734863,1374100.0,,,,,
2024-06-13,13.380000114440918,13.489999771118164,13.220000267028809,13.4399995803833,1243300.0,,,,,
2024-06-14,13.09000015258789,13.260000228881836,12.989999771118164,13.260000228881836,1146800.0,,,,,
2024-06-17,13.0,13.15999984741211,12.765000343322754,13.119999885559082,1561000.0,,,,,
2024-06-18,13.279999732971191,13.40999984741211,12.979999542236328,13.0,1441900.0,,,,,
2024-06-20,12.949999809265137,13.210000038146973,12.90999984741211,13.210000038146973,1646800.0,,,,,
2024-06-21,12.979999542236328,12.989999771118164,12.4399995803833,12.899999618530272,1803300.0,,,,,
2024-06-24,12.93000030517578,13.100000381469728,12.920000076293944,12.979999542236328,1358500.0,,,,,
2024-06-25,12.609999656677246,12.920000076293944,12.505000114440918,12.920000076293944,1203900.0,,,,,
2024-06-26,12.760000228881836,12.80500030517578,12.40999984741211,12.5,2547200.0,,,,,
2024-06-27,12.850000381469728,12.90999984741211,12.5600004196167,12.880000114440918,2288300.0,,,,,
2024-06-28,12.630000114440918,12.979999542236328,12.489999771118164,12.890000343322754,9471600.0,,,,,
2024-07-01,12.359999656677246,12.734999656677246,12.359999656677246,12.699999809265137,1525500.0,,,,,
2024-07-02,12.43000030517578,12.489999771118164,12.31999969482422,12.359999656677246,725400.0,,,,,
2024-07-03,12.539999961853027,12.635000228881836,12.399999618530272,12.399999618530272,651800.0,,,,,
2024-07-05,12.25,12.520000457763672,12.229999542236328,12.489999771118164,1179800.0,,,,,
2024-07-08,12.119999885559082,12.520000457763672,12.0600004196167,12.34000015258789,2713500.0,,,,,
2024-07-09,12.229999542236328,12.260000228881836,12.05500030517578,12.170000076293944,1309600.0,,,,,
2024-07-10,12.43000030517578,12.510000228881836,12.25,12.279999732971191,1228200.0,,,,,
2024-07-11,12.829999923706056,13.015000343322754,12.649999618530272,12.760000228881836,2623400.0,,,,,
2024-07-12,13.079999923706056,13.289999961853027,12.949999809265137,12.949999809265137,2313900.0,,,,,
2024-07-15,13.359999656677246,13.44499969482422,13.130000114440918,13.220000267028809,3306100.0,,,,,
2024-07-16,13.609999656677246,13.65999984741211,13.390000343322754,13.470000267028809,2314800.0,,,,,
2024-07-17,13.529999732971191,13.760000228881836,13.449999809265137,13.460000038146973,2862400.0,,,,,
