Date,Close,High,Low,Open,Volume,"('Close', 'AKTX')","('High', 'AKTX')","('Low', 'AKTX')","('Open', 'AKTX')","('Volume', 'AKTX')"
2024-06-03,1.690000057220459,1.7999999523162842,1.6239999532699585,1.7999999523162842,16300.0,,,,,
2024-06-04,1.9299999475479128,1.9299999475479128,1.659999966621399,1.690000057220459,55900.0,,,,,
2024-06-05,2.121000051498413,2.299999952316284,1.9299999475479128,1.950000047683716,44600.0,,,,,
2024-06-06,2.190000057220459,2.25,2.119999885559082,2.2100000381469727,16700.0,,,,,
2024-06-07,2.2300000190734863,2.359999895095825,2.130000114440918,2.150000095367432,38900.0,,,,,
2024-06-10,2.5199999809265137,2.75,2.150000095367432,2.3499999046325684,70900.0,,,,,
2024-06-11,3.140000104904175,3.299999952316284,2.470000028610229,2.470000028610229,84700.0,,,,,
2024-06-12,3.299999952316284,3.299999952316284,2.5999999046325684,3.2100000381469727,44700.0,,,,,
2024-06-13,3.049999952316284,3.3499999046325684,2.75,3.3299999237060547,18700.0,,,,,
2024-06-14,3.1600000858306885,3.289999961853028,2.9749999046325684,3.059999942779541,10400.0,,,,,
2024-06-17,2.9600000381469727,3.069999933242798,2.700000047683716,3.049999952316284,27000.0,,,,,
2024-06-18,2.8350000381469727,3.0299999713897705,2.799999952316284,2.880000114440918,12800.0,,,,,
2024-06-20,3.095000028610229,3.1549999713897705,2.75,2.789999961853028,33700.0,,,,,
2024-06-21,3.7100000381469727,3.940000057220459,3.049999952316284,3.049999952316284,67000.0,,,,,
2024-06-24,3.660000085830689,3.890000104904175,3.490999937057495,3.799999952316284,23300.0,,,,,
2024-06-25,2.7699999809265137,3.640000104904175,2.7300000190734863,3.5999999046325684,71000.0,,,,,
2024-06-26,2.720000028610229,3.1080000400543213,2.7100000381469727,2.890000104904175,20300.0,,,,,
2024-06-27,2.630000114440918,3.109999895095825,2.619999885559082,2.6600000858306885,18000.0,,,,,
2024-06-28,2.700000047683716,2.700000047683716,2.609999895095825,2.700000047683716,12400.0,,,,,
2024-07-01,3.2149999141693115,3.630000114440918,2.8499999046325684,2.8499999046325684,26400.0,,,,,
2024-07-02,3.0999999046325684,3.400000095367432,3.039999961853028,3.2699999809265137,23800.0,,,,,
2024-07-03,3.181999921798706,3.306999921798706,3.1010000705718994,3.2300000190734863,2400.0,,,,,
2024-07-05,2.869999885559082,3.180000066757202,2.8289999961853027,3.180000066757202,8700.0,,,,,
2024-07-08,2.880000114440918,3.0299999713897705,2.8399999141693115,2.8399999141693115,5700.0,,,,,
2024-07-09,2.809999942779541,2.9800000190734863,2.680000066757202,2.8399999141693115,7900.0,,,,,
2024-07-10,3.380000114440918,3.5299999713897705,2.869999885559082,2.9800000190734863,42700.0,,,,,
2024-07-11,3.5309998989105225,3.7290000915527344,3.380000114440918,3.490000009536743,48000.0,,,,,
2024-07-12,3.5,3.640000104904175,3.289999961853028,3.559999942779541,26500.0,,,,,
