Date,Close,High,Low,Open,Volume,"('Close', 'CIO')","('High', 'CIO')","('Low', 'CIO')","('Open', 'CIO')","('Volume', 'CIO')"
2024-06-03,4.458547115325928,4.558433223922165,4.440386044035166,4.531191400488975,108200.0,,,,,
2024-06-04,4.531191349029541,4.540272101068841,4.404063851437958,4.413144603477258,94000.0,,,,,
2024-06-05,4.503950119018555,4.5629737103900725,4.467627975558252,4.540272262478857,93100.0,,,,,
2024-06-06,4.549353122711182,4.549353122711182,4.423133173250595,4.503950225812198,88600.0,,,,,
2024-06-07,4.458547115325928,4.494869257907451,4.413144653596071,4.467627867468356,121800.0,,,,,
2024-06-10,4.422224521636963,4.444925966683184,4.276935966131632,4.413144203414905,112500.0,,,,,
2024-06-11,4.286016464233398,4.42222470723319,4.26331545122849,4.376822248229305,101100.0,,,,,
2024-06-12,4.267856121063232,4.513030827030795,4.258775800913249,4.440386533854353,182200.0,,,,,
2024-06-13,4.404064178466797,4.404064178466797,4.267855918721613,4.276936671435216,107100.0,,,,,
2024-06-14,4.458547115325928,4.50395001004988,4.331419616290595,4.358661439723785,184300.0,,,,,
2024-06-17,4.440385341644287,4.4676271607683,4.3768218186783,4.422224273226287,93900.0,,,,,
2024-06-18,4.612916469573975,4.671940059924102,4.440386074626085,4.440386074626085,159200.0,,,,,
2024-06-20,4.585675239562988,4.66739984729984,4.540272342935984,4.540272342935984,139300.0,,,,,
2024-06-21,4.54027271270752,4.626537703731537,4.54027271270752,4.585675613032254,201700.0,,,,,
2024-06-24,4.576594352722168,4.603836176497677,4.4676279236083305,4.567514033459732,88400.0,,,,,
2024-06-25,4.440385341644287,4.531190683734288,4.331418931136287,4.531190683734288,156600.0,,,,,
2024-06-26,4.376822471618652,4.440386004067135,4.372282095588306,4.385902790685254,110800.0,,,,,
2024-06-27,4.413144588470459,4.485788872561481,4.358661375402193,4.385902765439282,130700.0,,,,,
2024-06-28,4.522110939025879,4.531191257888447,4.408604138782252,4.485788797587444,386800.0,,,,,
2024-07-01,4.5584330558776855,4.576594126498948,4.422224809721177,4.52211091463516,186100.0,,,,,
2024-07-02,4.54027271270752,4.594755933300712,4.408604821358767,4.585675613032254,127100.0,,,,,
2024-07-03,4.449466705322266,4.58567495371874,4.444926329343764,4.58567495371874,61200.0,,,,,
2024-07-05,4.440385341644287,4.531190683734288,4.385902136390286,4.385902136390286,363300.0,,,,,
2024-07-08,4.6673994064331055,4.6673994064331055,4.4948690217388805,4.4948690217388805,234400.0,,,,,
2024-07-09,4.567513942718506,4.68102074570561,4.553892814604308,4.667399617591412,200800.0,,,,,
2024-07-10,4.567513942718506,4.604572845321648,4.447072730146775,4.548984491416935,339100.0,,,,,
2024-07-11,4.817661285400391,4.854720184382169,4.595307891509722,4.660161185616295,362100.0,,,,,
2024-07-12,4.854720115661621,4.938102858078767,4.836190666433024,4.863985061164378,164600.0,,,,,
2024-07-15,4.817661285400391,4.928838424122648,4.734278983579851,4.882514579506964,213100.0,,,,,
2024-07-16,5.29942798614502,5.317957437636622,4.87325060183816,4.901044558187079,220700.0,,,,,
