Date,Close,High,Low,Open,Volume,"('Close', 'MRK')","('High', 'MRK')","('Low', 'MRK')","('Open', 'MRK')","('Volume', 'MRK')"
2024-06-03,122.27912902832033,122.78378398893815,119.75584696066372,119.75584696066372,7702500.0,,,,,
2024-06-04,122.55526733398438,123.17417939671304,120.81276646419838,121.06985949556098,6440100.0,,,,,
2024-06-05,123.25987243652344,123.72644652694036,121.94587205776048,122.33625536780352,5009400.0,,,,,
2024-06-06,124.2787094116211,124.66909270897386,122.73616580014895,122.98374224091306,8088500.0,,,,,
2024-06-07,124.42154693603516,125.08807103775122,123.98355161025134,124.11685643059457,4945600.0,,,,,
2024-06-10,125.20232391357422,125.38322615544614,123.45029928578454,124.38344741737768,6033700.0,,,,,
2024-06-11,125.53558349609376,125.84980507958088,123.53601141363126,124.73575466310876,11453200.0,,,,,
2024-06-12,123.97400665283205,126.36399109734757,123.9359257923304,126.35445998537156,5822000.0,,,,,
2024-06-13,123.18370056152344,123.89783659698864,122.4410002469704,123.80262717640753,5004200.0,,,,,
2024-06-14,123.2884292602539,123.659779381885,122.49811704670395,122.9837388028524,7338500.0,,,,,
2024-06-17,122.12940979003906,123.50875605094228,122.00488831682917,122.80950940503172,8524000.0,,,,,
2024-06-18,122.59876251220705,123.3075899508666,121.73667113652552,122.86697440199542,6532400.0,,,,,
2024-06-20,124.20800018310548,124.93598197671396,121.4109990400154,122.0240401862262,10348400.0,,,,,
2024-06-21,125.21378326416016,125.67356050126656,123.65243782191668,124.6869475674472,17170800.0,,,,,
2024-06-24,127.35942840576172,127.6946768389808,125.41492318245284,125.7406127162812,8553800.0,,,,,
2024-06-25,127.32110595703124,128.95908330432846,127.01459268416616,127.51267857957868,6750600.0,,,,,
2024-06-26,125.9609375,127.80963473809535,125.95136398326308,127.76175253835468,8492100.0,,,,,
2024-06-27,124.35169219970705,126.71763671322452,121.43973575590178,126.4302850910531,11927600.0,,,,,
2024-06-28,118.58527374267578,125.45325576722703,115.77869151577444,124.08348292235624,57055500.0,,,,,
2024-07-01,122.51256561279295,123.74822878651176,119.83050499119796,120.098709591752,11533000.0,,,,,
