Date,Close,High,Low,Open,Volume,"('Close', 'TUYA')","('High', 'TUYA')","('Low', 'TUYA')","('Open', 'TUYA')","('Volume', 'TUYA')"
2024-06-03,1.819311261177063,1.932429067368599,1.809884786692138,1.932429067368599,374000.0,,,,,
2024-06-04,1.7910317182540894,1.8193111398225248,1.7816052443979442,1.80988466596638,213100.0,,,,,
2024-06-05,1.8098846673965452,1.8287377274961656,1.7061933425245783,1.7910317196693573,234600.0,,,,,
2024-06-06,1.8098846673965452,1.8193111412601397,1.7910317196693573,1.7910317196693573,151700.0,,,,,
2024-06-07,1.7910317182540894,1.8193111398225248,1.743899348973363,1.8193111398225248,141200.0,,,,,
2024-06-10,1.7438994646072388,1.7721788880508167,1.7438994646072388,1.7533259390884317,58000.0,,,,,
2024-06-11,1.715620040893555,1.7627524132920975,1.715620040893555,1.7438994643326804,175600.0,,,,,
2024-06-12,1.677914023399353,1.7438994568464912,1.677914023399353,1.7250465079680055,272200.0,,,,,
2024-06-13,1.668487548828125,1.6873404977051192,1.659061074389628,1.677914023266622,201600.0,,,,,
2024-06-14,1.687340497970581,1.7156200336629603,1.6496346002106608,1.6496346002106608,165600.0,,,,,
2024-06-17,1.640208125114441,1.6967669717316922,1.6213551762420235,1.6967669717316922,421200.0,,,,,
2024-06-18,1.630781650543213,1.6684875482849253,1.6119287016723567,1.6684875482849253,142900.0,,,,,
2024-06-20,1.6025022268295288,1.6590610734277187,1.5647962167249632,1.630781650128624,272400.0,,,,,
2024-06-21,1.6213551759719849,1.6496345992759007,1.5647962169917142,1.6496345992759007,478600.0,,,,,
2024-06-24,1.5930756330490112,1.6119285805026795,1.5930756330490112,1.5930756330490112,137300.0,,,,,
2024-06-25,1.5647962093353271,1.5930757448733133,1.5647962093353271,1.5647962093353271,165100.0,,,,,
2024-06-26,1.6590609550476074,1.6637741919278164,1.564796105070996,1.564796105070996,526600.0,,,,,
2024-06-27,1.5836491584777832,1.6307816428036768,1.5647962096964014,1.6213551684129857,417500.0,,,,,
2024-06-28,1.6119287014007568,1.6213551758345968,1.5742226912929584,1.6025022269669171,285600.0,,,,,
2024-07-01,1.5836491584777832,1.6684875403664403,1.5695094468917468,1.6684875403664403,226200.0,,,,,
2024-07-02,1.5647962093353271,1.5930757448733133,1.5647962093353271,1.5836491581123588,231700.0,,,,,
2024-07-03,1.5647962093353271,1.607215456456087,1.5647962093353271,1.5647962093353271,124500.0,,,,,
2024-07-05,1.508237361907959,1.5836491569612718,1.4940976503354628,1.5742226825796075,672600.0,,,,,
2024-07-08,1.498810887336731,1.5553697336195622,1.4705313518228766,1.5459432592390905,455900.0,,,,,
2024-07-09,1.536516785621643,1.545943260006796,1.508237362466184,1.52709031123649,313600.0,,,,,
2024-07-10,1.5647962093353271,1.5647962093353271,1.527090311781264,1.5459432605582957,289200.0,,,,,
2024-07-11,1.6025022268295288,1.6025022268295288,1.5742226911579948,1.6025022268295288,552700.0,,,,,
2024-07-12,1.5930756330490112,1.6119285805026795,1.574222573222912,1.574222573222912,318700.0,,,,,
2024-07-15,1.5647962093353271,1.611928693650345,1.5459432605582957,1.611928693650345,167200.0,,,,,
2024-07-16,1.527090311050415,1.5647962085864326,1.527090311050415,1.5553697342024282,244600.0,,,,,
2024-07-17,1.536516785621643,1.536516785621643,1.508237362466184,1.508237362466184,215400.0,,,,,
2024-07-18,1.536516785621643,1.583649157547408,1.5176638368513369,1.5176638368513369,323700.0,,,,,
2024-07-19,1.489384412765503,1.535574092274924,1.489384412765503,1.5270903102825613,92600.0,,,,,
2024-07-22,1.498810887336731,1.5176638360976746,1.489384412956259,1.498810887336731,85100.0,,,,,
2024-07-23,1.479957938194275,1.5365167844625265,1.479957938194275,1.5176638357064425,125300.0,,,,,
2024-07-24,1.4611048698425293,1.4893844052092886,1.4516783955110888,1.4893844052092886,191200.0,,,,,
2024-07-25,1.4611048698425293,1.4988108795407291,1.4469651583453689,1.4516783955110888,204600.0,,,,,
2024-07-26,1.470531344413757,1.498810879785128,1.470531344413757,1.470531344413757,123000.0,,,,,
2024-07-29,1.4233989715576172,1.498810878530763,1.4233989715576172,1.498810878530763,198200.0,,,,,
2024-07-30,1.4233989715576172,1.4516783945328826,1.4233989715576172,1.4516783945328826,67900.0,,,,,
2024-07-31,1.4139724969863892,1.4516783942801794,1.4139724969863892,1.442251919956732,257800.0,,,,,
2024-08-01,1.385693073272705,1.4611048678198315,1.376266598954314,1.4516783935014408,205900.0,,,,,
2024-08-02,1.4045460224151611,1.4045460224151611,1.338560589790231,1.3668401251280229,232900.0,,,,,
2024-08-05,1.395119547843933,1.395119547843933,1.3197076409107018,1.3197076409107018,374600.0,,,,,
2024-08-06,1.3291341066360474,1.3951195388224893,1.3291341066360474,1.3951195388224893,251100.0,,,,,
2024-08-07,1.376266598701477,1.4233989702847725,1.376266598701477,1.385693073018136,297000.0,,,,,
2024-08-08,1.3385605812072754,1.3856930648864192,1.3385605812072754,1.3856930648864192,274900.0,,,,,
2024-08-09,1.3197076320648191,1.3555282567155813,1.3197076320648191,1.338560580578648,311100.0,,,,,
2024-08-12,1.3102812767028809,1.3677828198367257,1.3055680391467444,1.329134226927427,200800.0,,,,,
2024-08-13,1.376266598701477,1.376266598701477,1.3102811661124258,1.3102811661124258,414600.0,,,,,
2024-08-14,1.366840124130249,1.3904063099175077,1.3479870631280044,1.366840124130249,90500.0,,,,,
2024-08-15,1.376266598701477,1.385693073018136,1.347987063379062,1.366840124384818,430600.0,,,,,
2024-08-16,1.498810887336731,1.508237361717203,1.3856930823986298,1.3951195567791017,776500.0,,,,,
2024-08-19,1.470531344413757,1.498810879785128,1.4422519214148246,1.498810879785128,238100.0,,,,,
2024-08-20,1.4516783952713013,1.4799579306333894,1.4422519209414175,1.4422519209414175,128900.0,,,,,
2024-08-21,1.508237361907959,1.508237361907959,1.4233989801005436,1.4422519288638718,209000.0,,,,,
2024-08-22,1.508237361907959,1.5742226825796075,1.508237361907959,1.5459432594346154,303700.0,,,,,
