Date,Close,High,Low,Open,Volume,"('Close', 'BZFD')","('High', 'BZFD')","('Low', 'BZFD')","('Open', 'BZFD')","('Volume', 'BZFD')"
2024-06-03,2.75,2.869999885559082,2.5199999809265137,2.8299999237060547,1198700.0,,,,,
2024-06-04,2.694999933242798,2.759999990463257,2.5899999141693115,2.630000114440918,523300.0,,,,,
2024-06-05,2.559999942779541,2.700000047683716,2.5199999809265137,2.700000047683716,758200.0,,,,,
2024-06-06,2.5199999809265137,2.680000066757202,2.5199999809265137,2.5299999713897705,826600.0,,,,,
2024-06-07,2.4100000858306885,2.5899999141693115,2.390000104904175,2.5,609800.0,,,,,
2024-06-10,2.3299999237060547,2.380000114440918,2.2699999809265137,2.369999885559082,549600.0,,,,,
2024-06-11,2.400000095367432,2.430000066757202,2.25,2.309999942779541,290300.0,,,,,
2024-06-12,2.390000104904175,2.549999952316284,2.345000028610229,2.4600000381469727,278000.0,,,,,
2024-06-13,2.309999942779541,2.4660000801086426,2.289999961853028,2.4600000381469727,341700.0,,,,,
2024-06-14,2.240000009536743,2.3399999141693115,2.220000028610229,2.2799999713897705,481100.0,,,,,
2024-06-17,2.180000066757202,2.36899995803833,2.119999885559082,2.3499999046325684,421000.0,,,,,
2024-06-18,2.0999999046325684,2.25,2.069999933242798,2.190000057220459,315600.0,,,,,
2024-06-20,2.1600000858306885,2.180000066757202,2.0799999237060547,2.0799999237060547,270300.0,,,,,
2024-06-21,2.130000114440918,2.1600000858306885,2.0999999046325684,2.119999885559082,175600.0,,,,,
2024-06-24,2.630000114440918,2.640000104904175,2.194999933242798,2.2100000381469727,2527200.0,,,,,
2024-06-25,2.7300000190734863,2.7799999713897705,2.5,2.650000095367432,747600.0,,,,,
2024-06-26,3.180000066757202,3.25,2.8499999046325684,2.900000095367432,2261500.0,,,,,
2024-06-27,2.9200000762939453,3.2799999713897705,2.809999942779541,3.25,1151300.0,,,,,
2024-06-28,2.759999990463257,2.9200000762939453,2.6600000858306885,2.859999895095825,747400.0,,,,,
2024-07-01,2.789999961853028,2.880000114440918,2.720000028610229,2.819999933242798,435800.0,,,,,
2024-07-02,2.7100000381469727,2.819999933242798,2.7100000381469727,2.819999933242798,301100.0,,,,,
2024-07-03,2.7100000381469727,2.765000104904175,2.700000047683716,2.7100000381469727,294800.0,,,,,
2024-07-05,2.75,2.7699999809265137,2.6600000858306885,2.75,342100.0,,,,,
2024-07-08,2.809999942779541,2.9200000762939453,2.7300000190734863,2.819999933242798,616300.0,,,,,
2024-07-09,2.720000028610229,2.869999885559082,2.7100000381469727,2.819999933242798,291100.0,,,,,
2024-07-10,2.720000028610229,2.75,2.650000095367432,2.7300000190734863,320800.0,,,,,
2024-07-11,2.759999990463257,2.799999952316284,2.6600000858306885,2.799999952316284,307200.0,,,,,
2024-07-12,2.7300000190734863,2.8399999141693115,2.7100000381469727,2.789999961853028,300000.0,,,,,
2024-07-15,2.809999942779541,3.1700000762939453,2.690000057220459,2.690000057220459,2064800.0,,,,,
2024-07-16,2.950000047683716,3.5899999141693115,2.650000095367432,2.8299999237060547,9054400.0,,,,,
2024-07-17,2.970000028610229,3.0199999809265137,2.7799999713897705,2.930000066757202,1258600.0,,,,,
2024-07-18,2.8299999237060547,2.9800000190734863,2.759999990463257,2.970000028610229,721200.0,,,,,
2024-07-19,2.7300000190734863,2.8399999141693115,2.6600000858306885,2.8399999141693115,634400.0,,,,,
2024-07-22,2.75,2.759999990463257,2.619999885559082,2.75,704100.0,,,,,
2024-07-23,2.7049999237060547,2.75,2.619999885559082,2.75,441700.0,,,,,
2024-07-24,2.740000009536743,2.878000020980835,2.630000114440918,2.630000114440918,736300.0,,,,,
2024-07-25,2.740000009536743,2.789999961853028,2.630000114440918,2.680000066757202,434900.0,,,,,
2024-07-26,2.799999952316284,2.809999942779541,2.7300000190734863,2.759999990463257,293800.0,,,,,
2024-07-29,2.880000114440918,3.039999961853028,2.819999933242798,2.819999933242798,944400.0,,,,,
2024-07-30,2.740000009536743,2.990000009536743,2.700000047683716,2.950000047683716,554300.0,,,,,
2024-07-31,2.7100000381469727,2.7699999809265137,2.6600000858306885,2.7699999809265137,356000.0,,,,,
