Date,Close,High,Low,Open,Volume,"('Close', 'AVGO')","('High', 'AVGO')","('Low', 'AVGO')","('Open', 'AVGO')","('Volume', 'AVGO')"
2024-06-03,130.06396484375,133.12394670756834,128.1581214757351,133.09443040449125,26278000.0,,,,,
2024-06-04,130.94163513183594,131.05675773784736,128.59893213697018,129.91638635224348,23048000.0,,,,,
2024-06-05,139.0363006591797,139.16026612517348,131.89797968022,132.435203401869,32947000.0,,,,,
2024-06-06,137.8733367919922,139.9808853308212,136.5912990626028,139.9002034159366,20172000.0,,,,,
2024-06-07,138.4016876220703,140.20815760082164,137.45515404372887,138.5138525867594,17859000.0,,,,,
2024-06-10,141.73023986816406,142.57444204172475,138.64664242146955,138.71256615869353,31042000.0,,,,,
2024-06-11,143.7532196044922,144.14482865206497,139.34527573175745,141.5069474652596,34844000.0,,,,,
2024-06-12,147.145751953125,148.15820929404467,145.2654911924233,147.5875356877796,56697000.0,,,,,
2024-06-13,165.19866943359375,170.79322561970588,162.5942382166228,168.24979376883334,89061000.0,,,,,
2024-06-14,170.7135009765625,171.9138806924161,165.50465412366884,165.97299648597783,69705000.0,,,,,
2024-06-17,179.9456024169922,181.3358864759736,174.99749252682554,177.10504083121845,87528000.0,,,,,
2024-06-18,177.3529815673828,182.18401697497552,175.63015118492672,181.00036210448988,86797000.0,,,,,
2024-06-20,170.66627502441406,177.57239965100058,169.45212799621683,177.44546152579616,68157000.0,,,,,
2024-06-21,163.19541931152344,168.64335483059264,162.48600704177804,166.83885155163068,99289000.0,,,,,
2024-06-24,157.15765380859375,163.9475219824631,157.00466365301125,162.07707500353564,58575000.0,,,,,
2024-06-25,156.03045654296875,158.5227442241571,154.37321378104997,157.93939959149802,53329000.0,,,,,
2024-06-26,157.13694763183594,159.72101762022575,155.31980150605153,157.69166126243277,46479000.0,,,,,
2024-06-27,156.60987854003906,158.48130478932524,155.06417769228932,157.13695516426662,31649000.0,,,,,
2024-06-28,158.47239685058594,161.79873545777954,156.54471783351462,157.5199058442056,69377000.0,,,,,
2024-07-01,161.95370483398438,162.73840069795384,157.28500466714368,158.73595628310284,47623000.0,,,,,
2024-07-02,163.60009765625,163.7698658423711,160.09807155855202,161.95371374056134,32539000.0,,,,,
2024-07-03,170.6811065673828,170.6811065673828,164.28903088782485,164.83585246336767,39954000.0,,,,,
2024-07-05,168.12368774414062,174.2591384642375,167.4021730052853,173.28098340579604,45240000.0,,,,,
2024-07-08,172.32354736328125,173.4132445384508,168.29049907758204,168.29049907758204,36398000.0,,,,,
2024-07-09,171.08482360839844,174.80302100125152,168.3457904367162,173.3797063350569,37802000.0,,,,,
2024-07-10,172.20806884765625,174.35982628933857,170.39882985111416,172.33738304033824,41074000.0,,,,,
2024-07-11,168.38426208496094,174.1999060214148,164.68779832689586,174.1791820158609,51026000.0,,,,,
2024-07-12,167.8631134033203,170.35440708894706,166.93923839190214,168.88568348418232,30453000.0,,,,,
2024-07-15,169.19857788085938,171.26149009603031,167.06656556170066,167.796981373186,22999200.0,,,,,
2024-07-16,167.18502807617188,170.5705718550748,164.24363472362555,170.16588138521377,22244900.0,,,,,
2024-07-17,153.95867919921875,160.7297823034939,153.59347878177644,160.20665168243477,43343400.0,,,,,
2024-07-18,158.43984985351562,159.41701095441232,151.90562718916706,156.8309679570577,37973500.0,,,,,
2024-07-19,155.3109130859375,161.82537488887485,155.08388280363224,159.74271769984367,26309500.0,,,,,
2024-07-22,158.97283935546875,160.87783653656956,155.85378582166717,158.15359342380904,28813300.0,,,,,
