Date,Close,High,Low,Open,Volume,"('Close', 'BNZI')","('High', 'BNZI')","('Low', 'BNZI')","('Open', 'BNZI')","('Volume', 'BNZI')"
2024-06-03,95.0,104.0,94.0,100.0,14188.0,,,,,
2024-06-04,109.5,114.5,95.5,109.0,48852.0,,,,,
2024-06-05,96.5,102.0,90.5,98.5,15311.0,,,,,
2024-06-06,86.0,99.0,83.0,99.0,13555.0,,,,,
2024-06-07,90.5,102.5,85.0,85.0,23037.0,,,,,
2024-06-10,88.0,90.0,83.0,88.0,3949.0,,,,,
2024-06-11,95.5,97.5,90.0,96.5,9541.0,,,,,
2024-06-12,90.0,95.0,87.0,95.0,5089.0,,,,,
2024-06-13,92.0,93.5,83.0,90.5,3979.0,,,,,
2024-06-14,86.0,92.5,85.5,89.0,1529.0,,,,,
2024-06-17,84.0,88.0,84.0,86.0,2737.0,,,,,
2024-06-18,92.5,95.0,87.5,90.0,16530.0,,,,,
2024-06-20,89.5,92.5,85.5,92.5,5408.0,,,,,
2024-06-21,89.5,89.5,84.0,88.5,2023.0,,,,,
2024-06-24,86.0,89.0,83.5,84.5,2050.0,,,,,
2024-06-25,85.5,89.5,85.0,85.0,1402.0,,,,,
2024-06-26,87.0,94.0,83.0,86.5,4702.0,,,,,
2024-06-27,87.5,89.5,85.5,88.0,2470.0,,,,,
2024-06-28,85.0,87.5,82.5,83.0,1333.0,,,,,
2024-07-01,75.5,86.0,73.0,85.0,3781.0,,,,,
2024-07-02,76.5,79.0,73.0,78.0,1499.0,,,,,
2024-07-03,81.5,83.0,76.5,76.5,1161.0,,,,,
2024-07-05,79.5,81.5,77.0,79.0,1091.0,,,,,
2024-07-08,76.0,80.0,74.5,78.0,2112.0,,,,,
2024-07-09,74.0,76.0,73.0,75.0,1520.0,,,,,
2024-07-10,77.5,80.0,73.0,74.0,2039.0,,,,,
2024-07-11,77.0,77.5,75.0,77.5,1678.0,,,,,
2024-07-12,82.5,84.0,75.5,76.5,3266.0,,,,,
2024-07-15,81.5,85.0,78.0,82.5,1352.0,,,,,
2024-07-16,81.5,83.0,78.0,81.5,1823.0,,,,,
2024-07-17,80.0,82.5,78.0,81.5,962.0,,,,,
2024-07-18,77.0,81.5,75.5,79.5,1550.0,,,,,
2024-07-19,70.5,77.5,70.5,76.5,1417.0,,,,,
2024-07-22,72.0,75.5,70.5,73.5,1427.0,,,,,
2024-07-23,77.0,80.0,72.5,75.0,7178.0,,,,,
2024-07-24,76.0,77.5,74.0,74.0,1967.0,,,,,
2024-07-25,82.0,86.0,78.5,81.0,4831.0,,,,,
2024-07-26,83.5,89.0,79.0,79.5,4197.0,,,,,
