Date,Close,High,Low,Open,Volume,"('Close', 'TOST')","('High', 'TOST')","('Low', 'TOST')","('Open', 'TOST')","('Volume', 'TOST')"
2024-06-03,23.0,24.34199905395508,22.86000061035156,24.200000762939453,7753500.0,,,,,
2024-06-04,22.43000030517578,23.229999542236328,22.3700008392334,22.8799991607666,6421000.0,,,,,
2024-06-05,22.5,22.655000686645508,22.114999771118164,22.489999771118164,6113500.0,,,,,
2024-06-06,22.6200008392334,23.21999931335449,22.399999618530277,22.5,4947800.0,,,,,
2024-06-07,22.020000457763672,22.729999542236328,21.96999931335449,22.3700008392334,7580100.0,,,,,
2024-06-10,22.559999465942383,22.81999969482422,21.920000076293945,22.01000022888184,7119500.0,,,,,
2024-06-11,22.200000762939453,22.51499938964844,22.059999465942383,22.40999984741211,5841600.0,,,,,
2024-06-12,22.600000381469727,23.190000534057617,22.420000076293945,23.0,7568500.0,,,,,
2024-06-13,22.71999931335449,22.774999618530277,21.31999969482422,22.5,10521400.0,,,,,
2024-06-14,22.71999931335449,22.76000022888184,21.96999931335449,22.459999084472656,8829800.0,,,,,
2024-06-17,22.600000381469727,23.239999771118164,22.350000381469727,22.549999237060547,8019100.0,,,,,
2024-06-18,24.040000915527344,24.979999542236328,23.34199905395508,23.420000076293945,14606900.0,,,,,
2024-06-20,25.520000457763672,25.600000381469727,23.88500022888184,24.040000915527344,9575700.0,,,,,
2024-06-21,25.540000915527344,25.69499969482422,24.86000061035156,25.459999084472656,8798600.0,,,,,
2024-06-24,25.59000015258789,25.739999771118164,25.11000061035156,25.520000457763672,4634300.0,,,,,
2024-06-25,25.790000915527344,25.93000030517578,25.25,25.450000762939453,5252700.0,,,,,
2024-06-26,25.71999931335449,25.825000762939453,25.270000457763672,25.6200008392334,3130800.0,,,,,
2024-06-27,25.71999931335449,26.18000030517578,25.565000534057617,25.770000457763672,4192200.0,,,,,
2024-06-28,25.770000457763672,26.040000915527344,25.270000457763672,25.8799991607666,11069200.0,,,,,
2024-07-01,25.459999084472656,25.940000534057617,25.190000534057617,25.82999992370605,3723800.0,,,,,
2024-07-02,25.989999771118164,26.0,25.280000686645508,25.399999618530277,3217900.0,,,,,
2024-07-03,25.309999465942383,26.290000915527344,25.190000534057617,25.989999771118164,3032400.0,,,,,
2024-07-05,25.65999984741211,25.790000915527344,24.93000030517578,25.06999969482422,2942800.0,,,,,
