Date,Close,High,Low,Open,Volume,"('Close', 'WELL')","('High', 'WELL')","('Low', 'WELL')","('Open', 'WELL')","('Volume', 'WELL')"
2024-06-03,101.5763168334961,101.90820566220911,100.85398107307056,101.28348163471172,3030100.0,,,,,
2024-06-04,101.99605560302734,102.50364853796918,100.9418384444904,101.42990456415863,2039200.0,,,,,
2024-06-05,102.503662109375,103.1674324178984,101.60561467033816,101.888693950901,2202900.0,,,,,
2024-06-06,102.15223693847656,102.73791477313942,101.74226319894233,102.15223693847656,1666300.0,,,,,
2024-06-07,101.33229064941406,101.67394290877854,100.66852039427202,101.34205405755834,1967200.0,,,,,
2024-06-10,101.05897521972656,102.73792395719816,100.98088284884454,102.0546343302264,2268000.0,,,,,
2024-06-11,100.99064636230467,101.6348972518054,99.92666573529694,100.39520506648071,2346500.0,,,,,
2024-06-12,100.41473388671876,102.757445483985,100.15117399128223,102.757445483985,2182100.0,,,,,
2024-06-13,101.390869140625,101.59585603896336,100.43425616774724,100.83447400304982,1883200.0,,,,,
2024-06-14,101.55680084228516,101.97653801039914,100.71732650605722,101.371333330447,1859500.0,,,,,
2024-06-17,101.31277465820312,101.8398870060927,100.83447190536388,101.0785049860184,1900300.0,,,,,
2024-06-18,101.45919036865234,101.77155239667312,100.49281406080526,101.33228840747948,2172600.0,,,,,
2024-06-20,100.57091522216795,101.41038964223424,100.34640895127748,101.19563933282676,3080000.0,,,,,
2024-06-21,99.87784576416016,100.8832607321304,99.37026030023355,100.47328699811686,17559600.0,,,,,
2024-06-24,100.51233673095705,101.41037659356417,99.63381623610316,99.9559416587659,3349700.0,,,,,
2024-06-25,98.52102661132812,100.6294683627996,98.06224327007934,100.52210066864365,3136500.0,,,,,
2024-06-26,99.39954376220705,99.50691890004362,97.74011455301282,98.12080551541612,2846700.0,,,,,
2024-06-27,100.88326263427734,101.10777631987848,99.53620286256378,99.62405118695266,2649600.0,,,,,
2024-06-28,101.76178741455078,102.3572286848946,100.82470134498465,101.29324065611868,11688700.0,,,,,
2024-07-01,101.51775360107422,102.2791355615146,100.48305580327556,101.75202325491016,2494100.0,,,,,
2024-07-02,103.44073486328124,103.45049827094346,101.5958455219174,102.05462886716732,2775500.0,,,,,
2024-07-03,102.83552551269533,103.69452661272848,102.65006545934078,103.38216460743396,1204800.0,,,,,
2024-07-05,103.93856048583984,103.95807985313272,102.23032912675082,102.981947647939,1626900.0,,,,,
2024-07-08,101.92772674560548,103.42120788170897,101.7910688277462,103.24550378056162,3726300.0,,,,,
