Date,Close,High,Low,Open,Volume,"('Close', 'ELAB')","('High', 'ELAB')","('Low', 'ELAB')","('Open', 'ELAB')","('Volume', 'ELAB')"
2024-06-03,3335.4384765625,3340.350830078125,3242.105224609375,3281.403564453125,8.0,,,,,
2024-06-04,3266.666748046875,3404.21044921875,3242.105224609375,3340.350830078125,6.0,,,,,
2024-06-05,3197.894775390625,3291.22802734375,3192.982421875,3197.894775390625,8.0,,,,,
2024-06-06,3143.859619140625,3266.666748046875,3050.5263671875,3202.80712890625,14.0,,,,,
2024-06-07,3119.29833984375,3256.842041015625,3094.73681640625,3237.19287109375,52.0,,,,,
2024-06-10,3060.350830078125,3296.140380859375,3001.403564453125,3143.859619140625,22.0,,,,,
2024-06-11,3050.5263671875,3143.859619140625,2947.368408203125,3060.350830078125,16.0,,,,,
2024-06-12,3104.5615234375,3143.859619140625,3021.052734375,3094.73681640625,12.0,,,,,
2024-06-13,3045.614013671875,3143.859619140625,3021.052734375,3104.5615234375,10.0,,,,,
2024-06-14,2888.421142578125,3143.859619140625,2849.122802734375,2996.4912109375,34.0,,,,,
2024-06-17,2932.631591796875,3094.73681640625,2888.421142578125,2898.24560546875,7.0,,,,,
2024-06-18,2898.24560546875,3035.78955078125,2849.122802734375,2996.4912109375,12.0,,,,,
2024-06-20,2893.333251953125,2981.75439453125,2800.0,2981.75439453125,10.0,,,,,
2024-06-21,2849.122802734375,2937.5439453125,2809.824462890625,2898.24560546875,5.0,,,,,
2024-06-24,2873.684326171875,2932.631591796875,2829.4736328125,2854.03515625,5.0,,,,,
2024-06-25,2844.21044921875,2937.5439453125,2829.4736328125,2898.24560546875,6.0,,,,,
2024-06-26,2868.77197265625,2947.368408203125,2849.122802734375,2898.24560546875,27.0,,,,,
2024-06-27,2893.333251953125,2947.368408203125,2868.77197265625,2922.80712890625,6.0,,,,,
2024-06-28,2849.122802734375,2947.368408203125,2824.5615234375,2873.684326171875,16.0,,,,,
2024-07-01,2893.333251953125,2942.4560546875,2849.122802734375,2898.24560546875,5.0,,,,,
2024-07-02,2809.824462890625,2893.333251953125,2809.824462890625,2849.122802734375,7.0,,,,,
2024-07-03,2809.824462890625,2932.631591796875,2809.824462890625,2927.71923828125,1.0,,,,,
2024-07-05,2824.5615234375,2947.368408203125,2809.824462890625,2858.947265625,4.0,,,,,
2024-07-08,2760.70166015625,2922.80712890625,2755.78955078125,2824.5615234375,27.0,,,,,
2024-07-09,2755.78955078125,2834.385986328125,2750.877197265625,2829.4736328125,13.0,,,,,
2024-07-10,2662.4560546875,2775.4384765625,2652.631591796875,2750.877197265625,13.0,,,,,
2024-07-11,2578.947265625,2755.78955078125,2569.122802734375,2711.578857421875,12.0,,,,,
2024-07-12,2475.78955078125,2696.842041015625,2357.894775390625,2696.842041015625,33.0,,,,,
2024-07-15,2470.877197265625,2623.157958984375,2456.140380859375,2623.157958984375,11.0,,,,,
2024-07-16,2564.21044921875,2652.631591796875,2456.140380859375,2569.122802734375,24.0,,,,,
2024-07-17,2539.649169921875,2603.5087890625,2490.5263671875,2564.21044921875,19.0,,,,,
2024-07-18,2475.78955078125,2593.684326171875,2456.140380859375,2529.824462890625,20.0,,,,,
2024-07-19,2456.140380859375,2539.649169921875,2431.578857421875,2456.140380859375,6.0,,,,,
2024-07-22,2289.122802734375,2583.859619140625,2284.21044921875,2441.403564453125,20.0,,,,,
2024-07-23,2127.017578125,2451.22802734375,2117.19287109375,2357.894775390625,32.0,,,,,
2024-07-24,2210.5263671875,2323.5087890625,2127.017578125,2146.666748046875,12.0,,,,,
2024-07-25,2181.052734375,2313.684326171875,2161.403564453125,2254.73681640625,5.0,,,,,
2024-07-26,2176.140380859375,2318.596435546875,2166.315673828125,2166.315673828125,17.0,,,,,
2024-07-29,2259.649169921875,2313.684326171875,2215.4384765625,2308.77197265625,10.0,,,,,
2024-07-30,2166.315673828125,2298.947265625,2161.403564453125,2161.403564453125,9.0,,,,,
2024-07-31,2294.03515625,2294.03515625,2210.5263671875,2210.5263671875,6.0,,,,,
2024-08-01,2161.403564453125,2284.21044921875,2161.403564453125,2210.5263671875,14.0,,,,,
2024-08-02,1925.614013671875,2210.5263671875,1891.22802734375,2161.403564453125,50.0,,,,,
2024-08-05,1640.7017822265625,1851.9298095703125,1571.9298095703125,1788.0701904296875,20.0,,,,,
2024-08-06,1768.4210205078125,1837.1929931640625,1665.26318359375,1670.1754150390625,6.0,,,,,
2024-08-07,1738.9473876953125,1891.22802734375,1684.9122314453125,1743.859619140625,3.0,,,,,
2024-08-08,1675.0877685546875,1842.105224609375,1670.1754150390625,1768.4210205078125,6.0,,,,,
2024-08-09,1625.9649658203125,1743.859619140625,1625.9649658203125,1675.0877685546875,4.0,,,,,
2024-08-12,1630.877197265625,1689.8245849609375,1625.9649658203125,1689.8245849609375,4.0,,,,,
2024-08-13,1640.7017822265625,1719.2982177734375,1625.9649658203125,1709.4736328125,5.0,,,,,
2024-08-14,1532.631591796875,1699.649169921875,1493.3333740234375,1699.649169921875,13.0,,,,,
2024-08-15,1473.6842041015625,1591.5789794921875,1380.350830078125,1483.5087890625,18.0,,,,,
2024-08-16,1458.9473876953125,1532.631591796875,1458.9473876953125,1532.631591796875,8.0,,,,,
2024-08-19,1439.2982177734375,1473.6842041015625,1326.3157958984375,1424.5614013671875,120.0,,,,,
2024-08-20,1228.0701904296875,1473.6842041015625,1183.859619140625,1419.649169921875,108.0,,,,,
2024-08-21,1129.8245849609375,1272.28076171875,1070.877197265625,1193.6842041015625,76.0,,,,,
