Date,Close,High,Low,Open,Volume,"('Close', 'OXY')","('High', 'OXY')","('Low', 'OXY')","('Open', 'OXY')","('Volume', 'OXY')"
2024-06-03,58.87126159667969,60.49442692838428,58.50191798762002,60.47498740078,7562900.0,,,,,
2024-06-04,58.21032333374024,58.32695677331117,57.34528488381129,58.32695677331117,6910100.0,,,,,
2024-06-05,58.1617317199707,58.46303881656493,57.78267022575539,58.46303881656493,4903000.0,,,,,
2024-06-06,58.39500045776367,58.4241578924738,57.85070486100864,58.0742538451106,5026800.0,,,,,
2024-06-07,57.81182861328125,58.5796732313763,57.66603772494979,58.13257524148953,6964200.0,,,,,
2024-06-10,59.00200653076172,59.06054160757333,58.28009252412571,58.54349106609103,7812600.0,,,,,
2024-06-11,59.12883377075195,59.24590020903986,58.49471676386538,58.914208865994965,4899100.0,,,,,
2024-06-12,58.82640838623047,59.762947339930605,58.54349441433928,59.60685751431392,7426100.0,,,,,
2024-06-13,58.338626861572266,58.91420878781357,57.928892467370815,58.83616573621685,9185100.0,,,,,
2024-06-14,58.37764739990234,58.40691307763889,57.68499906932232,58.38740138532293,8611100.0,,,,,
2024-06-17,58.72885513305664,58.90445665652177,58.0264490391961,58.41667547389086,7717200.0,,,,,
2024-06-18,59.762943267822266,60.09463458984144,59.34345491375881,59.53856439137912,10427100.0,,,,,
2024-06-20,60.91410827636719,61.42140111564709,59.9385459827077,60.40681543708728,11219700.0,,,,,
2024-06-21,59.43125534057617,61.23604788345352,59.23614585181101,61.15800111076749,21275100.0,,,,,
2024-06-24,61.70431518554688,62.09454159230627,59.83123736464135,59.88001473511757,10315100.0,,,,,
2024-06-25,61.55797958374024,61.66529203207567,61.021421063537865,61.538471612656366,5971400.0,,,,,
2024-06-26,61.33359909057617,61.5384699963241,60.59217340019354,61.46042322813923,5259300.0,,,,,
2024-06-27,61.15800094604492,61.850653026605485,60.93362205738936,61.76285226830766,4730900.0,,,,,
2024-06-28,61.48969268798828,61.87991910996783,61.23604811873405,61.65554021984583,8397000.0,,,,,
2024-07-01,61.34336471557617,62.026259139443326,60.9921616563602,61.714075747881736,5321600.0,,,,,
2024-07-02,60.83607482910156,61.96772711948328,60.30927021423195,61.88968033736538,6663000.0,,,,,
2024-07-03,60.79704284667969,61.0116677456994,60.3580390629916,60.80680055380324,4119000.0,,,,,
