Date,Close,High,Low,Open,Volume,"('Close', 'BUD')","('High', 'BUD')","('Low', 'BUD')","('Open', 'BUD')","('Volume', 'BUD')"
2024-06-03,61.58168411254883,62.1223046784528,61.51287806323278,61.93554218775343,1208500.0,,,,,
2024-06-04,61.07054901123047,61.20816110587206,60.746174431305285,61.18850169954492,1266800.0,,,,,
2024-06-05,61.01156997680664,61.326112974540095,60.85429847793991,61.20816028780212,701200.0,,,,,
2024-06-06,62.23042678833008,62.46633216136276,61.837246167077886,61.876564979132766,937300.0,,,,,
2024-06-07,61.15901565551758,61.67997680955943,61.09020960685727,61.55219254076954,823300.0,,,,,
2024-06-10,60.549583435058594,60.66753987169159,60.17606596799907,60.56924284116409,928900.0,,,,,
2024-06-11,60.01879501342773,60.03845441971163,59.41919624553824,59.615786558728814,857800.0,,,,,
2024-06-12,60.42180252075195,61.139353965445714,60.42180252075195,60.78549215718067,1322100.0,,,,,
2024-06-13,59.41919708251953,59.99913645229419,59.08499467028247,59.99913645229419,1851400.0,,,,,
2024-06-14,58.47556686401367,58.50505409842483,57.915283162663385,58.28880438034746,1591100.0,,,,,
2024-06-17,58.68198776245117,58.83925926945022,58.38710415553403,58.47556961257402,876600.0,,,,,
2024-06-18,58.131534576416016,58.50505580499558,58.11187516968568,58.29863765879968,1046100.0,,,,,
2024-06-20,58.22983169555664,58.44607767061097,57.95460375057627,58.02340979940925,924500.0,,,,,
2024-06-21,58.05289840698242,58.20033832716579,57.59091174118164,57.86613592524256,1461600.0,,,,,
2024-06-24,59.73374176025391,59.91067267460547,59.5076642029488,59.57647025301346,1688600.0,,,,,
2024-06-25,59.13414001464844,59.24226487353681,58.62300670422505,58.68198492261371,2747500.0,,,,,
2024-06-26,58.46573638916016,58.52471460874352,58.01358128796625,58.161021212452056,1829100.0,,,,,
2024-06-27,58.05289840698242,58.50505349498201,57.82682086298263,58.31829476289042,1283500.0,,,,,
