Date,Close,High,Low,Open,Volume,"('Close', 'TGL')","('High', 'TGL')","('Low', 'TGL')","('Open', 'TGL')","('Volume', 'TGL')"
2024-06-03,190.8000030517578,211.5,187.5,206.5,788.0,,,,,
2024-06-04,197.0,215.0,185.0,190.0,1532.0,,,,,
2024-06-05,193.0,210.0,181.0,199.5,986.0,,,,,
2024-06-06,185.5,190.0,182.5,190.0,702.0,,,,,
2024-06-07,189.5,195.0,176.0,186.5,650.0,,,,,
2024-06-10,187.0,194.8000030517578,181.5,189.5,98.0,,,,,
2024-06-11,190.5,196.5,171.5,183.0,7538.0,,,,,
2024-06-12,179.0,203.5,173.0,191.3500061035156,2140.0,,,,,
2024-06-13,172.5,185.0,171.5,175.5,962.0,,,,,
2024-06-14,167.5,174.0,164.5,173.75,336.0,,,,,
2024-06-17,151.5,170.0,150.0,165.5,1154.0,,,,,
2024-06-18,142.0,160.0,130.0,155.0,3270.0,,,,,
2024-06-20,142.75,149.0,136.25,148.5,332.0,,,,,
2024-06-21,144.0,145.5,136.5,140.5,186.0,,,,,
2024-06-24,139.0,147.0,136.0,146.0,304.0,,,,,
2024-06-25,141.5,145.5,136.0,142.5,164.0,,,,,
2024-06-26,140.75,141.0,138.5,141.0,54.0,,,,,
2024-06-27,140.5,141.0,137.5,141.0,110.0,,,,,
2024-06-28,142.0,147.0,137.5,138.0,724.0,,,,,
2024-07-01,141.0,143.89999389648438,137.0,138.5,150.0,,,,,
2024-07-02,137.5,140.0,136.0,136.5,100.0,,,,,
2024-07-03,138.0,139.5,136.0,139.25,32.0,,,,,
2024-07-05,140.0,140.0,136.5,136.5,88.0,,,,,
2024-07-08,132.5,145.0,131.5,144.0,2184.0,,,,,
2024-07-09,132.5,139.5,132.0,139.5,226.0,,,,,
2024-07-10,125.5,134.5,121.5,134.5,362.0,,,,,
2024-07-11,123.0,124.4499969482422,120.5,123.0,288.0,,,,,
2024-07-12,122.0,129.0,120.0,123.0,402.0,,,,,
2024-07-15,107.0,121.5,105.4000015258789,121.5,4004.0,,,,,
2024-07-16,100.0,110.5,95.5,107.5,2534.0,,,,,
2024-07-17,98.5,101.0,89.5,100.0,8592.0,,,,,
2024-07-18,89.0,99.0,88.0,95.0500030517578,4938.0,,,,,
2024-07-19,84.0,96.5,71.25,89.5,5220.0,,,,,
2024-07-22,84.0,86.5,77.0,86.0,1550.0,,,,,
2024-07-23,84.5,85.0,77.5,81.5,998.0,,,,,
2024-07-24,94.0,98.0,82.5,85.0,4304.0,,,,,
2024-07-25,89.5,96.5,87.0,95.0,1376.0,,,,,
2024-07-26,92.5,92.5,87.3499984741211,88.0,2472.0,,,,,
2024-07-29,71.0,82.0,70.0,82.0,1616.0,,,,,
2024-07-30,67.5,74.5,66.0,71.5,942.0,,,,,
