Date,Close,High,Low,Open,Volume,"('Close', 'TXN')","('High', 'TXN')","('Low', 'TXN')","('Open', 'TXN')","('Volume', 'TXN')"
2024-06-03,186.8484344482422,189.65521549861148,184.90008304668464,189.4044287066326,4153500.0,,,,,
2024-06-04,186.4433441162109,187.53325120877903,185.2473235925792,186.4529841019733,7221600.0,,,,,
2024-06-05,189.12474060058597,189.25977399514045,186.67483009112195,187.870850669702,5988600.0,,,,,
2024-06-06,189.279052734375,189.66485819557963,187.62006275963208,189.0282659388105,3905500.0,,,,,
2024-06-07,188.67140197753903,190.38826136182595,187.87084163491656,188.9993381031814,3308400.0,,,,,
2024-06-10,190.61009216308597,190.78371492316236,187.11850416609272,187.29211220863417,4202400.0,,,,,
2024-06-11,190.43649291992188,190.82229839953064,187.58148233119596,190.15677143730025,4193200.0,,,,,
2024-06-12,191.9218597412109,194.1499180232607,190.36896840561025,192.3944839624931,4655700.0,,,,,
2024-06-13,189.3176422119141,190.4364987415326,187.94801358463732,188.08304697838196,3409900.0,,,,,
2024-06-14,187.02203369140625,188.69067826673455,186.22148814438296,186.96416434752837,3479100.0,,,,,
2024-06-17,187.9865875244141,188.2663090145119,185.35342899774489,186.3179574400816,3804900.0,,,,,
2024-06-18,189.28872680664065,189.8095657448124,187.34037502637003,188.31455827527407,3036900.0,,,,,
2024-06-20,185.9224853515625,187.60077003216807,185.363057124694,187.60077003216807,5464900.0,,,,,
2024-06-21,188.5942230224609,190.47505032080815,186.84842910149416,188.07338420043183,12516800.0,,,,,
2024-06-24,187.03170776367188,189.58770216655185,186.4915742081603,188.64246844440655,3655700.0,,,,,
2024-06-25,187.5718536376953,188.0251831981719,185.98038754157892,188.0251831981719,3456400.0,,,,,
2024-06-26,186.25042724609372,188.07338520927564,185.36304822708007,186.93523412164865,3301000.0,,,,,
2024-06-27,186.56874084472656,187.02207041750407,184.99656939635275,185.83570448243424,3874500.0,,,,,
2024-06-28,187.62973022460935,190.87054661298575,186.63626703485008,187.26320468051048,8861000.0,,,,,
2024-07-01,187.6972198486328,188.06373060795204,185.90319655711227,186.76162618642653,2873600.0,,,,,
2024-07-02,191.38172912597656,191.98938674588948,187.5525500852456,188.0734036787526,4168700.0,,,,,
2024-07-03,191.88327026367188,192.49092782732225,189.1440133110044,191.102004663284,2454800.0,,,,,
2024-07-05,191.73858642578125,193.05034558556787,190.2435792401164,192.905672218418,2887900.0,,,,,
2024-07-08,194.32354736328125,194.55503948883705,192.32696641389455,192.91532935517156,3927100.0,,,,,
2024-07-09,193.05999755859372,195.2205316376685,192.0183051772393,195.2205316376685,3742300.0,,,,,
2024-07-10,196.39727783203125,196.5516059158884,193.870218008399,194.16921947241212,4559500.0,,,,,
2024-07-11,192.8960418701172,196.76379549301512,192.78994315639503,196.58053274044636,5585400.0,,,,,
2024-07-12,194.7093505859375,198.00803606960176,194.1692170168045,194.9504826948387,3683800.0,,,,,
2024-07-15,194.60325622558597,195.8764408535023,193.7062518248109,194.69971495832004,3089500.0,,,,,
2024-07-16,199.29086303710935,199.4355511347011,195.40381457256436,196.26224430181168,3134400.0,,,,,
2024-07-17,197.0145568847656,203.36115523935823,196.79271948358533,197.8633465484603,7792500.0,,,,,
2024-07-18,198.5674591064453,199.6573809196276,196.0693340561329,197.5643560355116,5497200.0,,,,,
2024-07-19,192.03762817382807,198.83754225174263,191.6903973288572,198.07557122064523,4868000.0,,,,,
2024-07-22,198.5771026611328,198.69284135425232,193.8798395590577,195.89571500860927,6063800.0,,,,,
2024-07-23,191.2563323974609,195.77997300591127,190.43649207753492,193.47475068923728,6083300.0,,,,,
2024-07-24,191.24668884277344,199.22334278447644,189.92528965220495,199.0400800347553,11049100.0,,,,,
2024-07-25,190.15676879882807,194.57431065147136,187.2342489146124,191.2466906040266,9555400.0,,,,,
2024-07-26,194.8251037597656,197.13032612924465,192.01832248349623,193.35901641859016,5384800.0,,,,,
2024-07-29,194.718994140625,196.8891829964789,193.63871234667607,196.0596880006511,3392000.0,,,,,
2024-07-30,193.86056518554688,197.2364145293218,192.625970031512,196.38762484184716,6062600.0,,,,,
2024-07-31,197.86029052734372,198.49132434240897,193.66640948431,198.49132434240897,7462400.0,,,,,
2024-08-01,187.68621826171875,198.1612248088832,185.38540919623097,195.86041574339535,7958500.0,,,,,
2024-08-02,181.9875946044922,184.08452770923628,180.63817266720423,182.03612313258435,8050200.0,,,,,
2024-08-05,175.900634765625,183.23023524794783,174.81333497317982,179.22079504328323,8659900.0,,,,,
2024-08-06,181.49246215820312,184.76409356028336,177.26945835150266,178.16259948864402,6210900.0,,,,,
2024-08-07,178.69656372070312,185.9290774459603,178.35677513217252,184.68644489135752,5013000.0,,,,,
