Date,Close,High,Low,Open,Volume,"('Close', 'AG')","('High', 'AG')","('Low', 'AG')","('Open', 'AG')","('Volume', 'AG')"
2024-06-03,7.063879013061523,7.193399703049042,7.014063034164519,7.133620813420868,3844100.0,,,,,
2024-06-04,6.625500202178955,6.934358044901712,6.595610518975929,6.894505450684608,8225800.0,,,,,
2024-06-05,6.68527889251709,6.735094871330992,6.486015927422248,6.675315506722156,6902300.0,,,,,
2024-06-06,6.824763774871826,6.914432357304854,6.655389996978526,6.715168893573731,6791400.0,,,,,
2024-06-07,6.306679248809815,6.545795299636378,6.246900354873278,6.525869001657533,8696500.0,,,,,
2024-06-10,6.346531867980957,6.37642155259876,6.117379202845863,6.37642155259876,5804800.0,,,,,
2024-06-11,6.316642284393311,6.356494878136832,6.13730513746707,6.256863393778028,5318800.0,,,,,
2024-06-12,6.1671953201293945,6.635463572106328,6.087490126182719,6.575684676646321,8443700.0,,,,,
2024-06-13,6.067563533782959,6.246900211475901,5.938042362353409,6.127342426347273,5162800.0,,,,,
2024-06-14,6.087490081787109,6.147268976811153,5.977895203369483,6.137305590100266,4484600.0,,,,,
2024-06-17,6.017747402191162,6.117378887310805,5.938042214095448,6.067563382291182,3804600.0,,,,,
2024-06-18,6.127342700958252,6.207047894616175,5.957968926894949,6.0376741205528734,3701800.0,,,,,
2024-06-20,6.366457939147949,6.376421325358954,6.14726866839029,6.217010471545708,6383000.0,,,,,
2024-06-21,6.127342700958252,6.326605685103061,6.077526717381835,6.316642773436035,6541800.0,,,,,
2024-06-24,6.057600498199463,6.236937661355912,6.057600498199463,6.1671953784528,3188700.0,,,,,
2024-06-25,5.918116092681885,6.027710967105737,5.888226408718867,6.027710967105737,3580000.0,,,,,
2024-06-26,5.918116092681885,5.9579686879123015,5.808521218258032,5.868300111103658,2991100.0,,,,,
2024-06-27,5.928079605102539,6.0576007902760525,5.918116692824823,5.997821891368383,2787000.0,,,,,
2024-06-28,5.898189544677734,6.067563304756987,5.808520971675686,6.037673622062841,3173500.0,,,,,
2024-07-01,5.738779067993164,5.987858010699526,5.738779067993164,5.90815234996597,2782200.0,,,,,
2024-07-02,5.828447818756104,5.918116400224491,5.708890026851876,5.798558608320263,4804000.0,,,,,
