Date,Close,High,Low,Open,Volume,"('Close', 'PAYX')","('High', 'PAYX')","('Low', 'PAYX')","('Open', 'PAYX')","('Volume', 'PAYX')"
2024-06-03,115.91770935058594,116.06242706226428,114.53808090579636,115.9080595403011,1978400.0,,,,,
2024-06-04,117.28768157958984,117.953378600565,115.10728829515458,115.55108385558864,1266000.0,,,,,
2024-06-05,117.355224609375,117.69289437055156,115.8694702995494,117.42275856161032,1166400.0,,,,,
2024-06-06,117.5385284423828,118.48400372731712,117.21050114714656,117.567470511829,1177300.0,,,,,
2024-06-07,118.26211547851562,119.78646167046614,117.02720471665909,117.02720471665909,1975900.0,,,,,
2024-06-10,117.64466857910156,118.1656479744411,116.49658394711356,117.81832837754808,2717800.0,,,,,
2024-06-11,119.56455993652344,119.75751198240692,117.33593215577962,117.51923439117432,2435600.0,,,,,
2024-06-12,118.49365997314452,120.12413200655404,118.3682418785164,119.873288456649,1889300.0,,,,,
2024-06-13,118.34893798828124,118.52259776877445,116.97895936475074,117.81831619724262,1528200.0,,,,,
2024-06-14,117.69290161132812,118.522608710207,117.1815720328526,118.28141495729218,1144900.0,,,,,
2024-06-17,120.31708526611328,120.49074505462065,116.544818972216,117.23945076559652,1478000.0,,,,,
2024-06-18,121.0406723022461,121.13714833145973,119.66104373860844,120.52934272282955,1181600.0,,,,,
2024-06-20,120.67405700683594,121.75460028026356,120.44250571054516,120.87665887060362,2256800.0,,,,,
2024-06-21,121.52305603027344,121.74495751514918,120.75124045991431,121.18538625820077,2828800.0,,,,,
2024-06-24,121.63883209228516,123.25000455355274,121.16608704912478,121.7739000015741,1735900.0,,,,,
2024-06-25,120.62580871582033,122.0247367852976,120.374965172216,121.68705967017124,2485100.0,,,,,
2024-06-26,113.2549285888672,120.59686640442015,113.1777448278127,120.59686640442015,5176200.0,,,,,
2024-06-27,113.68907928466795,114.02675641373548,111.47010126316786,113.08127370151446,2609900.0,,,,,
2024-06-28,114.38371276855467,115.60898104543884,113.38034596313685,113.428587653653,6556900.0,,,,,
2024-07-01,112.87866973876952,115.9080625087188,112.2612143564008,114.7792775778868,1727800.0,,,,,
2024-07-02,114.2100601196289,114.2583018131576,112.13579978957787,112.65677180431275,1717800.0,,,,,
2024-07-03,113.29352569580078,114.21005897849604,113.2452840027541,114.03639918843652,1072400.0,,,,,
2024-07-05,113.39964294433594,113.5829525312527,112.2322661953704,113.5829525312527,1585800.0,,,,,
2024-07-08,112.07791137695312,113.84345141546058,111.69199990002512,113.3417716479086,1601500.0,,,,,
2024-07-09,112.89795684814452,113.09091624673634,111.72093763965243,111.9235394876875,1802100.0,,,,,
2024-07-10,112.84972381591795,112.95584964620102,111.33502748264452,112.95584964620102,2368100.0,,,,,
2024-07-11,112.93656158447266,114.34513223162551,112.4638238852414,112.72430990218332,1609300.0,,,,,
2024-07-12,114.13287353515624,114.66349531339948,113.29351672290458,113.66977834479194,1453500.0,,,,,
2024-07-15,117.34556579589844,117.56746725658904,114.40300683351992,114.40300683351992,1979700.0,,,,,
2024-07-16,119.90222930908205,119.931171379806,117.21050632202132,117.25874801366044,1791500.0,,,,,
2024-07-17,122.34310913085938,122.44923496427786,120.18201530248498,120.19166511297269,3488800.0,,,,,
2024-07-18,119.86363983154295,123.66484819604214,119.43914385133094,121.12750004347453,2757400.0,,,,,
2024-07-19,118.3585968017578,120.49074865960483,118.00162740341004,120.09519473878886,1822200.0,,,,,
2024-07-22,118.64802551269533,119.28477314637809,117.05614538751536,118.73485172429578,1586000.0,,,,,
2024-07-23,119.3523178100586,119.85400494649586,117.82797149952512,118.0691652564836,1809400.0,,,,,
2024-07-24,118.89886474609376,119.71892199504492,118.35859312055396,119.63209578121838,2784300.0,,,,,
2024-07-25,119.61280059814452,122.91232913461636,119.4101913828685,119.72856888041808,1829000.0,,,,,
2024-07-26,121.32044982910156,121.7449531620424,119.88293721616384,120.06623945122116,1371600.0,,,,,
2024-07-29,122.30451965332033,122.6325469705105,120.82841512758668,121.5712959761166,971600.0,,,,,
2024-07-30,123.41400909423828,123.89639656633332,122.59395186380644,122.70007769651926,1657900.0,,,,,
