Date,Close,High,Low,Open,Volume,"('Close', 'ZYXI')","('High', 'ZYXI')","('Low', 'ZYXI')","('Open', 'ZYXI')","('Volume', 'ZYXI')"
2024-06-03,9.850000381469728,10.140000343322754,9.84000015258789,10.140000343322754,200900.0,,,,,
2024-06-04,9.350000381469728,10.270000457763672,9.279999732971191,9.869999885559082,449000.0,,,,,
2024-06-05,9.640000343322754,9.710000038146973,9.25,9.34000015258789,184700.0,,,,,
2024-06-06,9.640000343322754,9.68000030517578,9.550000190734863,9.640000343322754,85400.0,,,,,
2024-06-07,9.59000015258789,9.720000267028809,9.550000190734863,9.579999923706056,71700.0,,,,,
2024-06-10,9.470000267028809,9.529999732971191,9.210000038146973,9.529999732971191,131300.0,,,,,
2024-06-11,9.260000228881836,9.510000228881836,9.170000076293944,9.510000228881836,106200.0,,,,,
2024-06-12,9.600000381469728,9.640000343322754,9.399999618530272,9.449999809265137,125600.0,,,,,
2024-06-13,9.130000114440918,9.56999969482422,9.079999923706056,9.529999732971191,127600.0,,,,,
2024-06-14,8.989999771118164,9.18000030517578,8.850000381469727,9.18000030517578,145100.0,,,,,
2024-06-17,9.109999656677246,9.109999656677246,8.890000343322754,8.979999542236328,97000.0,,,,,
2024-06-18,9.140000343322754,9.399999618530272,9.079999923706056,9.079999923706056,123900.0,,,,,
2024-06-20,9.18000030517578,9.220000267028809,9.050000190734863,9.119999885559082,108700.0,,,,,
2024-06-21,9.0,9.220000267028809,8.989999771118164,9.1899995803833,191900.0,,,,,
2024-06-24,8.739999771118164,9.029999732971191,8.569999694824219,9.020000457763672,162500.0,,,,,
2024-06-25,8.630000114440918,8.8100004196167,8.609999656677246,8.710000038146973,86400.0,,,,,
2024-06-26,8.930000305175781,8.9399995803833,8.520000457763672,8.600000381469727,132800.0,,,,,
2024-06-27,9.029999732971191,9.029999732971191,8.779999732971191,8.920000076293945,110200.0,,,,,
2024-06-28,9.31999969482422,9.369999885559082,8.899999618530273,9.029999732971191,339700.0,,,,,
