Date,Close,High,Low,Open,Volume,"('Close', 'OSS')","('High', 'OSS')","('Low', 'OSS')","('Open', 'OSS')","('Volume', 'OSS')"
2024-06-03,2.1700000762939453,2.220000028610229,2.0,2.200000047683716,64100.0,,,,,
2024-06-04,2.0199999809265137,2.130000114440918,2.009999990463257,2.109999895095825,41800.0,,,,,
2024-06-05,2.180000066757202,2.200000047683716,2.009999990463257,2.049999952316284,39500.0,,,,,
2024-06-06,2.109999895095825,2.180000066757202,2.109999895095825,2.180000066757202,31700.0,,,,,
2024-06-07,2.0799999237060547,2.200000047683716,2.0420000553131104,2.0999999046325684,73200.0,,,,,
2024-06-10,2.5299999713897705,2.700999975204468,2.2049999237060547,2.2100000381469727,419700.0,,,,,
2024-06-11,2.5,2.680000066757202,2.4159998893737797,2.539999961853028,104400.0,,,,,
2024-06-12,2.549999952316284,2.630000114440918,2.4600000381469727,2.5,74300.0,,,,,
2024-06-13,2.5199999809265137,2.621000051498413,2.4800000190734863,2.5899999141693115,63700.0,,,,,
2024-06-14,2.470000028610229,2.5299999713897705,2.3499999046325684,2.5299999713897705,61600.0,,,,,
2024-06-17,2.630000114440918,2.7300000190734863,2.5,2.569999933242798,160500.0,,,,,
2024-06-18,2.630000114440918,2.880000114440918,2.5899999141693115,2.700000047683716,189100.0,,,,,
2024-06-20,2.6700000762939453,2.869999885559082,2.640000104904175,2.650000095367432,148700.0,,,,,
2024-06-21,2.559999942779541,2.809999942779541,2.5199999809265137,2.75,103100.0,,,,,
2024-06-24,2.4600000381469727,2.5999999046325684,2.450000047683716,2.5299999713897705,68000.0,,,,,
2024-06-25,2.3499999046325684,2.5,2.3399999141693115,2.4600000381469727,51200.0,,,,,
2024-06-26,2.359999895095825,2.359999895095825,2.2100000381469727,2.3499999046325684,85100.0,,,,,
2024-06-27,2.299999952316284,2.380000114440918,2.2279999256134038,2.380000114440918,35600.0,,,,,
2024-06-28,2.4100000858306885,2.509999990463257,2.299999952316284,2.309999942779541,41000.0,,,,,
2024-07-01,2.2300000190734863,2.438999891281128,2.200000047683716,2.400000095367432,55400.0,,,,,
2024-07-02,2.200000047683716,2.497999906539917,2.200000047683716,2.25,67700.0,,,,,
2024-07-03,2.190000057220459,2.2799999713897705,2.1600000858306885,2.180000066757202,79600.0,,,,,
2024-07-05,2.2300000190734863,2.259999990463257,2.180000066757202,2.240000009536743,33000.0,,,,,
2024-07-08,2.2100000381469727,2.289999961853028,2.2100000381469727,2.2300000190734863,35600.0,,,,,
2024-07-09,2.2100000381469727,2.263999938964844,2.180000066757202,2.200000047683716,32400.0,,,,,
2024-07-10,2.25,2.380000114440918,2.2100000381469727,2.2300000190734863,59000.0,,,,,
