Date,Close,High,Low,Open,Volume,"('Close', 'TLRY')","('High', 'TLRY')","('Low', 'TLRY')","('Open', 'TLRY')","('Volume', 'TLRY')"
2024-06-03,1.7999999523162842,1.840000033378601,1.7799999713897705,1.8200000524520876,13333200.0,,,,,
2024-06-04,1.7799999713897705,1.7999999523162842,1.75,1.7899999618530271,13206100.0,,,,,
2024-06-05,1.7899999618530271,1.7899999618530271,1.75,1.7899999618530271,10615300.0,,,,,
2024-06-06,1.7899999618530271,1.809999942779541,1.7400000095367432,1.7799999713897705,16810500.0,,,,,
2024-06-07,1.7699999809265137,1.809999942779541,1.7599999904632568,1.7999999523162842,10680800.0,,,,,
2024-06-10,1.7799999713897705,1.7899999618530271,1.7400000095367432,1.7799999713897705,13190100.0,,,,,
2024-06-11,1.75,1.7799999713897705,1.7300000190734863,1.7699999809265137,12489000.0,,,,,
2024-06-12,1.7699999809265137,1.8200000524520876,1.7599999904632568,1.7699999809265137,19011400.0,,,,,
2024-06-13,1.75,1.7899999618530271,1.7400000095367432,1.7599999904632568,10381300.0,,,,,
2024-06-14,1.7000000476837158,1.75,1.6799999475479126,1.7400000095367432,16564500.0,,,,,
2024-06-17,1.690000057220459,1.7200000286102295,1.6799999475479126,1.7100000381469729,10500700.0,,,,,
2024-06-18,1.690000057220459,1.7200000286102295,1.6799999475479126,1.690000057220459,7615100.0,,,,,
2024-06-20,1.690000057220459,1.7200000286102295,1.6799999475479126,1.690000057220459,9970100.0,,,,,
2024-06-21,1.659999966621399,1.690000057220459,1.649999976158142,1.6799999475479126,10943100.0,,,,,
2024-06-24,1.659999966621399,1.7100000381469729,1.649999976158142,1.659999966621399,10166000.0,,,,,
2024-06-25,1.6200000047683716,1.6699999570846558,1.6100000143051147,1.659999966621399,13037200.0,,,,,
2024-06-26,1.690000057220459,1.690000057220459,1.6100000143051147,1.6299999952316284,12497300.0,,,,,
2024-06-27,1.7300000190734863,1.7400000095367432,1.649999976158142,1.659999966621399,13865000.0,,,,,
2024-06-28,1.659999966621399,1.7300000190734863,1.659999966621399,1.7200000286102295,11705600.0,,,,,
2024-07-01,1.6799999475479126,1.7300000190734863,1.659999966621399,1.6699999570846558,10543700.0,,,,,
2024-07-02,1.649999976158142,1.6799999475479126,1.649999976158142,1.6699999570846558,8028000.0,,,,,
2024-07-03,1.7300000190734863,1.7899999618530271,1.649999976158142,1.659999966621399,16945400.0,,,,,
