Date,Close,High,Low,Open,Volume,"('Close', 'BGL')","('High', 'BGL')","('Low', 'BGL')","('Open', 'BGL')","('Volume', 'BGL')"
2025-06-26,20.11000061035156,30.0,17.0,20.0,32100.0,,,,,
2025-06-27,62.5,114.98999786376952,50.0,77.6500015258789,391600.0,,,,,
2025-06-30,41.43000030517578,52.540000915527344,36.0,44.09999847412109,72300.0,,,,,
2025-07-01,71.94999694824219,75.0,39.869998931884766,44.29999923706055,324300.0,,,,,
2025-07-02,133.0,166.5,72.0999984741211,72.0999984741211,439800.0,,,,,
2025-07-03,107.63999938964844,161.0,95.0,123.04000091552734,183400.0,,,,,
2025-07-07,74.66999816894531,75.01000213623047,40.130001068115234,73.37999725341797,411200.0,,,,,
2025-07-08,54.400001525878906,66.01000213623047,49.02999877929688,66.01000213623047,168600.0,,,,,
2025-07-09,37.290000915527344,48.0,32.0,48.0,493200.0,,,,,
2025-07-10,30.88999938964844,37.5,29.0,37.5,323300.0,,,,,
2025-07-11,21.43000030517578,30.0,20.61000061035156,30.0,374000.0,,,,,
2025-07-14,27.850000381469727,33.810001373291016,18.143999099731445,18.5,1125200.0,,,,,
2025-07-15,20.489999771118164,28.51000022888184,19.5,28.51000022888184,629500.0,,,,,
2025-07-16,19.290000915527344,20.75,18.56999969482422,20.68000030517578,327400.0,,,,,
2025-07-17,19.0,20.739999771118164,18.489999771118164,19.700000762939453,351500.0,,,,,
2025-07-18,16.639999389648438,19.299999237060547,16.350000381469727,18.68000030517578,264500.0,,,,,
2025-07-21,15.149999618530272,17.0,14.5,16.600000381469727,266200.0,,,,,
2025-07-22,19.82999992370605,20.46999931335449,14.5600004196167,14.899999618530272,503800.0,,,,,
2025-07-23,19.18000030517578,20.75,17.020000457763672,19.75,253600.0,,,,,
2025-07-24,18.530000686645508,21.57999992370605,18.0,19.520000457763672,263900.0,,,,,
2025-07-25,17.690000534057617,18.899999618530277,17.510000228881836,18.40999984741211,85500.0,,,,,
2025-07-28,14.75,18.209999084472656,14.6850004196167,17.25,312300.0,,,,,
2025-07-29,14.75,15.350000381469728,13.899999618530272,14.779999732971191,105500.0,,,,,
2025-07-30,13.260000228881836,15.0,13.010000228881836,14.4399995803833,108300.0,,,,,
2025-07-31,13.199999809265137,14.036999702453612,12.654999732971191,13.359999656677246,82900.0,,,,,
2025-08-01,12.350000381469728,13.489999771118164,12.149999618530272,13.010000228881836,106700.0,,,,,
