Date,Close,High,Low,Open,Volume,"('Close', 'SPRY')","('High', 'SPRY')","('Low', 'SPRY')","('Open', 'SPRY')","('Volume', 'SPRY')"
2024-06-03,9.039999961853027,9.25,8.770000457763672,9.0,531700.0,,,,,
2024-06-04,8.9399995803833,9.1899995803833,8.920000076293945,9.0,364700.0,,,,,
2024-06-05,9.109999656677246,9.1899995803833,8.850000381469727,8.960000038146973,371600.0,,,,,
2024-06-06,8.819999694824219,9.149999618530272,8.800000190734863,9.050000190734863,390700.0,,,,,
2024-06-07,8.8100004196167,8.899999618530273,8.680000305175781,8.739999771118164,308700.0,,,,,
2024-06-10,9.06999969482422,9.109999656677246,8.699999809265137,8.75,368900.0,,,,,
2024-06-11,8.970000267028809,9.020000457763672,8.84000015258789,8.989999771118164,315600.0,,,,,
2024-06-12,9.100000381469728,9.369999885559082,9.0,9.149999618530272,607400.0,,,,,
2024-06-13,8.9399995803833,9.229999542236328,8.800000190734863,9.100000381469728,331800.0,,,,,
2024-06-14,8.65999984741211,8.979999542236328,8.600000381469727,8.84000015258789,461300.0,,,,,
2024-06-17,8.40999984741211,8.640000343322754,8.350000381469727,8.569999694824219,388000.0,,,,,
2024-06-18,8.079999923706055,8.40999984741211,7.880000114440918,8.40999984741211,657500.0,,,,,
2024-06-20,7.730000019073486,8.0600004196167,7.579999923706055,8.0600004196167,641300.0,,,,,
2024-06-21,8.170000076293945,8.199999809265137,7.690000057220459,7.849999904632568,809500.0,,,,,
2024-06-24,8.239999771118164,8.579999923706055,8.119999885559082,8.239999771118164,369700.0,,,,,
2024-06-25,7.650000095367432,8.239999771118164,7.550000190734863,8.239999771118164,814700.0,,,,,
2024-06-26,8.079999923706055,8.109999656677246,7.659999847412109,7.690000057220459,481200.0,,,,,
2024-06-27,8.050000190734863,8.244999885559082,7.889999866485596,8.100000381469727,439200.0,,,,,
2024-06-28,8.510000228881836,8.65999984741211,8.020000457763672,8.329999923706055,4758200.0,,,,,
