Date,Close,High,Low,Open,Volume,"('Close', 'ZION')","('High', 'ZION')","('Low', 'ZION')","('Open', 'ZION')","('Volume', 'ZION')"
2024-06-03,40.33607864379883,41.78522369943224,40.000186034058565,41.6988507910769,1761600.0,,,,,
2024-06-04,39.47235107421875,40.12494553275092,39.28041088154082,39.75066050959935,1094800.0,,,,,
2024-06-05,39.29960250854492,39.88501840769387,39.21322961094992,39.88501840769387,1000800.0,,,,,
2024-06-06,39.38597869873047,39.85622833309508,39.25162166034058,39.41476844668409,1104800.0,,,,,
2024-06-07,39.86582565307617,39.90421442267729,38.94451714837669,38.94451714837669,1303500.0,,,,,
2024-06-10,39.61630630493164,39.75066335112413,38.81016036682176,39.5491277818354,1296200.0,,,,,
2024-06-11,39.05968475341797,39.15565302864585,38.55104264403611,39.021295978944806,1517900.0,,,,,
2024-06-12,40.71995162963867,40.979070307485486,40.1057460203518,40.249698400741664,2538200.0,,,,,
2024-06-13,39.67388916015625,40.71036040921285,39.66429379733981,40.69116968357997,1377800.0,,,,,
2024-06-14,39.10766220092773,39.49154255807934,38.65660333041776,38.95411079025797,957300.0,,,,,
2024-06-17,39.59710693359375,39.62590034054964,38.30151711016753,38.99250030183724,1736500.0,,,,,
2024-06-18,39.7314682006836,39.89461497833294,39.27081029224591,39.414766346252,2048000.0,,,,,
2024-06-20,39.51073455810547,39.635496227355326,39.04048494939793,39.635496227355326,1473600.0,,,,,
2024-06-21,39.5875129699707,39.61630271698885,38.89652975389847,39.45315593594657,2032500.0,,,,,
2024-06-24,40.73915100097656,41.19020624124069,39.597108874223416,39.82743783638642,1328400.0,,,,,
2024-06-25,40.29768753051758,40.796726858966906,39.77945015756521,40.53761183344505,1795600.0,,,,,
2024-06-26,40.16332626342773,40.19211966881056,39.760255197611,40.00017949706028,778800.0,,,,,
2024-06-27,40.364871978759766,40.42245147691957,39.741067235026165,40.14414202691915,875500.0,,,,,
2024-06-28,41.622066497802734,41.71803841428047,40.57599640439827,40.84471410958164,1867800.0,,,,,
2024-07-01,41.5740852355957,42.0539338681958,41.29577215005856,41.29577215005856,1065600.0,,,,,
2024-07-02,42.19789505004883,42.20749041304682,41.40134446588139,41.48771737668322,1203300.0,,,,,
2024-07-03,41.79481506347656,42.303457102218495,41.75642629433481,42.08272351013067,1178300.0,,,,,
2024-07-05,40.77754211425781,41.70844605663563,40.65278043337857,41.62207314848151,1945400.0,,,,,
2024-07-08,40.873512268066406,41.506912403390935,40.8063337431801,41.3629563295174,1264700.0,,,,,
2024-07-09,42.14030838012695,42.2074868983838,40.62398854681648,40.75834558333017,1350600.0,,,,,
2024-07-10,43.5318717956543,43.57985593031729,42.02514726931672,42.19789308286732,2407600.0,,,,,
2024-07-11,45.50884246826172,45.7295760604599,44.26123675816718,44.39559378927597,2309100.0,,,,,
