Date,Close,High,Low,Open,Volume,"('Close', 'PAGS')","('High', 'PAGS')","('Low', 'PAGS')","('Open', 'PAGS')","('Volume', 'PAGS')"
2024-06-03,11.926609992980955,12.10614033148012,11.800453713990542,11.87808820483447,3045500.0,,,,,
2024-06-04,11.519028663635254,11.841211899067826,11.388020110890526,11.75193214041956,4341600.0,,,,,
2024-06-05,11.528733253479004,11.790749434559174,11.45109876090146,11.67429769569286,5854000.0,,,,,
2024-06-06,11.713114738464355,11.737376095395888,11.485063536164768,11.596663001621408,3989800.0,,,,,
2024-06-07,11.713114738464355,11.90720189201207,11.519028510392776,11.52873305316539,2523500.0,,,,,
2024-06-10,11.557846069335938,11.596663316002571,11.431689786300328,11.5190288226693,1619800.0,,,,,
2024-06-11,11.29582977294922,11.493797451330083,11.227898897853576,11.460803301004685,2791900.0,,,,,
2024-06-12,11.344350814819336,11.819863246050696,11.29582995031563,11.771341456070822,3627700.0,,,,,
2024-06-13,11.198785781860352,11.55784552808098,10.956177770186189,11.470506495802102,3253100.0,,,,,
2024-06-14,11.121150970458984,11.145411400734169,10.907655667228228,11.101741885857964,1463800.0,,,,,
2024-06-17,11.062925338745115,11.14055983108552,10.927065439887484,11.062925338745115,1389800.0,,,,,
2024-06-18,10.820317268371582,11.06292528717342,10.781500022382334,10.97558717780472,2222800.0,,,,,
2024-06-20,10.946473121643066,10.990142637359783,10.684456952818868,10.771795984252304,5183900.0,,,,,
2024-06-21,10.810613632202148,10.975587158738914,10.694161894436691,10.878543581196295,4232500.0,,,,,
2024-06-24,10.781499862670898,10.965882472495592,10.718422185926324,10.94647338705041,3104800.0,,,,,
2024-06-25,10.839726448059082,10.912508669235256,10.669900648330575,10.762091955407678,2081500.0,,,,,
2024-06-26,11.00469970703125,11.024107866981112,10.762091692063104,11.00469970703125,3329900.0,,,,,
2024-06-27,11.441393852233888,11.480211097281858,10.975586911658237,11.004699614075182,2884800.0,,,,,
2024-06-28,11.344350814819336,11.509324345465206,11.053221925892428,11.431689851687874,7871300.0,,,,,
2024-07-01,11.150264739990234,11.412281854346585,11.014404836673176,11.247308321339144,2949000.0,,,,,
2024-07-02,11.266716003417969,11.315237792029947,11.077482045855009,11.179377894487777,2172800.0,,,,,
2024-07-03,11.567550659179688,11.785898250985662,11.334647178237423,11.373464425061137,1541600.0,,,,,
2024-07-05,11.635480880737305,11.790749871648291,11.412281937671809,11.4899164331273,2651700.0,,,,,
2024-07-08,12.178922653198242,12.20803535614007,11.790749270243936,11.790749270243936,3936600.0,,,,,
2024-07-09,12.266261100769045,12.324486503867607,12.149809369095816,12.198330229852589,4354000.0,,,,,
2024-07-10,12.537982940673828,12.57680018807161,12.14010592347752,12.373009407864211,3415700.0,,,,,
