Date,Close,High,Low,Open,Volume,"('Close', 'ABSI')","('High', 'ABSI')","('Low', 'ABSI')","('Open', 'ABSI')","('Volume', 'ABSI')"
2024-06-03,4.25,4.480000019073486,4.159999847412109,4.269999980926514,1174400.0,,,,,
2024-06-04,4.349999904632568,4.400000095367432,4.204999923706055,4.21999979019165,1302000.0,,,,,
2024-06-05,4.619999885559082,4.630000114440918,4.300000190734863,4.380000114440918,898900.0,,,,,
2024-06-06,4.369999885559082,4.650000095367432,4.239999771118164,4.619999885559082,898600.0,,,,,
2024-06-07,4.380000114440918,4.380000114440918,4.210000038146973,4.28000020980835,593500.0,,,,,
2024-06-10,4.519999980926514,4.599999904632568,4.300000190734863,4.389999866485596,1097000.0,,,,,
2024-06-11,4.510000228881836,4.520999908447266,4.369999885559082,4.5,831500.0,,,,,
2024-06-12,4.960000038146973,4.980000019073486,4.630000114440918,4.679999828338623,1464400.0,,,,,
2024-06-13,4.369999885559082,5.199999809265137,4.340000152587891,4.980000019073486,2706800.0,,,,,
2024-06-14,3.9800000190734863,4.369999885559082,3.920000076293945,4.349999904632568,1763500.0,,,,,
2024-06-17,3.4100000858306885,4.014999866485596,3.190000057220459,3.990000009536743,3284000.0,,,,,
2024-06-18,3.4800000190734863,3.5899999141693115,3.3499999046325684,3.4200000762939453,1491300.0,,,,,
2024-06-20,2.9200000762939453,3.5,2.7950000762939453,3.5,3968800.0,,,,,
2024-06-21,3.0199999809265137,3.0199999809265137,2.859999895095825,2.9800000190734863,4594500.0,,,,,
2024-06-24,3.039999961853028,3.109999895095825,2.970000028610229,3.0299999713897705,2158100.0,,,,,
2024-06-25,2.940000057220459,3.150000095367432,2.930000066757202,3.049999952316284,1675300.0,,,,,
2024-06-26,3.069999933242798,3.109999895095825,2.900000095367432,2.9200000762939453,1313900.0,,,,,
2024-06-27,3.049999952316284,3.200000047683716,2.994999885559082,3.0899999141693115,1511500.0,,,,,
2024-06-28,3.0799999237060547,3.1700000762939453,2.9600000381469727,3.039999961853028,12564200.0,,,,,
2024-07-01,3.009999990463257,3.125,2.930000066757202,3.0799999237060547,1138300.0,,,,,
2024-07-02,2.970000028610229,3.0299999713897705,2.914999961853028,2.970000028610229,841700.0,,,,,
2024-07-03,3.180000066757202,3.549999952316284,3.130000114440918,3.390000104904175,1334700.0,,,,,
2024-07-05,3.1700000762939453,3.380000114440918,3.0850000381469727,3.2699999809265137,1109900.0,,,,,
2024-07-08,3.299999952316284,3.700000047683716,3.2300000190734863,3.3499999046325684,2528700.0,,,,,
2024-07-09,3.640000104904175,3.680000066757202,3.26200008392334,3.3299999237060547,2164100.0,,,,,
2024-07-10,3.609999895095825,3.809999942779541,3.509999990463257,3.75,1439700.0,,,,,
2024-07-11,4.03000020980835,4.039999961853027,3.569999933242798,3.690000057220459,2438600.0,,,,,
2024-07-12,4.03000020980835,4.340000152587891,3.910000085830689,4.099999904632568,2696200.0,,,,,
2024-07-15,3.950000047683716,4.199999809265137,3.849999904632568,4.199999809265137,1554000.0,,,,,
2024-07-16,4.349999904632568,4.550000190734863,4.034999847412109,4.054999828338623,2539100.0,,,,,
2024-07-17,4.380000114440918,4.5,4.179999828338623,4.260000228881836,2144100.0,,,,,
2024-07-18,4.110000133514404,4.505000114440918,4.005000114440918,4.400000095367432,2252400.0,,,,,
2024-07-19,3.9700000286102295,4.199999809265137,3.940000057220459,4.150000095367432,1494200.0,,,,,
2024-07-22,4.099999904632568,4.110000133514404,3.759999990463257,4.0,1075200.0,,,,,
2024-07-23,4.449999809265137,4.539999961853027,4.039999961853027,4.050000190734863,1067500.0,,,,,
2024-07-24,4.21999979019165,4.489999771118164,4.21999979019165,4.389999866485596,958900.0,,,,,
