Date,Close,High,Low,Open,Volume,"('Close', 'HL')","('High', 'HL')","('Low', 'HL')","('Open', 'HL')","('Volume', 'HL')"
2024-06-03,5.800374031066895,5.869898757339561,5.740781205575318,5.810305931847985,6963400.0,,,,,
2024-06-04,5.393156051635742,5.691120673238435,5.383224150169898,5.6712563967050365,9135600.0,,,,,
2024-06-05,5.5024094581604,5.532206107859482,5.353427156868353,5.413019982664836,6202500.0,,,,,
2024-06-06,5.760644912719727,5.840102005540419,5.581865980271539,5.631526900085287,8902500.0,,,,,
2024-06-07,5.303767204284668,5.492478073854535,5.24417437288393,5.482545698486883,9594200.0,,,,,
2024-06-10,5.313698768615723,5.363359695096924,5.164716462773812,5.363359695096924,6571000.0,,,,,
2024-06-11,5.254105567932129,5.323630765348844,5.164716096053733,5.214377019008767,6356500.0,,,,,
2024-06-12,5.283903121948242,5.542138734204927,5.264038844082344,5.452749247007511,9546700.0,,,,,
2024-06-13,5.115056037902832,5.323631172503264,5.095191761921919,5.2243097925987,5653100.0,,,,,
2024-06-14,5.1647162437438965,5.24417381746445,5.085259143625017,5.214377168119033,5636100.0,,,,,
2024-06-17,5.035599231719971,5.134920617497127,4.966074024875098,5.095192063186265,6605500.0,,,,,
2024-06-18,5.115056037902832,5.184580767035178,4.9958703820173564,5.055463209960094,6122300.0,,,,,
2024-06-20,5.303767204284668,5.353427660317754,5.184581067881467,5.214377720382698,9647400.0,,,,,
2024-06-21,5.134920120239258,5.244173870815025,5.085259195358906,5.224309595583221,12983700.0,,,,,
2024-06-24,5.0157341957092285,5.214376937209896,5.0157341957092285,5.18458028918397,6354500.0,,,,,
2024-06-25,4.8667521476745605,5.005802073721926,4.846887872524937,4.985937798572302,5470300.0,,,,,
2024-06-26,4.81709098815918,4.87668381070281,4.777362439796759,4.807159087869401,5270600.0,,,,,
2024-06-27,4.827023506164551,4.896548231073665,4.79722685720231,4.886616330487364,6014300.0,,,,,
2024-06-28,4.81709098815918,4.956140907427651,4.757498165615549,4.89654808488402,12853400.0,,,,,
2024-07-01,4.737634658813477,4.876684600604585,4.727702756914978,4.817091768408395,5165500.0,,,,,
2024-07-02,4.8667521476745605,4.8667521476745605,4.727702221627196,4.747566496776819,5858200.0,,,,,
2024-07-03,5.1448516845703125,5.194512606202737,4.976005592943694,5.015734140808974,6230300.0,,,,,
2024-07-05,5.1845808029174805,5.283902657111144,5.144852250680695,5.194513177777527,7428700.0,,,,,
2024-07-08,5.1845808029174805,5.21437745389592,5.02566659397034,5.10512369844391,7254600.0,,,,,
2024-07-09,5.234241962432861,5.303767168735247,5.164716756130476,5.19451340843199,7223600.0,,,,,
2024-07-10,5.482544898986816,5.482544898986816,5.303766430855231,5.323630705092074,9051200.0,,,,,
2024-07-11,5.889763355255127,5.9195600064345735,5.611663487721577,5.820238625172592,12526900.0,,,,,
2024-07-12,5.979152679443359,6.01888123091328,5.730848995955509,5.750713271690469,8525300.0,,,,,
2024-07-15,5.979152679443359,6.088406432786487,5.879831300768558,6.01888123091328,9366200.0,,,,,
