Date,Close,High,Low,Open,Volume,"('Close', 'ACN')","('High', 'ACN')","('Low', 'ACN')","('Open', 'ACN')","('Volume', 'ACN')"
2024-06-03,275.459716796875,281.0909000643042,274.4331774143155,279.9470785498284,3596600.0,,,,,
2024-06-04,281.6188659667969,282.42053761398205,274.0714869226293,275.45974830763754,3498600.0,,,,,
2024-06-05,284.5126647949219,285.77382822897965,281.6188599414865,281.81439979497503,3002200.0,,,,,
2024-06-06,285.216552734375,287.2989297492474,284.1020591618127,284.6886488587782,2363200.0,,,,,
2024-06-07,281.9512023925781,285.2849563906449,281.70679253789746,284.9232345793475,2626900.0,,,,,
2024-06-10,283.9358215332031,284.02380550448146,280.5825253420001,280.95403311085664,2509900.0,,,,,
2024-06-11,287.6410827636719,287.7290667347419,282.33250766279383,283.6327550155245,2457600.0,,,,,
2024-06-12,279.3409729003906,287.5726816026321,279.05744906329613,285.109040557901,3749600.0,,,,,
2024-06-13,276.0071716308594,283.0754856304208,275.7823038208088,281.2375485596308,3119200.0,,,,,
2024-06-14,280.29901123046875,280.53366499717504,274.43317426103647,275.1175338415461,2966200.0,,,,,
2024-06-17,279.1453857421875,282.14674595797624,277.6007285675714,279.82974527845823,3559600.0,,,,,
2024-06-18,278.96942138671875,283.42745486573074,278.0308958740815,278.93030745509566,5314900.0,,,,,
2024-06-20,299.3141174316406,310.62541377833173,291.33657541064315,307.59472531541115,11374600.0,,,,,
2024-06-21,302.071044921875,303.4104061810893,295.81412863751734,300.1646360797366,8473700.0,,,,,
2024-06-24,300.3406066894531,305.38522982510506,297.8671800775823,298.5319677422712,4399600.0,,,,,
2024-06-25,300.3015441894531,303.0682509008383,298.6004311384028,301.0934298130562,4481400.0,,,,,
2024-06-26,297.8085632324219,298.90351478525287,292.73461143994894,293.2136751207066,3162100.0,,,,,
2024-06-27,296.4105529785156,298.62978413185044,294.7192257283187,298.18007826929835,3162000.0,,,,,
2024-06-28,296.6256103515625,298.7177434101209,294.90495524905435,296.75270826279643,14905500.0,,,,,
2024-07-01,295.7848205566406,297.5543456753888,292.90080191553807,296.93845784827164,2411100.0,,,,,
2024-07-02,297.03619384765625,297.20240568884725,294.2010452867413,294.2010452867413,2177200.0,,,,,
