Date,Close,High,Low,Open,Volume,"('Close', 'CANG')","('High', 'CANG')","('Low', 'CANG')","('Open', 'CANG')","('Volume', 'CANG')"
2024-06-03,1.6100000143051147,1.6100000143051147,1.5199999809265137,1.5399999618530271,13300.0,,,,,
2024-06-04,1.5700000524520874,1.690000057220459,1.5700000524520874,1.590000033378601,76300.0,,,,,
2024-06-05,1.6399999856948853,1.6699999570846558,1.5800000429153442,1.6200000047683716,77800.0,,,,,
2024-06-06,1.7000000476837158,1.7699999809265137,1.6100000143051147,1.6100000143051147,70800.0,,,,,
2024-06-07,1.659999966621399,1.7999999523162842,1.6399999856948853,1.7999999523162842,23100.0,,,,,
2024-06-10,1.600000023841858,1.7100000381469729,1.5,1.6299999952316284,39100.0,,,,,
2024-06-11,1.75,1.75,1.6200000047683716,1.6200000047683716,43700.0,,,,,
2024-06-12,1.870000004768372,1.9600000381469729,1.7100000381469729,1.75,119600.0,,,,,
2024-06-13,1.5800000429153442,1.8899999856948853,1.5800000429153442,1.8200000524520876,77600.0,,,,,
2024-06-14,1.6699999570846558,1.830000042915344,1.6100000143051147,1.7400000095367432,100400.0,,,,,
2024-06-17,1.649999976158142,1.7899999618530271,1.6200000047683716,1.6200000047683716,87400.0,,,,,
2024-06-18,1.649999976158142,1.75,1.6399999856948853,1.6399999856948853,40800.0,,,,,
2024-06-20,1.6399999856948853,1.690000057220459,1.5800000429153442,1.6100000143051147,79100.0,,,,,
2024-06-21,1.6699999570846558,1.7699999809265137,1.6699999570846558,1.6699999570846558,23400.0,,,,,
2024-06-24,1.6200000047683716,1.7000000476837158,1.600000023841858,1.6299999952316284,48600.0,,,,,
2024-06-25,1.6299999952316284,1.690000057220459,1.5800000429153442,1.5800000429153442,27600.0,,,,,
2024-06-26,1.6699999570846558,1.7000000476837158,1.6100000143051147,1.6100000143051147,27200.0,,,,,
2024-06-27,1.6399999856948853,1.7000000476837158,1.6399999856948853,1.7000000476837158,19600.0,,,,,
2024-06-28,1.6699999570846558,1.7000000476837158,1.6100000143051147,1.6100000143051147,73800.0,,,,,
2024-07-01,1.649999976158142,1.75,1.649999976158142,1.6699999570846558,67600.0,,,,,
2024-07-02,1.690000057220459,1.7100000381469729,1.659999966621399,1.659999966621399,34500.0,,,,,
2024-07-03,1.6699999570846558,1.7100000381469729,1.6699999570846558,1.7100000381469729,1700.0,,,,,
2024-07-05,1.7100000381469729,1.7100000381469729,1.6699999570846558,1.7000000476837158,15300.0,,,,,
2024-07-08,1.7699999809265137,1.8200000524520876,1.7300000190734863,1.7300000190734863,45900.0,,,,,
