Date,Close,High,Low,Open,Volume,"('Close', 'ZOOZ')","('High', 'ZOOZ')","('Low', 'ZOOZ')","('Open', 'ZOOZ')","('Volume', 'ZOOZ')"
2024-06-03,2.680000066757202,2.799999952316284,2.650000095367432,2.720000028610229,29800.0,,,,,
2024-06-04,2.4600000381469727,2.700000047683716,2.4600000381469727,2.700000047683716,43000.0,,,,,
2024-06-05,2.2100000381469727,2.650000095367432,2.200000047683716,2.440000057220459,22900.0,,,,,
2024-06-06,2.200000047683716,2.315999984741211,2.0899999141693115,2.1700000762939453,12800.0,,,,,
2024-06-07,2.259999990463257,2.259999990463257,2.0999999046325684,2.140000104904175,16600.0,,,,,
2024-06-10,2.25,2.289999961853028,2.1519999504089355,2.289999961853028,10200.0,,,,,
2024-06-11,2.200000047683716,2.369999885559082,2.0299999713897705,2.150000095367432,65000.0,,,,,
2024-06-12,2.2799999713897705,2.7809998989105225,2.1600000858306885,2.1600000858306885,111900.0,,,,,
2024-06-13,2.119999885559082,2.299999952316284,2.0999999046325684,2.180000066757202,26200.0,,,,,
2024-06-14,2.119999885559082,2.25,2.109999895095825,2.109999895095825,11500.0,,,,,
2024-06-17,1.9700000286102293,2.1549999713897705,1.809999942779541,2.1549999713897705,27400.0,,,,,
2024-06-18,2.109999895095825,2.299999952316284,1.784999966621399,1.940000057220459,51900.0,,,,,
2024-06-20,2.0999999046325684,2.3499999046325684,1.899999976158142,2.140000104904175,37100.0,,,,,
2024-06-21,2.119999885559082,2.299999952316284,1.993000030517578,2.0,11500.0,,,,,
2024-06-24,2.0799999237060547,2.299999952316284,2.0,2.049999952316284,38100.0,,,,,
2024-06-25,2.0299999713897705,2.049999952316284,2.0199999809265137,2.0199999809265137,700.0,,,,,
2024-06-26,2.190000057220459,2.2219998836517334,2.0999999046325684,2.1050000190734863,38900.0,,,,,
2024-06-27,2.109999895095825,2.364000082015991,2.109999895095825,2.190000057220459,800.0,,,,,
2024-06-28,2.220000028610229,2.400000095367432,2.0999999046325684,2.188999891281128,35800.0,,,,,
2024-07-01,2.400000095367432,2.421999931335449,2.200000047683716,2.319999933242798,9700.0,,,,,
2024-07-02,2.5199999809265137,2.5360000133514404,2.359999895095825,2.359999895095825,4500.0,,,,,
2024-07-03,2.549999952316284,2.650000095367432,2.4100000858306885,2.4230000972747803,65700.0,,,,,
2024-07-05,2.5899999141693115,2.789999961853028,2.559999942779541,2.559999942779541,53400.0,,,,,
2024-07-08,2.4100000858306885,2.5899999141693115,2.400000095367432,2.5899999141693115,5900.0,,,,,
2024-07-09,2.190000057220459,2.400000095367432,2.180000066757202,2.380000114440918,20500.0,,,,,
2024-07-10,2.150000095367432,2.299999952316284,2.0899999141693115,2.299999952316284,27100.0,,,,,
2024-07-11,2.0999999046325684,2.200000047683716,2.026000022888184,2.200000047683716,21600.0,,,,,
2024-07-12,2.0999999046325684,2.200000047683716,2.0999999046325684,2.200000047683716,15900.0,,,,,
2024-07-15,2.119999885559082,2.200000047683716,2.109999895095825,2.190000057220459,9000.0,,,,,
