Date,Close,High,Low,Open,Volume,"('Close', 'VSTM')","('High', 'VSTM')","('Low', 'VSTM')","('Open', 'VSTM')","('Volume', 'VSTM')"
2024-06-03,3.940000057220459,4.03000020980835,3.849999904632568,4.0,877500.0,,,,,
2024-06-04,3.680000066757202,3.920000076293945,3.680000066757202,3.920000076293945,1255000.0,,,,,
2024-06-05,3.7899999618530273,3.819999933242798,3.630000114440918,3.7100000381469727,792000.0,,,,,
2024-06-06,3.640000104904175,3.859999895095825,3.5899999141693115,3.7699999809265137,826800.0,,,,,
2024-06-07,3.400000095367432,3.640000104904175,3.390000104904175,3.5899999141693115,872200.0,,,,,
2024-06-10,3.319999933242798,3.4100000858306885,3.2799999713897705,3.400000095367432,533400.0,,,,,
2024-06-11,3.470000028610229,3.549999952316284,3.2699999809265137,3.309999942779541,738900.0,,,,,
2024-06-12,3.559999942779541,3.609999895095825,3.4600000381469727,3.549999952316284,489100.0,,,,,
2024-06-13,3.660000085830689,3.700000047683716,3.490000009536743,3.549999952316284,487600.0,,,,,
2024-06-14,3.470000028610229,3.670000076293945,3.4600000381469727,3.670000076293945,364600.0,,,,,
2024-06-17,3.470000028610229,3.5799999237060547,3.4100000858306885,3.509999990463257,372900.0,,,,,
2024-06-18,3.2699999809265137,3.5,3.200000047683716,3.5,606900.0,,,,,
2024-06-20,3.25,3.299999952316284,3.140000104904175,3.299999952316284,625700.0,,,,,
2024-06-21,3.1600000858306885,3.289999961853028,3.109999895095825,3.2799999713897705,381400.0,,,,,
2024-06-24,3.0999999046325684,3.190000057220459,3.039999961853028,3.150000095367432,353900.0,,,,,
2024-06-25,2.940000057220459,3.130000114440918,2.940000057220459,3.130000114440918,552200.0,,,,,
2024-06-26,3.069999933242798,3.0999999046325684,2.799999952316284,2.9100000858306885,1035200.0,,,,,
2024-06-27,2.900000095367432,3.180000066757202,2.900000095367432,3.0199999809265137,997000.0,,,,,
2024-06-28,2.9800000190734863,3.009999990463257,2.809999942779541,2.930000066757202,3912200.0,,,,,
2024-07-01,3.25,3.2799999713897705,2.9800000190734863,3.0,847600.0,,,,,
2024-07-02,2.940000057220459,3.220000028610229,2.9200000762939453,3.190000057220459,397300.0,,,,,
