Date,Close,High,Low,Open,Volume,"('Close', 'MGNX')","('High', 'MGNX')","('Low', 'MGNX')","('Open', 'MGNX')","('Volume', 'MGNX')"
2024-06-03,4.480000019073486,5.019999980926514,4.105000019073486,4.139999866485596,4543100.0,,,,,
2024-06-04,4.360000133514404,4.644999980926514,4.329999923706055,4.429999828338623,1764300.0,,,,,
2024-06-05,4.909999847412109,4.929999828338623,4.289999961853027,4.429999828338623,1619300.0,,,,,
2024-06-06,4.670000076293945,4.96999979019165,4.658999919891357,4.880000114440918,941400.0,,,,,
2024-06-07,4.53000020980835,4.789999961853027,4.5,4.630000114440918,957000.0,,,,,
2024-06-10,4.579999923706055,4.590000152587891,4.320000171661377,4.449999809265137,1129700.0,,,,,
2024-06-11,4.929999828338623,5.03000020980835,4.550000190734863,4.599999904632568,1519000.0,,,,,
2024-06-12,4.989999771118164,5.190000057220459,4.889999866485596,4.96999979019165,1402600.0,,,,,
2024-06-13,4.679999828338623,5.050000190734863,4.619999885559082,5.0,1040400.0,,,,,
2024-06-14,4.46999979019165,4.679999828338623,4.429999828338623,4.679999828338623,1011700.0,,,,,
2024-06-17,4.289999961853027,4.489999771118164,4.230000019073486,4.46999979019165,1631000.0,,,,,
2024-06-18,4.119999885559082,4.289999961853027,4.070000171661377,4.289999961853027,1324600.0,,,,,
2024-06-20,4.119999885559082,4.164999961853027,3.994999885559082,4.119999885559082,1469500.0,,,,,
2024-06-21,4.369999885559082,4.380000114440918,4.039999961853027,4.119999885559082,6286500.0,,,,,
2024-06-24,4.5,4.75,4.295000076293945,4.320000171661377,1600600.0,,,,,
2024-06-25,4.289999961853027,4.5,4.25,4.480000019073486,1005800.0,,,,,
2024-06-26,4.070000171661377,4.289999961853027,4.019999980926514,4.289999961853027,1203800.0,,,,,
2024-06-27,4.119999885559082,4.150000095367432,4.0,4.090000152587891,1198200.0,,,,,
2024-06-28,4.25,4.340000152587891,4.019999980926514,4.130000114440918,2966900.0,,,,,
2024-07-01,4.300000190734863,4.480000019073486,4.190000057220459,4.190000057220459,1229600.0,,,,,
2024-07-02,4.099999904632568,4.289999961853027,4.03000020980835,4.28000020980835,888200.0,,,,,
2024-07-03,4.199999809265137,4.329999923706055,4.03000020980835,4.099999904632568,710500.0,,,,,
2024-07-05,4.199999809265137,4.239999771118164,4.099999904632568,4.199999809265137,589100.0,,,,,
2024-07-08,4.230000019073486,4.46999979019165,4.21999979019165,4.21999979019165,772400.0,,,,,
2024-07-09,4.275000095367432,4.300000190734863,4.184999942779541,4.21999979019165,621400.0,,,,,
2024-07-10,4.269999980926514,4.380000114440918,4.230000019073486,4.28000020980835,419900.0,,,,,
2024-07-11,4.650000095367432,4.650000095367432,4.260000228881836,4.260000228881836,1189500.0,,,,,
2024-07-12,4.699999809265137,4.949999809265137,4.619999885559082,4.679999828338623,926700.0,,,,,
2024-07-15,4.829999923706055,5.074999809265137,4.630000114440918,4.699999809265137,1231000.0,,,,,
2024-07-16,5.385000228881836,5.480000019073486,4.849999904632568,4.880000114440918,1241900.0,,,,,
2024-07-17,5.110000133514404,5.429999828338623,4.929999828338623,5.239999771118164,1346200.0,,,,,
2024-07-18,5.019999980926514,5.309999942779541,4.889999866485596,5.110000133514404,894000.0,,,,,
2024-07-19,4.920000076293945,5.099999904632568,4.820000171661377,5.019999980926514,788600.0,,,,,
2024-07-22,5.340000152587891,5.400000095367432,4.909999847412109,4.920000076293945,830000.0,,,,,
2024-07-23,5.329999923706055,5.355000019073486,5.175000190734863,5.28000020980835,635500.0,,,,,
