Date,Close,High,Low,Open,Volume,"('Close', 'EONR')","('High', 'EONR')","('Low', 'EONR')","('Open', 'EONR')","('Volume', 'EONR')"
2024-06-03,2.059999942779541,2.0799999237060547,1.9900000095367432,2.0199999809265137,13900.0,,,,,
2024-06-04,1.9450000524520876,2.0299999713897705,1.940000057220459,1.9900000095367432,12400.0,,,,,
2024-06-05,2.0299999713897705,2.049999952316284,1.9299999475479128,1.950000047683716,9800.0,,,,,
2024-06-06,1.9299999475479128,1.975000023841858,1.8799999952316284,1.950000047683716,15000.0,,,,,
2024-06-07,1.950000047683716,1.950000047683716,1.8600000143051147,1.9299999475479128,2300.0,,,,,
2024-06-10,1.9900000095367432,1.9900000095367432,1.940000057220459,1.950000047683716,4100.0,,,,,
2024-06-11,1.9800000190734863,2.0199999809265137,1.950000047683716,2.0199999809265137,2100.0,,,,,
2024-06-12,1.9800000190734863,2.059999942779541,1.899999976158142,1.919999957084656,8000.0,,,,,
2024-06-13,2.009999990463257,2.009999990463257,2.003000020980835,2.009999990463257,700.0,,,,,
2024-06-14,2.009999990463257,2.009999990463257,2.009999990463257,2.009999990463257,400.0,,,,,
2024-06-17,2.2699999809265137,2.390000104904175,2.0290000438690186,2.0290000438690186,90200.0,,,,,
2024-06-18,2.3499999046325684,2.359999895095825,2.24399995803833,2.3399999141693115,20800.0,,,,,
2024-06-20,2.359999895095825,2.434000015258789,2.299999952316284,2.299999952316284,27400.0,,,,,
2024-06-21,2.4600000381469727,2.4800000190734863,2.315000057220459,2.400000095367432,13800.0,,,,,
2024-06-24,2.4800000190734863,2.5,2.3299999237060547,2.4800000190734863,15000.0,,,,,
2024-06-25,2.575000047683716,2.6700000762939453,2.400000095367432,2.4800000190734863,114600.0,,,,,
2024-06-26,2.490000009536743,2.680000066757202,2.450000047683716,2.680000066757202,33700.0,,,,,
2024-06-27,2.609999895095825,2.6700000762939453,2.2699999809265137,2.559999942779541,38600.0,,,,,
2024-06-28,2.630000114440918,2.680000066757202,2.559999942779541,2.680000066757202,15100.0,,,,,
2024-07-01,2.5999999046325684,2.609999895095825,2.109999895095825,2.609999895095825,4600.0,,,,,
2024-07-02,2.5,2.630000114440918,2.3350000381469727,2.630000114440918,10200.0,,,,,
2024-07-03,2.430000066757202,2.5799999237060547,2.430000066757202,2.5199999809265137,6200.0,,,,,
2024-07-05,2.3299999237060547,2.509999990463257,2.2249999046325684,2.509999990463257,35300.0,,,,,
2024-07-08,2.282000064849853,2.359999895095825,2.0999999046325684,2.3499999046325684,57500.0,,,,,
2024-07-09,2.2300000190734863,2.24399995803833,2.119999885559082,2.150000095367432,7600.0,,,,,
2024-07-10,2.309999942779541,2.309999942779541,2.1559998989105225,2.2699999809265137,1200.0,,,,,
