Date,Close,High,Low,Open,Volume,"('Close', 'JZXN')","('High', 'JZXN')","('Low', 'JZXN')","('Open', 'JZXN')","('Volume', 'JZXN')"
2024-06-03,4.394000053405762,4.420000076293945,4.133999824523926,4.198999881744385,22262.0,,,,,
2024-06-04,4.276999950408936,4.614999771118164,3.796000003814697,4.4070000648498535,59600.0,,,,,
2024-06-05,4.368000030517578,5.109000205993652,3.938999891281128,4.120999813079834,59585.0,,,,,
2024-06-06,5.01800012588501,5.460000038146973,4.368000030517578,4.368000030517578,56338.0,,,,,
2024-06-07,4.940000057220459,5.590000152587891,4.537000179290772,4.640999794006348,50538.0,,,,,
2024-06-10,5.186999797821045,5.590000152587891,4.822999954223633,4.822999954223633,13108.0,,,,,
2024-06-11,4.875,5.22599983215332,4.875,5.031000137329102,5938.0,,,,,
2024-06-12,4.822999954223633,4.888000011444092,4.679999828338623,4.861999988555908,8931.0,,,,,
2024-06-13,4.692999839782715,4.901000022888184,4.446000099182129,4.65399980545044,5862.0,,,,,
2024-06-14,4.666999816894531,4.822999954223633,4.485000133514404,4.783999919891357,4138.0,,,,,
2024-06-17,4.602000236511231,4.848999977111816,4.498000144958496,4.589000225067139,2423.0,,,,,
2024-06-18,4.809999942779541,4.966000080108643,4.602000236511231,4.927000045776367,4823.0,,,,,
2024-06-20,4.692999839782715,4.875,4.614999771118164,4.861999988555908,2646.0,,,,,
2024-06-21,4.550000190734863,4.835999965667725,4.289999961853027,4.563000202178955,3608.0,,,,,
2024-06-24,4.679999828338623,4.679999828338623,4.355000019073486,4.485000133514404,2477.0,,,,,
2024-06-25,4.718999862670898,4.861999988555908,4.602000236511231,4.65399980545044,6123.0,,,,,
2024-06-26,4.602000236511231,4.809999942779541,4.550000190734863,4.679999828338623,3438.0,,,,,
2024-06-27,4.73199987411499,4.875,4.550000190734863,4.602000236511231,1600.0,,,,,
2024-06-28,4.666999816894531,5.005000114440918,4.511000156402588,4.563000202178955,7200.0,,,,,
2024-07-01,4.159999847412109,4.640999794006348,3.938999891281128,4.4720001220703125,45677.0,,,,,
2024-07-02,4.017000198364258,4.146999835968018,3.7829999923706055,4.09499979019165,36408.0,,,,,
2024-07-03,3.400000095367432,3.736000061035156,3.119999885559082,3.369999885559082,55100.0,,,,,
2024-07-05,2.5999999046325684,3.3499999046325684,2.539999961853028,3.3499999046325684,57700.0,,,,,
2024-07-08,3.150000095367432,3.150000095367432,2.3299999237060547,2.5299999713897705,67200.0,,,,,
2024-07-09,2.9200000762939453,3.032000064849853,2.7699999809265137,2.890000104904175,27400.0,,,,,
2024-07-10,2.950000047683716,3.025000095367432,2.8399999141693115,2.8399999141693115,12900.0,,,,,
2024-07-11,3.2799999713897705,3.450000047683716,2.859999895095825,2.890000104904175,60300.0,,,,,
