Date,Close,High,Low,Open,Volume,"('Close', 'CAPR')","('High', 'CAPR')","('Low', 'CAPR')","('Open', 'CAPR')","('Volume', 'CAPR')"
2024-06-03,5.639999866485596,5.909999847412109,5.610000133514404,5.679999828338623,275600.0,,,,,
2024-06-04,5.800000190734863,6.150000095367432,5.650000095367432,5.730000019073486,810600.0,,,,,
2024-06-05,5.619999885559082,5.800000190734863,5.480000019073486,5.75,391900.0,,,,,
2024-06-06,5.480000019073486,5.659999847412109,5.440000057220459,5.659999847412109,219000.0,,,,,
2024-06-07,5.239999771118164,5.449999809265137,5.170000076293945,5.380000114440918,247700.0,,,,,
2024-06-10,5.409999847412109,5.440000057220459,5.059999942779541,5.170000076293945,239600.0,,,,,
2024-06-11,5.550000190734863,5.769999980926514,5.369999885559082,5.380000114440918,337400.0,,,,,
2024-06-12,5.059999942779541,5.769999980926514,4.929999828338623,5.590000152587891,638700.0,,,,,
2024-06-13,5.289999961853027,5.409999847412109,5.039999961853027,5.050000190734863,175300.0,,,,,
2024-06-14,5.170000076293945,5.349999904632568,5.03000020980835,5.25,218600.0,,,,,
2024-06-17,4.960000038146973,5.239999771118164,4.940000057220459,5.159999847412109,343900.0,,,,,
2024-06-18,4.840000152587891,4.96999979019165,4.71999979019165,4.929999828338623,429200.0,,,,,
2024-06-20,4.760000228881836,4.909999847412109,4.670000076293945,4.840000152587891,189800.0,,,,,
2024-06-21,4.699999809265137,4.909999847412109,4.699999809265137,4.829999923706055,388600.0,,,,,
2024-06-24,4.789999961853027,4.840000152587891,4.610000133514404,4.690000057220459,273500.0,,,,,
2024-06-25,4.639999866485596,5.059999942779541,4.579999923706055,4.860000133514404,505500.0,,,,,
2024-06-26,4.630000114440918,4.650000095367432,4.449999809265137,4.619999885559082,428300.0,,,,,
2024-06-27,4.639999866485596,4.739999771118164,4.559999942779541,4.650000095367432,330500.0,,,,,
2024-06-28,4.769999980926514,5.25,4.639999866485596,4.71999979019165,4272100.0,,,,,
2024-07-01,4.840000152587891,4.980000019073486,4.599999904632568,4.909999847412109,642700.0,,,,,
2024-07-02,4.71999979019165,4.820000171661377,4.670000076293945,4.809999942779541,229500.0,,,,,
