Date,Close,High,Low,Open,Volume,"('Close', 'BBWI')","('High', 'BBWI')","('Low', 'BBWI')","('Open', 'BBWI')","('Volume', 'BBWI')"
2024-06-03,49.97391128540039,51.11209366340742,49.80028999522925,50.24398721255171,6708100.0,,,,,
2024-06-04,43.5692253112793,47.456409241773365,42.7686414713744,45.78771889642096,11471100.0,,,,,
2024-06-05,45.54656982421875,45.62373278787036,43.69461086297514,43.70425853312413,5540600.0,,,,,
2024-06-06,44.72669982910156,45.79736330231497,44.302294244556734,45.72020032308355,3307200.0,,,,,
2024-06-07,44.40701675415039,45.00763418137804,43.88389656167095,44.12608142536168,3351800.0,,,,,
2024-06-10,44.20358276367188,44.91076212872419,43.990458899113065,44.05827036593672,2737100.0,,,,,
2024-06-11,43.30265045166016,44.27138981883176,42.98296468667877,44.04858020783598,3162700.0,,,,,
2024-06-12,42.33391189575195,44.55232597599475,42.30484720127559,44.126078281184526,3053000.0,,,,,
2024-06-13,42.41141128540039,42.72140760899121,41.897980567349535,42.27578835576036,3006000.0,,,,,
2024-06-14,41.90766525268555,42.84734366297546,41.73329555868865,42.15953956874871,2215400.0,,,,,
2024-06-17,40.79362106323242,41.73329956370029,40.12518844106541,41.68485963219119,4908200.0,,,,,
2024-06-18,40.251121520996094,40.95830084288204,40.04768713294279,40.69674076019312,3386600.0,,,,,
2024-06-20,40.97767639160156,41.01642685499191,39.90237505292883,40.29955806406089,3004600.0,,,,,
2024-06-21,40.60955429077149,41.29736208036738,40.07674835439529,41.04548776433295,4158800.0,,,,,
2024-06-24,40.20268630981445,41.026113346414725,40.1930005415199,40.78392848912669,2499800.0,,,,,
2024-06-25,39.660186767578125,41.04548430258989,39.64081153755976,40.40611649377272,3508500.0,,,,,
2024-06-26,38.79801177978516,39.931438786238914,38.75926131732832,39.42769386064252,3087500.0,,,,,
2024-06-27,37.80989456176758,38.63332520288076,37.23833821386916,38.546138516067536,3861600.0,,,,,
2024-06-28,37.82927322387695,38.313642928908536,37.26740628767306,37.62583883467111,3508100.0,,,,,
2024-07-01,37.23834609985352,38.042401681344906,37.0058506827474,38.0327122166208,2540900.0,,,,,
2024-07-02,36.928348541259766,37.373971517820976,36.7539751363984,37.122097179488826,2207100.0,,,,,
2024-07-03,36.5214729309082,37.38365033037189,36.40522524778148,37.034903585544505,1551800.0,,,,,
2024-07-05,35.83367156982422,36.49241095351624,35.45586010452119,36.35678803053708,4222000.0,,,,,
2024-07-08,36.29866790771485,36.72491192987771,36.11460504949295,36.36647937270785,3202400.0,,,,,
2024-07-09,36.017730712890625,36.59897286705033,35.843357327553214,36.240540328500096,2135600.0,,,,,
2024-07-10,35.39773941040039,36.26960267400602,34.97149169910874,36.26960267400602,2590500.0,,,,,
2024-07-11,36.25022506713867,36.73459474700176,35.60117146993688,35.60117146993688,3816200.0,,,,,
2024-07-12,36.17272567749024,36.6570953283964,35.64960556760426,36.59896963992668,2664800.0,,,,,
2024-07-15,35.64960861206055,36.34710215147407,35.552736151785325,36.327726920329525,3102600.0,,,,,
2024-07-16,37.45146179199219,37.46114755915108,35.513983160858714,35.920855595029295,3454800.0,,,,,
2024-07-17,38.18770599365234,38.45895554295678,36.78303679722434,36.81209779715254,4008500.0,,,,,
