Date,Close,High,Low,Open,Volume,"('Close', 'REAX')","('High', 'REAX')","('Low', 'REAX')","('Open', 'REAX')","('Volume', 'REAX')"
2024-06-03,4.550000190734863,4.880000114440918,4.46999979019165,4.800000190734863,686100.0,,,,,
2024-06-04,4.300000190734863,4.510000228881836,4.21999979019165,4.5,760700.0,,,,,
2024-06-05,4.53000020980835,4.559999942779541,4.335000038146973,4.449999809265137,428500.0,,,,,
2024-06-06,4.539999961853027,4.769999980926514,4.53000020980835,4.610000133514404,347800.0,,,,,
2024-06-07,4.460000038146973,4.630000114440918,4.409999847412109,4.5,289100.0,,,,,
2024-06-10,4.309999942779541,4.480000019073486,4.28000020980835,4.449999809265137,523700.0,,,,,
2024-06-11,4.289999961853027,4.324999809265137,4.059999942779541,4.28000020980835,569400.0,,,,,
2024-06-12,4.309999942779541,4.445000171661377,4.289999961853027,4.320000171661377,678400.0,,,,,
2024-06-13,4.199999809265137,4.420000076293945,4.164999961853027,4.269999980926514,459100.0,,,,,
2024-06-14,4.050000190734863,4.300000190734863,4.034999847412109,4.170000076293945,481100.0,,,,,
2024-06-17,3.990000009536743,4.150000095367432,3.940000057220459,4.03000020980835,668800.0,,,,,
2024-06-18,3.849999904632568,4.019999980926514,3.694999933242798,3.9700000286102295,825000.0,,,,,
2024-06-20,3.7300000190734863,3.9600000381469727,3.680000066757202,3.849999904632568,585400.0,,,,,
2024-06-21,3.819999933242798,3.8450000286102295,3.7100000381469727,3.7899999618530273,407000.0,,,,,
2024-06-24,3.809999942779541,3.9700000286102295,3.7300000190734863,3.819999933242798,567900.0,,,,,
2024-06-25,3.7300000190734863,3.890000104904175,3.690000057220459,3.819999933242798,947800.0,,,,,
2024-06-26,3.859999895095825,3.880000114440918,3.5450000762939453,3.7200000286102295,755000.0,,,,,
2024-06-27,3.910000085830689,4.159999847412109,3.75,3.799999952316284,833300.0,,,,,
2024-06-28,4.059999942779541,4.179999828338623,3.759999990463257,3.920000076293945,13719700.0,,,,,
2024-07-01,4.400000095367432,4.400000095367432,3.9700000286102295,4.039999961853027,1071400.0,,,,,
2024-07-02,4.300000190734863,4.590000152587891,4.28000020980835,4.349999904632568,824000.0,,,,,
2024-07-03,4.349999904632568,4.420000076293945,4.159999847412109,4.289999961853027,338100.0,,,,,
2024-07-05,4.489999771118164,4.489999771118164,4.260000228881836,4.309999942779541,640300.0,,,,,
2024-07-08,4.579999923706055,4.590000152587891,4.369999885559082,4.480000019073486,640900.0,,,,,
2024-07-09,4.929999828338623,4.949999809265137,4.570000171661377,4.570000171661377,945200.0,,,,,
2024-07-10,5.21999979019165,5.40500020980835,4.960000038146973,4.960000038146973,2115400.0,,,,,
2024-07-11,5.28000020980835,5.420000076293945,5.130000114440918,5.300000190734863,1659700.0,,,,,
2024-07-12,5.389999866485596,5.414999961853027,5.099999904632568,5.289999961853027,999400.0,,,,,
2024-07-15,5.5,5.539999961853027,5.139999866485596,5.349999904632568,1670600.0,,,,,
2024-07-16,5.670000076293945,5.71999979019165,5.316999912261963,5.400000095367432,1651500.0,,,,,
2024-07-17,5.679999828338623,5.71999979019165,5.425000190734863,5.599999904632568,880600.0,,,,,
2024-07-18,5.420000076293945,5.820000171661377,5.389999866485596,5.710000038146973,1043600.0,,,,,
