Date,Close,High,Low,Open,Volume,"('Close', 'SLE')","('High', 'SLE')","('Low', 'SLE')","('Open', 'SLE')","('Volume', 'SLE')"
2024-06-03,48.79999923706055,51.20000076293945,46.0,50.0,988.0,,,,,
2024-06-04,46.0,47.59999847412109,46.0,47.20000076293945,890.0,,,,,
2024-06-05,44.400001525878906,48.0,44.0,45.59999847412109,1668.0,,,,,
2024-06-06,46.400001525878906,48.0,44.400001525878906,46.400001525878906,1573.0,,,,,
2024-06-07,46.0,48.79999923706055,44.79999923706055,48.400001525878906,565.0,,,,,
2024-06-10,44.79999923706055,45.20000076293945,44.0,45.20000076293945,1123.0,,,,,
2024-06-11,46.0,46.0,44.52000045776367,44.79999923706055,345.0,,,,,
2024-06-12,46.0,47.20000076293945,44.08000183105469,45.20000076293945,948.0,,,,,
2024-06-13,40.0,46.79999923706055,38.91999816894531,46.79999923706055,3840.0,,,,,
2024-06-14,37.59999847412109,45.59999847412109,36.08000183105469,40.0,3450.0,,,,,
2024-06-17,35.7599983215332,39.20000076293945,33.400001525878906,38.0,1408.0,,,,,
2024-06-18,33.52000045776367,36.68000030517578,32.720001220703125,36.0,2105.0,,,,,
2024-06-20,32.0,37.08000183105469,31.239999771118164,33.52000045776367,1988.0,,,,,
2024-06-21,31.200000762939453,35.84000015258789,30.0,33.599998474121094,6213.0,,,,,
2024-06-24,32.7599983215332,34.15999984741211,31.71999931335449,33.279998779296875,1353.0,,,,,
2024-06-25,31.600000381469727,33.599998474121094,31.280000686645508,32.400001525878906,1300.0,,,,,
2024-06-26,31.63999938964844,32.91999816894531,31.63999938964844,32.0,1365.0,,,,,
2024-06-27,31.200000762939453,32.91999816894531,30.399999618530277,31.63999938964844,1845.0,,,,,
2024-06-28,32.0,33.599998474121094,31.0,32.400001525878906,595.0,,,,,
2024-07-01,32.439998626708984,34.0,30.799999237060547,31.920000076293945,825.0,,,,,
2024-07-02,32.119998931884766,36.0,31.799999237060547,33.20000076293945,543.0,,,,,
2024-07-03,34.0,36.0,32.119998931884766,32.119998931884766,535.0,,,,,
2024-07-05,36.7599983215332,37.400001525878906,34.0,35.20000076293945,2158.0,,,,,
2024-07-08,40.400001525878906,43.20000076293945,37.08000183105469,37.20000076293945,2735.0,,,,,
2024-07-09,45.59999847412109,46.0,41.20000076293945,42.0,753.0,,,,,
2024-07-10,42.400001525878906,48.0,40.0,47.59999847412109,1433.0,,,,,
2024-07-11,40.79999923706055,43.0,40.400001525878906,42.400001525878906,1138.0,,,,,
2024-07-12,42.400001525878906,44.0,40.7599983215332,40.79999923706055,498.0,,,,,
2024-07-15,43.59999847412109,44.79999923706055,42.0,44.400001525878906,878.0,,,,,
2024-07-16,43.20000076293945,48.0,42.400001525878906,43.59999847412109,4303.0,,,,,
2024-07-17,43.59999847412109,47.20000076293945,42.0,44.0,863.0,,,,,
2024-07-18,44.400001525878906,46.0,41.59999847412109,43.59999847412109,2103.0,,,,,
